,index,int_val,rsq,rsq_adj,log_rsq_adj,slope_pval,log_rsq,log_int_pval,log_slope_val,log_int_val,slope_val,log_slope_pval,int_pval,subj_id
0,(wfpt.0),0.30646551957176044,0.001129215824793972,0.0011245152121568402,0.0017507056205167126,3.756961409465103e-54,0.0017554036843171472,0.0,0.03999365523173516,1.1312716519808717,0.03214980407540612,3.5515095970683895e-83,0.0,s005
1,(wfpt.1),-0.2269465657837405,3.0792226743736606e-05,2.6019058466331124e-05,2.0615765786713425e-05,0.011089029485266431,2.5389301637868122e-05,0.0,-0.004409353495827957,0.9965935167056266,-0.005192463787840081,0.021097964693828842,0.0,s007
2,(wfpt.10),0.33073147482032683,0.00032052009821770255,0.0003156672380933978,0.00048310271464047094,4.4255445213252537e-16,0.0004879598549157871,0.0,0.018067187016877977,1.1614596665685033,0.014131673469240363,1.2218530174002527e-23,0.0,s028
3,(wfpt.100),0.3789054262041016,0.000314579711566898,0.0003097964819652743,0.00032854398198989276,5.101641052991305e-16,0.0003333291825128315,0.0,0.01380642287673024,1.1875115207043534,0.013594243919486628,7.094183611806796e-17,0.0,s359
4,(wfpt.101),0.517816055474527,6.207718021489228e-05,5.7803904704778475e-05,0.00010113586946747244,0.0001382123313755127,0.00010541457333457238,0.0,0.009739854058796158,1.2069823024341075,0.007550556979177584,6.925737559383383e-07,0.0,s365
5,(wfpt.102),0.21097786328708878,0.00012156722634470984,0.00011679449136503539,0.00010608479228990664,4.4941376772976976e-07,0.00011085860379611567,0.0,0.00813044340596318,1.1442498689147413,0.008608149701802549,1.4441932558256605e-06,0.0,s368
6,(wfpt.103),0.32706460282258837,0.019621368077317625,0.019616732673522264,0.016588363403275408,0.0,0.016593014093193248,0.0,0.10161663155188042,1.0790632870409742,0.11010565475185194,0.0,0.0,s369
7,(wfpt.104),0.34987112047432156,0.005115118691908838,0.005110929667658803,0.0030699921175283418,7.67817769109305e-267,0.003074190053396264,0.0,0.04829228155018735,1.1458115074902617,0.06052598817930363,4.957591040440181e-161,0.0,s372
8,(wfpt.105),0.3945125424759722,0.00027167649054826715,0.00026694959798434503,0.0003576626349598433,3.437492165469917e-14,0.00036240018655764317,0.0,0.013601238344572289,1.1829860053288308,0.012109279634781697,2.2231887377424385e-18,0.0,s373
9,(wfpt.106),0.3996748748787037,0.0023188720206456237,0.00231452478830374,0.0016952088500320484,6.9703078203250355e-118,0.0016995608099572568,0.0,0.03311733589477124,1.1727914425822594,0.03731392947735717,7.507129133925832e-87,0.0,s374
10,(wfpt.107),0.3514120358598378,0.0019061667727910958,0.0019017009886085345,0.0021693342898126966,9.725062212266534e-95,0.0021737988965013777,0.0,0.04584163891670552,1.1464045025886906,0.04207409727804915,8.804293979812467e-108,0.0,s376
11,(wfpt.108),0.3501547284099352,0.00010245633544170296,9.761416968878667e-05,0.0002059770530801197,4.229186086782847e-06,0.0002108212980117541,0.0,0.012131198543470199,1.1749528705142118,0.00873087944746185,4.206668243310356e-11,0.0,s380
12,(wfpt.109),0.39805816073092043,0.0010324258670091346,0.001027946151612058,0.0008444864715707601,5.0072466903402754e-52,0.0008489670498454949,0.0,0.028915270709737838,1.1755175789570043,0.031202988911130675,4.306457389834054e-43,0.0,s383
13,(wfpt.11),0.23904152291414837,0.0014865966707438005,0.0014820057623062821,0.0015105242540025543,2.41510657378209e-72,0.0015151150946421943,0.0,0.03125345337024867,1.135062234076009,0.029767486028694837,1.0737469363082021e-73,0.0,s032
14,(wfpt.110),0.5724929431145932,0.001051870667654775,0.0010470564134000826,0.0008527486053798716,2.0452902290200896e-49,0.0008575658622690385,0.0,0.02712383334578192,1.2174627033779024,0.029875340929673,1.3633692431187139e-40,0.0,s384
15,(wfpt.111),-0.09182079380282447,3.921683043195401e-06,-1.3693574880679904e-06,-2.591258699613519e-06,0.3892800269201834,2.700460264515314e-06,0.0,0.0012707159471522839,1.0524797188804993,0.0016072443743342301,0.47500204352151176,0.0,s388
16,(wfpt.112),0.2780882618875278,0.0014843352509216201,0.0014797861631634657,0.0008696860447863219,6.968438174245495e-73,0.0008742380364852309,0.0,0.027076995319739117,1.1448627364486628,0.034969126411057636,1.180193286630614e-43,0.0,s391
17,(wfpt.113),0.3528531721461035,0.0006937775603065299,0.000689355812227177,0.0007957262048724489,5.5298295753114035e-36,0.0008001475018475368,0.0,0.02852499610475929,1.1644129536439913,0.02572911942733975,3.078074409314945e-41,0.0,s396
18,(wfpt.114),0.5906378372927317,0.0019351732965908752,0.0019311078262949088,0.00016424870596143393,1.9958791375038857e-105,0.00016832549158640742,0.0,0.01220099780668533,1.2509140229707985,0.03707592709722174,1.315600643406253e-10,0.0,s397
19,(wfpt.115),0.46874412644352575,8.316014380493897e-05,7.860467250297987e-05,8.794073761786425e-05,1.932989891229435e-05,9.249737042249517e-05,0.0,0.008631771824491957,1.2096670762650967,0.008332576619875229,6.625196686424607e-06,0.0,s402
20,(wfpt.116),0.38748152887041953,0.00027278112672435295,0.00026821612056515676,0.0003219928886316614,1.0789501748044125e-14,0.00032656161298527664,0.0,0.012568191251962353,1.1919387405283721,0.01170458130237953,2.8210575616329354e-17,0.0,s403
21,(wfpt.117),0.3154501236310017,0.0008183827016846612,0.0008136916641290348,0.0014119299043585665,8.157254075129752e-40,0.001416618177292439,0.0,0.03454441662456498,1.148344054558494,0.02657971541574474,1.2403444567164965e-67,0.0,s408
22,(wfpt.118),0.4553269752981265,0.00015997062967587627,0.00015553670995438473,0.00018153763152950475,1.8978313171876636e-09,0.000185972104562393,0.0,0.013203433417097262,1.2078246504954673,0.011954372695005582,9.441536506940236e-11,0.0,s409
23,(wfpt.119),0.48122635935887415,0.0017790031562077147,0.0017742269334838356,0.0013859857284747035,6.406448905512887e-83,0.0013907750373980399,0.0,0.027426807407534497,1.1938372622174236,0.03218776129484206,4.522764899855426e-65,0.0,s420
24,(wfpt.12),0.3160586992034354,0.0013543987055277817,0.001349676932266175,0.001145562148961221,2.6751925597230544e-64,0.0011502849096391987,0.0,0.0313197129719279,1.1549073457887138,0.03328161077458236,7.058938257101651e-55,0.0,s034
25,(wfpt.120),0.30510076049393714,0.00032122175019067,0.000316572038201568,0.00027610287570623004,9.488705563229635e-17,0.0002807530787303225,0.0,0.014428615796748699,1.1694068431891544,0.014768213698411331,7.877158437433836e-15,0.0,s421
26,(wfpt.121),0.4847610019453329,6.107644137276491e-05,5.670985771888404e-05,0.0001170445031568601,0.00018410057681403686,0.00012141225383177634,0.0,0.01082720692660968,1.2092135215528936,0.007608715862681923,1.348265485857211e-07,0.0,s425
27,(wfpt.122),0.4068480327472721,0.0013271588886144547,0.001322720303199909,0.0010158593908127234,5.997335154321051e-67,0.0010203073266109586,0.0,0.024834604413732576,1.176303354797246,0.028048168409566844,8.594965815233046e-52,0.0,s427
28,(wfpt.123),0.4141157472606628,0.0004610809183742681,0.0004565885682449311,0.0003866066335699303,4.074487418582976e-24,0.0003911003686489778,0.0,0.01700706308549862,1.1919208189108925,0.01880185492917122,1.0769345013440902e-20,0.0,s430
29,(wfpt.124),0.4542594713161932,0.0002634516603603476,0.00025859852320209153,0.0005953136627906419,1.7408078436252272e-13,0.0006001751953110812,0.0,0.018682721489751822,1.1949349952868085,0.012591381177942992,1.1304168836541547e-28,0.0,s441
30,(wfpt.125),0.313356203038449,0.0009215707573682064,0.0009173373383168926,0.0005838969172197173,3.0364674816949665e-49,0.0005881318568283778,0.0,0.020767325387437342,1.165995978168161,0.0251929517959205,4.786198024884636e-32,0.0,s449
31,(wfpt.126),0.44563874820202565,0.0001946759173615531,0.00019007906900392335,0.0002935518549167515,7.648636993749939e-11,0.00029815271206945493,0.0,0.013058059437621828,1.2050047167064275,0.010643439176415085,8.31552971380232e-16,0.0,s451
32,(wfpt.127),0.46954954988964664,0.0009006223241757594,0.0008961218359835321,0.001495360247787736,2.0613886631374264e-45,0.0014998664605095913,0.0,0.029534019418251165,1.1884900772319593,0.023269817443844515,2.6175470693752314e-74,0.0,s453
33,(wfpt.128),0.24926589641728703,1.8153988155078515e-05,1.3166497775940478e-05,3.150792330530727e-05,0.056411600457449175,3.649636717140137e-05,0.0,0.004791154072234127,1.1601172100367612,0.003285239591799846,0.006834217841940613,0.0,s456
34,(wfpt.129),0.4081074232555683,0.0007919304729011589,0.0007873782306506705,0.001023195135052779,1.0432252625746233e-39,0.0010277470495206886,0.0,0.029393939137646083,1.1700731617091142,0.02636668050308908,5.2524177891071894e-51,0.0,s467
35,(wfpt.13),0.46876686182070276,0.003228354646732323,0.003223782257786856,0.0036223723347925674,2.5563847004878333e-155,0.0036269463783380473,0.0,0.051044261852861615,1.1634269199204155,0.050040999332309155,3.8041380367778107e-174,0.0,s042
36,(wfpt.130),0.34734016488714026,0.005302099693430762,0.005297515789891016,0.0051826572335095245,7.391826097059898e-253,0.005187241835372114,0.0,0.06927727451248836,1.116739425154029,0.06975762874898882,2.1049318598575236e-247,0.0,s469
37,(wfpt.131),0.3528050413874436,2.65283212952383e-07,-4.4517411679212415e-06,2.864711298067313e-06,0.8125416297972787,7.583437310443308e-06,0.0,0.0019546088170765063,1.1959078049602105,-0.0003915444082142165,0.2049021392634059,0.0,s471
38,(wfpt.132),0.3807677823209469,0.0010872836065919378,0.0010828041371959696,0.0003622548083991317,1.0696299456906532e-54,0.00036673917805041256,0.0,0.016286981237327927,1.1846139596293739,0.027167243382530265,1.5315457106194906e-19,0.0,s473
39,(wfpt.133),0.24998195690795594,0.008389817394491295,0.008385084126476317,0.008038795324033399,0.0,0.008043530244986163,0.0,0.07395488085602628,1.0918210557515762,0.07266635864551979,0.0,0.0,s477
40,(wfpt.134),0.3913302935272852,0.0008385624690463445,0.000833968581113842,0.0013962863550580629,1.40585075835401e-41,0.0014008816507813382,0.0,0.030160629532660133,1.1686753441899504,0.022511847592124393,3.2178660571808e-68,0.0,s481
41,(wfpt.135),0.3291153112508892,1.3264831335124683e-05,8.514255390612568e-06,7.527019305508809e-06,0.09472218885428318,1.2282615366787653e-05,0.0,0.0023489421537436234,1.1833831260248,0.0025906595025450025,0.10803389777560529,0.0,s484
42,(wfpt.136),0.5796737740694162,0.00023723872666503443,0.00023110513753354933,0.0007198587823329383,5.008600987127563e-10,0.0007259906143790573,0.0,0.02724274022471435,1.2261462604337723,0.015225521007915549,1.4507163181268076e-27,0.0,s489
