,index,slope_val,int_pval,log_int_pval,log_int_val,rsq,int_val,rsq_adj,log_slope_pval,log_rsq,slope_pval,log_rsq_adj,log_slope_val,subj_id
0,(wfpt.0),0.010585768761856799,0.0,0.0,1.2439933435379016,0.0001045292412041876,0.4924047077562008,9.316653442947853e-05,0.2594331153984339,1.4452345722504312e-05,0.0024217479890943235,3.0886153234988e-06,0.0041111924702268,s005
1,(wfpt.1),-0.0021346289814690145,0.0,0.0,1.2870795627940217,4.432731856685024e-06,0.6214634499981048,-7.128177843762629e-06,0.37352397417565764,9.155222224777049e-06,0.5357779986582814,-2.4056328791211e-06,-0.0032208968052022564,s007
2,(wfpt.10),0.005059239353345554,0.0,0.0,1.2383615174559433,2.4981444571525735e-05,0.46949555585735986,1.3870364119150658e-05,0.48444142588993433,5.431785793041932e-06,0.13376165615657423,-5.679511882572541e-06,0.0024431480815410283,s028
3,(wfpt.100),0.01484259598270336,0.0,0.0,1.2338768298585345,0.0001847662028742203,0.4777168372169749,0.00017365689784754057,0.006268405979678741,8.301528551968307e-05,4.54259945525128e-05,7.190484990216017e-05,0.010288805294770147,s359
4,(wfpt.101),0.00845260075914022,0.0,0.0,1.2052134054615953,7.7560929089171e-05,0.3976688770292913,6.645043286634955e-05,0.00023770440509594297,0.00015006812332263308,0.008239980136441023,0.00013895843275313347,0.011844393452526454,s365
5,(wfpt.102),0.06991923984999808,0.0,0.0,1.179477400116692,0.006987576173012711,0.5096599927023958,0.006976542456443191,2.1145969904712185e-92,0.004608273241447192,2.9222389904607173e-139,0.004597213087590979,0.06706153988702823,s368
6,(wfpt.103),0.09971577833972747,0.0,0.0,1.1452085533981606,0.011012800189456495,0.5019895364325718,0.011001811198592226,1.856047503585826e-165,0.008315904377817263,9.73713476764522e-219,0.008304885420778008,0.09690291212199295,s369
7,(wfpt.104),0.04931230875590914,0.0,0.0,1.1942711641344685,0.002300118666537343,0.464197223505513,0.002289032865949281,1.3577471831932677e-26,0.0012649956907569981,5.486612189573584e-47,0.001253898388546948,0.04247453166291587,s372
8,(wfpt.105),-0.014697368833760964,0.0,0.0,1.2468619839076192,0.0003501183312367706,0.40763765118622686,0.00033901086349674703,3.1939066626095124e-11,0.0004893860849382037,1.9787579320610586e-08,0.00047828016465212286,-0.02055908854441701,s373
9,(wfpt.11),0.003166877632287129,0.0,0.0,1.2372345406874226,9.964157960062892e-06,0.4579487415442134,-1.1470893546139393e-06,0.8402907520780752,4.512452079774576e-07,0.3436536375494331,-1.066010780825799e-05,0.0006951511472302989,s032
