,index,int_pval,rsq_adj,slope_val,int_val,log_slope_val,log_slope_pval,rsq,log_rsq,slope_pval,log_int_pval,log_rsq_adj,log_int_val,subj_id
0,(wfpt.0),0.0,-1.929120230759196e-05,-0.0006991461292677054,0.5891928565808298,-0.0006990541107379511,0.8494874729419469,7.095835321546673e-07,7.203071433758979e-07,0.8505987700923756,0.0,-1.9280478481764618e-05,1.2778683826006634,s005
1,(wfpt.1),0.0,-1.851667130758905e-05,-0.001193272309633289,0.5579777625387072,0.0011565460262117286,0.7952577628522615,1.4840990411046917e-06,1.3467600162853088e-06,0.7853151262472909,0.0,-1.865401307932224e-05,1.2656886003711043,s007
2,(wfpt.10),0.0,-8.157525241303532e-06,-0.003653162624283734,0.4941280453974,-0.005134546758555375,0.30687000282632537,1.1843037920344912e-05,2.088281151335636e-05,0.4415982624211414,0.0,8.824291543030327e-07,1.2552079032945207,s028
3,(wfpt.100),0.0,0.00032420418247991467,0.018608282516030316,0.5779985768896994,0.011266390092073982,0.010893506051446936,0.00034419809827457293,0.00012965022822664096,3.3431672087138254e-05,0.0,0.00010965202130297502,1.2607429541430473,s359
4,(wfpt.101),0.0,0.002150505741871145,0.039159596414450284,0.5039270453192944,0.03602647359433947,2.229293139136668e-23,0.0021704631309040767,0.00198306409678084,1.9503322183913765e-25,0.0,0.0019631029596173244,1.2139703633364607,s365
5,(wfpt.102),0.0,0.0019866789827698295,0.037472079185706,0.4619542905296025,0.03674970389391968,2.1939797728515325e-23,0.002006639648403419,0.001983695321431833,1.227948748698248e-23,0.0,0.0019637341968933297,1.2008602130815285,s368
6,(wfpt.103),0.0,-8.78942637072555e-06,0.003434716137809918,0.5081708356708529,0.0027199624403706837,0.5668591991683616,1.1211149429368739e-05,6.559627938496071e-06,0.45404573525269387,0.0,-1.3441040895623146e-05,1.2468313955873962,s369
7,(wfpt.104),0.0,-1.5740719864654196e-05,-0.002219228764936111,0.5586999597515644,-0.003892167778866057,0.4539800352658645,4.2599949640065304e-06,1.1214413579097027e-05,0.6444342469666233,0.0,-8.786162155605126e-06,1.2726498231870997,s372
8,(wfpt.105),0.0,-3.5777160458660973e-06,-0.004273605433042606,0.5251578793759202,-0.005257624426502853,0.294448898895153,1.6422755517941923e-05,2.198420546561941e-05,0.3648577371022731,0.0,1.983845135389295e-06,1.257286641010106,s373
9,(wfpt.106),0.0,-1.3489455267023942e-05,0.002987533361059406,0.3827446962100707,0.003977055942255326,0.4573017351001384,6.511214535431797e-06,1.1050307550997118e-05,0.5682939020530474,0.0,-8.950271465968385e-06,1.21237457509417,s374
10,(wfpt.107),0.0,-5.6256745162297506e-06,-0.0043340939600287655,0.3956651637814723,-0.006714586114251103,0.2051370438135443,1.4374838007369384e-05,3.210945623999262e-05,0.39656700786625787,0.0,1.2109298422879888e-05,1.228682718025079,s376
11,(wfpt.108),0.0,0.00025205048311571776,0.016707875534297124,0.41713493100450555,0.00970101779145309,0.03741205208451281,0.00027204584201323545,8.663167939682026e-05,0.0002257687342863446,0.0,6.663261206774074e-05,1.2176399603792234,s380
12,(wfpt.109),0.0,1.565664666358657e-05,0.005867552430915763,0.528697833903214,0.0047562134006224055,0.3159961144382427,3.5656733532341e-05,2.010973986488196e-05,0.1818084120867032,0.0,1.093420438635917e-07,1.2551067615600542,s383
13,(wfpt.11),0.0,0.0011963380034800686,0.03492366614800323,0.4457934383422635,0.027693392686529476,1.4502600985597375e-09,0.0012163144762493694,0.0007317702613186539,6.16029922363843e-15,0.0,0.0007117840972773459,1.206690101973169,s032
14,(wfpt.110),0.0,1.0766308983778394e-05,-0.005898265613622953,0.4237997765379735,-0.005571399314593717,0.24665742804733054,3.0766493661293914e-05,2.684372500028065e-05,0.2148752827226354,0.0,6.84346186430318e-06,1.2341519321781735,s384
15,(wfpt.111),0.0,-2.6131316723798648e-06,-0.004499316756520718,0.4525726693423736,-0.0028291645622354044,0.5612846201651506,1.73873205993047e-05,6.750011867673322e-06,0.35114082666160185,0.0,-1.3250653158713988e-05,1.2369523073319315,s388
16,(wfpt.112),0.0,-1.9996490331575245e-05,-7.167951182820423e-05,0.31864526327770815,-0.0005300733311789443,0.9176441660899319,4.309614221043034e-09,2.138488838232533e-07,0.9882883564360501,0.0,-1.978694687099214e-05,1.1957141403542142,s391
17,(wfpt.113),0.0,-7.7079059184193e-06,0.0035287411167305577,0.4370466623523972,0.0011444996491055681,0.8086783456201394,1.2292648250755711e-05,1.1726102731035581e-06,0.43305902440549815,0.0,-1.8828166305606686e-05,1.232605065678116,s396
18,(wfpt.114),0.0,0.00016644616494676523,-0.016662533295102543,0.3908365716992689,-0.01686356569544005,0.004752423664107178,0.00018644323596483936,0.00015942168863658512,0.002263489405692325,0.0,0.0001394240771659394,1.2360560109015124,s397
19,(wfpt.115),0.0,4.2584715662541406e-05,0.008519187720612512,0.5333778931114566,0.004204434780973033,0.41075210141201857,6.258426395910899e-05,1.3533039970536898e-05,0.07690360811621727,0.0,-6.46748938981645e-06,1.2544779752360515,s402
20,(wfpt.116),0.0,-1.3159191998513009e-05,-0.0027663759958178984,0.3876781703937479,-0.0011728936027750256,0.8066317603617525,6.841471198448801e-06,1.198341200603359e-06,0.5586439221211097,0.0,-1.8802434863518513e-05,1.2185364841148076,s403
21,(wfpt.117),0.0,-1.6134319938299058e-05,-0.001977257625666128,0.5086805539998291,0.0009553600432829663,0.8355392526738253,3.866402762398025e-06,8.620197474717983e-07,0.6601751971468999,0.0,-1.913876304349138e-05,1.249941767626811,s408
22,(wfpt.118),0.0,7.065492248647942e-05,0.009964994308350454,0.4571258041233799,0.008005177726266216,0.10499481272319088,9.065390936768836e-05,5.2560968641146566e-05,0.033253613575036665,0.0,3.256121987060823e-05,1.22903855512733,s409
23,(wfpt.119),0.0,0.00038029156245644735,0.01976158820358817,0.4925040712237616,0.017682302531401795,1.0379728971250862e-05,0.00040028435648098437,0.000388748513367454,7.67477572363601e-06,0.0,0.00036875548861681207,1.230749406158709,s420
24,(wfpt.12),0.0,0.0001252383314844785,0.013548480861128968,0.4239257277610276,0.01045013582698806,0.04489922706801329,0.00014523622667572678,8.044919935989991e-05,0.007042977185078051,0.0,6.045000837628933e-05,1.2187206937312478,s034
25,(wfpt.120),0.0,0.0001699587245421741,0.017337614543612753,0.4007301968264376,0.012811837895739364,0.03218257388061059,0.0001899557253076667,9.177527383363859e-05,0.00205672049836048,0.0,7.177630938060009e-05,1.2082610705644679,s421
26,(wfpt.121),0.0,0.000367169063591688,0.015144939948629883,0.5195437487871339,0.015162637190931777,1.1143718984417904e-05,0.00038716212007150475,0.00038603689880511993,1.082006507196163e-05,0.0,0.00036604381981997225,1.2412216190608247,s425
27,(wfpt.122),0.0,-7.879293224100081e-06,-0.003947418509875365,0.433192100392273,-0.004633316506336513,0.38319433688974314,1.2121264372777496e-05,1.5209222544831924e-05,0.43628401923789806,0.0,-4.791273290560838e-06,1.2367861850688469,s427
