,index,log_rsq,log_int_val,rsq_adj,log_slope_pval,int_val,log_slope_val,slope_pval,int_pval,slope_val,rsq,log_rsq_adj,log_int_pval,subj_id
0,(wfpt.0),4.869101809523713e-07,1.248156779943102,-1.2679412539462476e-05,0.8484516647191063,0.48760016329207745,0.0006495962486436219,0.8246922354017233,0.0,0.0007630497670563204,6.542676349585719e-07,-1.2846772225127978e-05,0.0,s005
1,(wfpt.1),4.8933034430986844e-05,1.2779334551261847,2.423492770076141e-05,0.085326899270613,0.5648311743830644,-0.009309800193518483,0.11632225896522884,0.0,-0.00863505176987531,4.076372594652433e-05,3.2404371219540984e-05,0.0,s007
2,(wfpt.10),3.928356665849897e-06,1.2195904216695017,-9.462816241256888e-06,0.5872766042460578,0.4340413672572673,0.003207404935980312,0.5900267699776284,0.0,0.0025178809066232926,3.8708210446936064e-06,-9.405279852936488e-06,0.0,s028
3,(wfpt.100),4.989641179120596e-06,1.2426386690369124,-6.873669394114046e-06,0.5407175158594839,0.48111076338586245,0.003038444655885972,0.4863998499155836,0.0,0.003116139058017812,6.459933369451498e-06,-8.343981188874139e-06,0.0,s359
4,(wfpt.101),6.136024770508897e-07,1.244569428370062,-1.2966498459610065e-05,0.8301418711104751,0.4793149037090563,0.0010771950431566635,0.8681996175354749,0.0,0.0007475354796296087,3.67185542748949e-07,-1.2720078239603083e-05,0.0,s365
5,(wfpt.102),2.552147650658476e-06,1.252897036662568,-1.1070975548754802e-05,0.661749863476221,0.49667916382940563,-0.0017979765515559014,0.6803823247847871,0.0,-0.001963815475005111,2.2626831797101232e-06,-1.0781507218116104e-05,0.0,s368
6,(wfpt.103),1.0689001712638202e-06,1.2539074860013946,-1.222183552651579e-05,0.777074090161787,0.5075277628292578,-0.001447704645719491,0.7727613070235824,0.0,-0.0013401284009812889,1.1118385468966707e-06,-1.2264774474690654e-05,0.0,s369
7,(wfpt.104),1.3789118829987679e-05,1.2906679335409914,2.3181165643704205e-06,0.3091844044865216,0.6243722806023122,-0.00330912138011117,0.27861366435783075,0.0,-0.0035379189626735044,1.565159676919503e-05,4.55613791472409e-07,0.0,s372
8,(wfpt.105),1.6292522206917681e-06,1.255122359587104,-1.3197291719890814e-05,0.732875690549912,0.6120137061231942,0.0025246245633879193,0.8122483029107782,0.0,0.0016548786757271798,7.891024577100225e-07,-1.2357130206197553e-05,0.0,s373
9,(wfpt.106),1.291500908440213e-06,1.226961847017818,-1.2558608986079633e-05,0.7556315312891289,0.4197046422080667,0.0016853902845152327,0.8094790703565865,0.0,0.0012369658500206774,7.7506957762985e-07,-1.2042170769444027e-05,0.0,s374
10,(wfpt.107),2.2126836198510524e-05,1.206775523012857,6.455120538317871e-06,0.1976741208947393,0.3657292032220951,0.005730631958823215,0.2231331833749223,0.0,0.005310378935175713,1.9788545582377637e-05,8.793442332510892e-06,0.0,s376
11,(wfpt.108),7.682393896146777e-06,1.221496044099425,-6.9127751642916735e-06,0.44782042237788866,0.4058091232191156,0.003110871219832674,0.48772215109403205,0.0,0.002783825312106923,6.420828120745625e-06,-5.651192567457386e-06,0.0,s380
12,(wfpt.109),1.3550857865918253e-05,1.2513634414326549,-4.3360191459562714e-07,0.31340128212892654,0.5077454189504258,0.0030710926659448246,0.3253125617216134,0.0,0.002976449223015338,1.2899914980213367e-05,2.1734965049979849e-07,0.0,s383
13,(wfpt.11),1.5956436935748997e-05,1.2280353498751655,2.1836313431888854e-06,0.273981754440557,0.43072314396830036,0.0041144933323617044,0.28068840661792066,0.0,0.004125780484086033,1.5517113341134703e-05,2.6229607955619016e-06,0.0,s032
14,(wfpt.110),2.531062077704149e-07,1.2451273164064531,-1.3331820502449077e-05,0.8904171397966378,0.4839019635818288,0.0005938073435530142,0.990555370730827,0.0,4.782102962945425e-05,1.8683709024358564e-09,-1.3080579315705165e-05,0.0,s384
15,(wfpt.111),1.11375416856907e-05,1.2258528025772324,4.671363118324834e-06,0.3607466172231846,0.41108705003979995,-0.003486102749578956,0.2452207765727256,0.0,-0.004657893038367271,1.8004811946137345e-05,-2.1959987082098564e-06,0.0,s388
16,(wfpt.112),1.937113100913823e-05,1.2414672574265901,8.870604006450122e-06,0.22807912461291407,0.482905456073461,0.004684463950577755,0.1968942545357601,0.0,0.004819032225371413,2.2203996843606078e-05,6.037700399419421e-06,0.0,s391
17,(wfpt.113),9.693360286111563e-06,1.2330736975059797,-3.574295933228555e-06,0.3938634163063456,0.41265264687741876,-0.00572837138666989,0.39226029202602664,0.0,-0.005334810264150848,9.759262838193727e-06,-3.640199363941221e-06,0.0,s396
18,(wfpt.114),1.4658065683237353e-05,1.2450915248817174,2.6880961223607613e-06,0.2944139924560934,0.5022322550799053,0.004566268575442671,0.27300463362193583,0.0,0.004286006734333835,1.6021571394020384e-05,1.3245722310095687e-06,0.0,s397
19,(wfpt.115),1.1573337266312933e-07,1.2836730341452016,-1.3381527870226506e-05,0.9260196268266405,0.6201898687513994,0.0003843627888923673,0.955578051036596,0.0,-0.00021086294507024865,4.1650716431362866e-08,-1.3307444219678999e-05,0.0,s402
20,(wfpt.116),1.346529844292732e-07,1.2647760968676605,-1.277184061265757e-05,0.9199537503398117,0.5491121517827625,0.0003517911231045931,0.8373594804437587,0.0,0.0007574803601151812,5.618407942220571e-07,-1.3199034118560604e-05,0.0,s403
21,(wfpt.117),6.087376880192785e-05,1.257818093959274,4.8994494057041926e-05,0.03441018707805287,0.48957710912803676,-0.00932797020950665,0.03195242880344042,0.0,-0.00972120998007815,6.259945474351714e-05,4.726878463601203e-05,0.0,s408
22,(wfpt.118),1.9650662327341806e-05,1.2350643096409484,4.4216870507263195e-06,0.22786894425959062,0.45860168182039757,0.004546339960747159,0.2493073411127408,0.0,0.004333034937696625,1.793532342853066e-05,6.1370491304391095e-06,0.0,s409
23,(wfpt.119),6.589632592135519e-05,1.2615760985260298,6.043868549721054e-05,0.02620831572962861,0.5027205995060813,-0.008360318281086805,0.018662426694594884,0.0,-0.010023813818504718,7.377139075082084e-05,5.256351566418349e-05,0.0,s420
24,(wfpt.12),4.4028446674615473e-05,1.2080456595359972,2.549250647854162e-05,0.06919153709219804,0.38856894607073167,0.010546594046553226,0.08792903320296351,0.0,0.008978367008546956,3.882567768731526e-05,3.069534483790548e-05,0.0,s034
25,(wfpt.120),2.8115638254222475e-06,1.2403105516812418,-1.0362340541192339e-05,0.6460937448520407,0.4643481104605343,0.0017715274125971528,0.6368836490464415,0.0,0.0019002099152940618,2.9713087386085135e-06,-1.0522087584341477e-05,0.0,s421
26,(wfpt.121),2.4644019327446642e-06,1.258047215569908,-9.665192016061752e-06,0.667259754150343,0.5121067611348893,-0.0024396455039605303,0.5999144599605333,0.0,-0.0026270928133866715,3.668447968285804e-06,-1.0869254106093962e-05,0.0,s425
