,node,m_sample,m_kl,m_level_2,m_int_pval,m_int_val,m_log_int_pval,m_log_int_val,m_log_rsq,m_log_rsq_adj,m_log_slope_pval,m_log_slope_val,m_rsq,m_rsq_adj,m_slope_pval,m_slope_val,sem_sample,sem_kl,sem_level_2,sem_int_pval,sem_int_val,sem_log_int_pval,sem_log_int_val,sem_log_rsq,sem_log_rsq_adj,sem_log_slope_pval,sem_log_slope_val,sem_rsq,sem_rsq_adj,sem_slope_pval,sem_slope_val,subj_id
0,(wfpt.0),249.5,0.8892035408928929,0.0,0.07913318004621334,0.1749144006596006,0.10703831968358014,-0.33390866456116575,0.701809991589389,0.697424844406879,2.4924007344100473e-06,1.2246964079853142,0.8512783112476857,0.849091227589566,1.3861481919281015e-16,0.7618240667453225,6.461423991660042,0.02896725347954842,0.0,0.008664704906386376,0.005767625718336764,0.009879638724617114,0.01850440000173829,0.009624814132845936,0.009766355517152487,5.193284125848041e-07,0.013334873925143856,0.0033880712191243635,0.003437895795876192,1.2351747626746713e-16,0.0068906396559494576,s005
1,(wfpt.1),249.5,1.9810143985548019,0.0,0.08732267357897602,0.21572318878773783,0.05131394024230048,-0.37793749585266095,0.8021438358410798,0.7992763552010956,6.71132033343187e-09,1.2290738505083374,0.8934580768743529,0.8919139910319522,8.298029006111822e-21,0.8182811562448378,6.461423991660042,0.046065933181993916,0.0,0.009128209903839973,0.008485883913437083,0.008231809996210586,0.029827400829573417,0.006800928915761456,0.006899493102946406,4.213553085696083e-09,0.01929921939317721,0.00264972827861058,0.002688130137720877,7.506449844704691e-21,0.006819261584038903,s007
2,(wfpt.10),249.5,0.6844020603624943,0.0,0.030066024962631388,0.2820714045899447,0.11442053877508636,-1.116735098186328,0.515154873751401,0.5081281327912756,0.0012524222056120983,1.7729378592250464,0.7784339786894472,0.7752228769313236,2.0594200365848433e-16,0.6455396547423936,6.461423991660042,0.02696584350599804,0.0,0.005585179569222592,0.005060932328733311,0.009454563029099129,0.029098204706581067,0.012143650448320933,0.012319645382354574,0.00011077150228535295,0.021086835382184945,0.003802976687179575,0.0038580922913416,1.0300926078340294e-16,0.005783518982190359,s028
3,(wfpt.100),249.5,1.7086077548532947,0.0,0.13216910810118504,-0.04571879757000125,0.07474008524601393,-0.2596181301180109,0.8170861089018586,0.8144351829439137,4.82467429672637e-10,1.1742315303939896,0.914758304788549,0.9135229179014255,9.173409606725198e-24,1.0326194465979985,6.461423991660042,0.045669722853800894,0.0,0.011631938938329891,0.008816237783155035,0.008960298896421465,0.024345076244298065,0.005740406679550433,0.005823600979254067,2.91292195716755e-10,0.016752645086673602,0.0020413016699076477,0.0020708857520802234,7.390666714009025e-24,0.0081149989002375,s359
4,(wfpt.101),249.5,1.7255247086997731,0.0,0.11332599587539362,0.11800569538310335,0.058533360639589145,-0.2635199278955605,0.8155106611606785,0.8128369026267759,3.975026185828409e-09,1.1797619682461535,0.8903194837264526,0.8887299110268366,1.03096856658779e-18,0.8505127194746961,6.461423991660042,0.044589876188325946,0.0,0.010288434553764794,0.005992793676300545,0.0077451928026673255,0.020829559802567368,0.005253589448574763,0.005329728426090338,1.7802012083727208e-09,0.014789348366571637,0.0027488134205215747,0.0027886512961813057,6.4541057349624165e-19,0.007169915958753138,s365
5,(wfpt.102),249.5,0.562702167538451,0.0,0.11472753734627023,0.13468552653352148,0.11300188552312015,-1.013299221416032,0.5131277199789036,0.5060715999785977,0.0002919489652108427,1.7072164620040804,0.8398903879299089,0.8375699587694734,5.910825708279784e-19,0.79681956198781,6.461423991660042,0.021261390087999106,0.0,0.010178836961056361,0.005389142067635705,0.008657985633531498,0.026205876371293273,0.012375065149589224,0.012554413919873128,2.2681647894339346e-05,0.019229424322798026,0.002412140081370931,0.0024470986332748587,5.760702327452501e-19,0.0065717854781069075,s368
6,(wfpt.103),249.5,4.024877495556758,0.0,0.2706661350925343,0.021551831834859224,0.20346854904092385,0.11698956953726693,0.8105650996917908,0.8078196663539912,2.0564109148586235e-11,0.8884602473480231,0.8566734970504524,0.8545963013555314,2.0068326484955145e-16,0.9029183259474022,6.461423991660042,0.06541449109982769,0.0,0.013779213766566113,0.004166877613677251,0.012835365180026629,0.008762900250950577,0.005538901977721654,0.005619175919427766,1.1555000255613714e-11,0.006119009663715048,0.0036578439193006396,0.00371085615001514,1.820271615981696e-16,0.004686645621048738,s369
7,(wfpt.104),249.5,0.4625408681180707,0.0,0.05151512537315997,0.20982857603591198,0.15830977154675277,0.26484241074575127,0.7497479957977417,0.7461211551571284,1.6321474380543668e-13,0.8085472088019825,0.900552368099214,0.8991110980716664,2.592074246060976e-19,0.7951777495683391,6.461423991660042,0.019803681162584522,0.0,0.007337404354462145,0.0069239911439980956,0.012026750927930992,0.015111229286415919,0.007187250021480402,0.007291413065269973,8.191393553235657e-14,0.010705888636592718,0.0025782831565718286,0.0026156495791308434,1.6199718576221647e-19,0.007245561233715741,s372
8,(wfpt.105),249.5,1.7932390737413262,0.0,0.06336674279413607,0.203644655225573,,,,,,,0.8806915399796278,0.8789624318633913,7.267610209741015e-22,0.7200903954486015,6.461423991660042,0.04336867558776586,0.0,0.007997339493198617,0.005690036579777206,,,,,,,0.0020941262911806733,0.002124475947574596,6.112565527198933e-22,0.00596738177257095,s373
9,(wfpt.106),249.5,0.05723342749189179,0.0,2.9270426595178497e-08,0.5046310949871899,4.78152987125103e-07,0.5811634682255916,0.9270971957372828,0.9260406333566631,1.019830960913921e-11,0.5972704432883047,0.9388877990037937,0.9380021149313847,1.4658194653746279e-18,0.5891858557116548,6.461423991660042,0.003876608606717432,0.0,2.92555407892518e-08,0.0056598349840930925,3.8938839421289593e-07,0.00802558430764409,0.0034526126656005936,0.003502650530319443,1.016478013792034e-11,0.005612736429482589,0.0017969318919728741,0.0018229743831608882,1.465509956169164e-18,0.005014270016776067,s374
