,index,rsq_adj,log_int_val,slope_pval,log_slope_pval,log_rsq,log_rsq_adj,log_slope_val,rsq,int_val,log_int_pval,int_pval,slope_val,subj_id
0,(wfpt.0),4.316937919468522e-06,1.2206344780149578,0.16425565955132707,1.5987692448276506e-06,0.00010636604565428254,0.00010174678853780428,0.009861222263133938,8.935876958826583e-06,0.4861933039285577,0.0,0.0,0.002883933585558607,s005
1,(wfpt.1),0.0002833289157989638,1.1089960653305784,2.32032568555592e-14,5.14882277960163e-23,0.0004886652336459907,0.0004836590914382155,0.015328483591015934,0.0002882780327305712,0.24096435151194964,0.0,0.0,0.012764615896358697,s007
2,(wfpt.10),0.00015290026780678811,1.3071493455326069,5.020375513951492e-09,0.004371338572347495,3.743862404670395e-05,3.282960957673442e-05,0.007105984894133911,0.0001575078793614182,0.7761440638564638,0.0,0.0,0.010378016346572635,s028
3,(wfpt.100),6.852921466959927e-06,1.2514801501459014,0.11354314980812097,0.2127423160552372,7.075928540434262e-06,2.518678021590226e-06,-0.0024912279788066732,1.1408719657657329e-05,0.5569409651834349,0.0,0.0,-0.0031382908213097556,s359
4,(wfpt.101),8.516198029884237e-06,1.2857625698683013,0.09028482718716228,0.05010640929137867,1.7486989396298114e-05,1.2930637671715317e-05,-0.004380078364851421,1.3071988642976429e-05,0.6412588312322995,0.0,0.0,0.0035726535941685983,s365
5,(wfpt.102),0.0010306435966139782,1.2366304765766607,2.26664257111457e-51,2.2614912134758977e-08,0.00014240788526709292,0.00013785204046068422,0.011732395108006067,0.0010351947305889952,0.5103688219230611,0.0,0.0,0.029209813895642762,s368
6,(wfpt.103),-1.2287786965714531e-06,1.1912589655046737,0.39239400952748715,0.007874284182031033,3.254276197572903e-05,2.793459577576929e-05,0.00495589102970547,3.347906911921328e-06,0.49851428569264694,0.0,0.0,0.001526484005244444,s369
7,(wfpt.104),4.9503610915380136e-05,1.2830757417059306,0.000602844477948419,0.8220006825210118,2.329731959571646e-07,-4.370081239990498e-06,0.00046417021289824056,5.4101105599890786e-05,0.6757379536095713,0.0,0.0,0.006194238638485747,s372
8,(wfpt.105),9.613001683894673e-06,1.2149377212148051,0.08230885034829258,5.244063223497698e-05,7.827184705400114e-05,7.34870517963282e-05,0.006346954317479605,1.4374883345213973e-05,0.49565699434782856,0.0,0.0,0.0026916765991834113,s373
9,(wfpt.106),5.620104353010191e-07,1.2721282787347366,0.289136792573138,0.34867138363897876,3.992267562202834e-06,-5.532308207101266e-07,-0.0023656737303186758,5.107483087352094e-06,0.5794722487638457,0.0,0.0,0.0023699481818909678,s374
10,(wfpt.107),1.0258531410456406e-05,1.2485069342952946,0.07247386625654881,0.9663683669097429,8.208234092421662e-09,-4.6089592802278645e-06,-6.875686805371669e-05,1.4866800303381389e-05,0.5424451110238487,0.0,0.0,0.0026964443435244945,s376
11,(wfpt.108),0.00015579337927595915,1.2711091564072412,3.224858210412858e-09,0.10050709067078346,1.2346577854316365e-05,7.76953542258596e-06,0.003374462934431043,0.00016036934624430454,0.6031987167063277,0.0,0.0,0.011684480239388693,s380
12,(wfpt.109),4.173368465232308e-05,1.2822194471066652,0.0015011878961398203,0.4831833137322582,2.260741318593773e-06,-2.3373299666840097e-06,-0.0016042029666047484,4.633121506081306e-05,0.6346277620276879,0.0,0.0,0.006797729159420942,s383
13,(wfpt.11),1.6291645348553985e-05,1.143558939016109,0.03242281669103262,5.884563844751756e-07,0.00011369249530113201,0.00010913589678995805,0.00802258698404958,2.0847400538093197e-05,0.21533167491463043,0.0,0.0,0.0036695723444090216,s032
14,(wfpt.110),6.774235688933317e-05,1.2506649346896137,7.032692370479533e-05,0.0198934361007964,2.4824579120785728e-05,2.0245497911464128e-05,-0.004277332212363157,7.231872683910456e-05,0.5051983668495703,0.0,0.0,0.006269936996473351,s384
15,(wfpt.111),-3.8499922718759905e-06,1.228963945021683,0.6815303240906913,0.26185710068743573,5.836805634484854e-06,1.2004416628519365e-06,0.0019009968777412112,7.796766153811419e-07,0.4975753666301929,0.0,0.0,-0.0007152915193623754,s388
16,(wfpt.112),0.0009767085907635975,1.1171747328294919,1.2962950942593026e-47,4.8540614626643315e-74,0.001549006071539516,0.0015443350431894043,0.03137671878671834,0.0009813769457158728,0.26199033121317694,0.0,0.0,0.02682997886140173,s391
17,(wfpt.113),0.0032083140391055975,1.244281096787005,1.2447453363506889e-155,8.02236303190872e-43,0.000856868248866105,0.0008523162402475082,0.029022336582499052,0.003212855251985558,0.5884416230943295,0.0,0.0,0.05386643004193478,s396
