,index,log_int_pval,rsq_adj,rsq,log_slope_pval,int_val,log_rsq,log_rsq_adj,slope_val,log_slope_val,int_pval,log_int_val,slope_pval,subj_id
0,(wfpt.0),0.0,-1.19199331729547e-05,1.665265232775326e-05,0.29790258542373516,0.8403131397188596,3.096323544615753e-05,2.3886094492331367e-06,0.004240816684283227,0.0070274851626407585,0.0,1.3218928186410372,0.44521453506823794,s005
1,(wfpt.1),0.0,-1.697344758833097e-05,1.119683815065109e-05,0.4342936807458334,1.236292405776576,1.729619923396264e-05,-1.0996656803818894e-05,0.003195892204322339,0.004687725916981434,0.0,1.3808026597792031,0.5284029115648619,s007
2,(wfpt.10),0.0,-1.687706101560771e-05,1.12932220081019e-05,0.13476255658534939,0.8723022847111288,6.301172610856387e-05,3.484210647086705e-05,-0.0038597310361431023,-0.018031790708808747,0.0,1.3455155037269089,0.5266333785551673,s028
3,(wfpt.100),0.0,8.896553660986406e-06,3.706611064702159e-05,0.6475675185642065,1.0127830712258095,5.890495564653264e-06,-2.229582016632925e-05,-0.006442434809493799,-0.002611355862412552,0.0,1.3637789132660398,0.2513510588195815,s359
4,(wfpt.101),0.0,-1.293146051506433e-05,1.5238711361997836e-05,0.15185240251789853,0.8420623725633624,5.787478207308627e-05,2.9693108965056503e-05,-0.003875362144071502,-0.008441226062499241,0.0,1.3335842944944796,0.46204330572575836,s365
5,(wfpt.102),0.0,0.000234143007805665,0.0002623062196424053,0.01978623665193456,0.8735726978867089,0.00015298824688037005,0.0001248195749053993,-0.020472984580559395,-0.02671449064083857,0.0,1.3604025309500003,0.0022760361093191817,s368
6,(wfpt.103),0.0,0.008581038981584577,0.008608967062967765,1.2305018089934685e-88,0.4845074971337674,0.011164223572637022,0.01113635805450508,0.09054744340195936,0.09879806929766524,0.0,1.1089714252805112,1.023825663965038e-68,s369
7,(wfpt.104),0.0,0.00037189603876519595,0.0004000553701255516,0.036901639673879466,1.0403442409011467,0.0001226790916225573,9.451115289782486e-05,0.015758094892057116,0.008257485245067815,0.0,1.383971367668535,0.00016403831357209435,s372
8,(wfpt.105),0.0,-2.4786273274512993e-05,3.384232550307509e-06,0.009978168209554803,0.8385871800657598,0.00019290497882118451,0.00016385095420701212,0.0021269946674050354,0.01571937952748446,0.0,1.316539979085005,0.7288913709088124,s373
9,(wfpt.106),0.0,-1.1908741143651369e-05,1.6261401923456376e-05,0.4347020392196467,1.25787659475768,1.7190579325587763e-05,-1.097953756623582e-05,0.0022598147377579187,0.0023315425323236242,0.0,1.4450847678309087,0.44739469248589714,s374
10,(wfpt.107),0.0,-2.8068876618769778e-05,5.041702934027725e-07,0.5316358473060993,0.954654968057227,1.118417544321293e-05,-1.7400000632328272e-05,0.0007555580189197919,-0.005148281317754561,0.0,1.3521730642047731,0.8943251624901086,s376
11,(wfpt.108),0.0,-1.27148823603207e-05,1.545528341573288e-05,0.9036988796973546,0.8324408061943435,4.1243045412198143e-07,-2.7761333775577768e-05,0.003984104989127872,0.0006669752146500072,0.0,1.3332633450266156,0.4588787684476606,s380
12,(wfpt.109),0.0,0.00025730825593295314,0.0002854708152091323,0.0035880579949736126,0.9803936469436892,0.00023890627329214986,0.00021074160884926307,0.011546306362760994,0.010082416113067684,0.0,1.3687899997688138,0.0014548443038591519,s383
13,(wfpt.11),0.0,1.99535432613418e-05,4.812278877408538e-05,0.44828579764875043,0.65956460800691,1.6198153897972745e-05,-1.1972784543345938e-05,-0.007343326319930609,-0.0046283897059648865,0.0,1.2784404473696689,0.19120871001322784,s032
14,(wfpt.110),0.0,0.000864370179469609,0.0008925156379282484,2.295636146676637e-12,0.5208457484221055,0.0013857062950057841,0.0013575691815486124,0.033037315185877006,0.04715058229646051,0.0,1.1750895699124648,1.802726671810327e-08,s384
15,(wfpt.111),0.0,0.0001360253230602293,0.00016419129885325567,0.5358532766149826,1.2061192622805184,1.0800656297882405e-05,-1.7378372623833016e-05,0.009991736119821345,0.0021598999019782025,0.0,1.4275072983554953,0.01576534403355163,s388
16,(wfpt.112),0.0,-2.706660117746118e-05,1.1039688836422812e-06,0.0030452287196738475,0.8305106783503703,0.0002474200924814651,0.0002192445554662914,-0.0010095247948605267,0.014585760656440832,0.0,1.3077861888500624,0.8430763687060241,s391
17,(wfpt.113),0.0,-2.0866141686060047e-05,7.304253709317088e-06,0.0005072335641944477,0.8795459150696582,0.0003405458715886045,0.0003123808966883912,0.0026747826360995937,0.018601696245233133,0.0,1.3163991025835686,0.6106126948141561,s396
18,(wfpt.114),0.0,6.086976048869097e-06,3.425661218015019e-05,0.17084994591312777,1.0911427938560525,5.283543282808001e-05,2.4664732902190956e-05,0.0038945192853823045,0.00448946868664982,0.0,1.400148518458977,0.2701382369030896,s397
19,(wfpt.115),0.0,1.4006901577046094e-05,4.21763146055687e-05,0.07994714283145958,1.2206373507158073,8.647261623673241e-05,5.827028857108285e-05,0.005421473569420663,0.0075314957307242615,0.0,1.4120202842430154,0.22110495774469896,s402
20,(wfpt.116),0.0,-1.6903893441000406e-05,1.126639033866006e-05,0.48354772884541575,0.846875318591173,1.3828848864583243e-05,-1.434374364550628e-05,0.0034198743126262468,0.004093246854803116,0.0,1.3244173054847157,0.5271249224073226,s403
21,(wfpt.117),0.0,-2.4797995947123397e-05,3.3725102078774327e-06,0.9290585802189397,0.9995526860147771,2.233148402863705e-07,-2.795045471759572e-05,0.0018372168909113556,0.0003633782836214988,0.0,1.375325740109564,0.7293428418185017,s408
22,(wfpt.118),0.0,-2.593829843977602e-05,2.2322398374186037e-06,0.9147595272967871,0.8958887697472239,3.227535553262939e-07,-2.7847838513173073e-05,0.0011217700371722863,0.0004162678011845923,0.0,1.3570847430746238,0.7783313250102005,s409
23,(wfpt.119),0.0,0.002710372303921349,0.0027384657608552354,2.499620594812839e-53,0.6215079060314617,0.006645613259890104,0.00661758565459869,0.05402314201264537,0.10949421419891717,0.0,1.1108196667754948,5.832885994202175e-23,s420
24,(wfpt.12),0.0,-3.781541151104406e-06,2.4790811817276825e-05,0.4704527640116847,0.6806876971687398,1.4884162037098747e-05,-1.3688473994744044e-05,-0.005226002774156686,0.004444167625001945,0.0,1.281598223317525,0.35161304097256807,s034
25,(wfpt.120),0.0,0.00011886715870634834,0.00014703361784162983,0.07205768853524716,0.8536279030491469,9.114350452177344e-05,6.297547092837252e-05,0.009748254640496749,0.006951293434315854,0.0,1.3382596300522218,0.022332280178244953,s421
26,(wfpt.121),0.0,-2.7745446337323898e-05,4.251428469270735e-07,0.8007480881984146,0.8222897470045117,1.7943553793919875e-06,-2.6376195233268618e-05,0.0006171563482725391,-0.0012910227688854008,0.0,1.3374526511261755,0.9022278493417961,s425
27,(wfpt.122),0.0,-1.1219238043258528e-05,1.6950885600830468e-05,0.05669028401956918,1.0334165447392458,0.00010230222168461367,7.413450243898279e-05,-0.004042610384599148,-0.012892172631270769,0.0,1.400329001729681,0.43792283884576666,s427
28,(wfpt.123),0.0,5.4588001173305756e-05,8.315868639297008e-05,0.01746711684019525,1.1626579653526492,0.00016197184148913912,0.0001333010065118767,0.00801921278443147,0.01329674460892533,0.0,1.3702986116432034,0.08800638011117905,s430
29,(wfpt.124),0.0,1.666178469084123e-06,2.9835939133415756e-05,0.9958154176462406,1.1561362595395501,7.750690089736167e-10,-2.8176970126025935e-05,0.0046367405197057475,2.2252035405653185e-05,0.0,1.417642794336084,0.30341665188085126,s441
