,index,log_rsq_adj,slope_val,log_rsq,log_slope_val,log_int_val,log_int_pval,slope_pval,log_slope_pval,rsq_adj,int_val,int_pval,rsq,subj_id
0,(wfpt.0),0.002185309610659547,0.03572393815768823,0.002206097849797528,0.03587268004927707,1.2280938502308014,0.0,1.878594606345407e-25,7.358085202677018e-25,0.0022415585099108126,0.5550002801343306,0.0,0.002262345577172309,s005
1,(wfpt.1),3.842647019991485e-05,0.003956371954232676,6.0904083289847755e-05,0.008733312265835413,1.321117786101223,0.0,0.4202811022251012,0.09975656053477591,-7.87571986449187e-06,0.8474990398286621,0.0,1.4596872232375269e-05,s007
2,(wfpt.10),0.0015117712875387657,0.031025517230571908,0.0015325735590174805,0.030776410821654276,1.2491097814299914,0.0,1.2281794963252728e-18,9.488636041759449e-18,0.0015957504479616746,0.61062038759602,0.0,0.0016165509698381486,s028
3,(wfpt.100),-2.0182800310353244e-05,0.005053656843183022,6.518216072448624e-07,-0.0009555088820948354,1.2848564646800074,0.0,0.28603801712963556,0.8596056870513074,2.879252517629105e-06,0.6292441319559513,0.0,2.3712959902000286e-05,s359
4,(wfpt.101),3.74550562171061e-05,-0.006595201511120976,5.828804325724857e-05,-0.010705559737211948,1.285254138743471,0.0,0.2191549364055165,0.09439598963064638,1.0623767009332319e-05,0.5923993188876991,0.0,3.14573130463236e-05,s365
5,(wfpt.102),0.0016256488043879802,0.06316109497204499,0.0016466676542837844,0.05559630211594491,1.2221300173949587,0.0,6.063978614991944e-37,8.955572201121112e-19,0.0033679646147701803,0.6167573089654357,0.0,0.003388946783560831,s368
6,(wfpt.103),0.00023685602308975984,0.003595739502334127,0.0002581321061708719,0.017490285380287983,1.2173031509500627,0.0,0.4582964487980944,0.000495956742278813,-9.573464100354201e-06,0.5281772532226738,0.0,1.170378804260519e-05,s369
7,(wfpt.104),0.014416309703502717,0.09608040927781844,0.014436843124830068,0.09870624126116245,1.2025981560953867,0.0,1.8893258460575582e-150,8.209742409645305e-154,0.01409879901760891,0.7232943740281697,0.0,0.014119339053880076,s372
8,(wfpt.105),0.0013621106967718344,0.025020432396674272,0.0013845600693396243,0.03465777077639401,1.2108865626948946,0.0,3.9484444172675145e-08,4.141674498700552e-15,0.0006554317090869954,0.5785948213899308,0.0,0.0006778893950639686,s373
9,(wfpt.106),0.001617594812426515,0.030291321236493987,0.001638394879202587,0.03040822343929317,1.2346250517053816,0.0,3.532185278928179e-19,7.217309347476674e-19,0.0016469602913253834,0.5562623821557444,0.0,0.0016677597463078397,s374
10,(wfpt.107),0.004394468692929476,0.06660182887667443,0.0044152109069610646,0.06266121015014564,1.2016358176793933,0.0,1.3462203578089477e-60,4.138278897997261e-48,0.005581729150357817,0.568693892189559,0.0,0.005602446629281221,s376
11,(wfpt.108),9.228940141015052e-05,0.022588479316132528,0.00011312124604423435,0.011170785222310062,1.2785519063179276,0.0,1.7936631871816912e-07,0.019795445951650167,0.0005466214746322473,0.6424548935573945,0.0,0.000567443853817684,s380
