,index,log_int_pval,log_int_val,slope_val,rsq_adj,rsq,log_rsq_adj,int_val,log_slope_val,int_pval,slope_pval,log_rsq,log_slope_pval,subj_id
5,(wfpt.102),0.0,1.2896395219347372,0.0026610476674881612,-2.1679647843608763e-06,1.396136259135261e-05,-1.600103055543478e-05,0.6765109198180883,-0.000339927544369792,0.0,0.352183083316322,1.4857703189985472e-07,0.9235869320597353,s369
6,(wfpt.103),0.0,1.2419663928459288,0.032585914611268814,0.0012671346716640608,0.0012827401165199648,0.0004679577710213767,0.5692052454121898,0.023121067161648325,0.0,1.2646950993411825e-19,0.0004835764353476879,2.6425549538602062e-08,s372
7,(wfpt.104),0.0,0.9419978924710549,0.23689442772230676,0.0674005678523174,0.0674151399461338,0.05558166526387054,0.29510983369800337,0.2274781082300214,0.0,0.0,0.0555964220309253,0.0,s374
8,(wfpt.105),0.0,1.211037601634768,0.012068028449717643,0.0001785335354973494,0.00019415599001182393,-1.562548315980905e-05,0.3591313694315455,1.9486225928917728e-05,0.0,0.00042323810776589494,4.934560537961374e-10,0.9955162945230226,s376
9,(wfpt.106),0.0,1.2255502887952086,0.004301164256240737,2.6336752725342194e-06,1.850690129723276e-05,-1.4148140883296634e-05,0.43125033893647957,0.0013894325360092692,0.0,0.28024542816777104,1.7258554678711846e-06,0.7416047294765857,s380
10,(wfpt.107),0.0,1.1570419816332287,0.10129104845482956,0.00930029265546084,0.00931601829725437,0.00563450794536724,0.5378445394668905,0.09460155596681838,0.0,3.0056285346832506e-130,0.005650291775143312,1.2904483998581214e-79,s383
11,(wfpt.108),0.0,1.2335082602405332,0.0056075501346027345,1.4472116452890482e-05,3.0220168042438544e-05,-6.0599921629655995e-06,0.46177527407013147,0.0035399134593345465,0.0,0.16597421039285265,9.688382771932957e-06,0.4328399503044199,s384
12,(wfpt.109),0.0,1.1870169985191252,0.017166737684000274,0.0007864985971323124,0.0008026152038744794,0.0016399307272352281,0.3800056491868536,0.022128098745379993,0.0,1.7197805439634636e-12,0.001656066100239606,4.206402718654392e-24,s388
13,(wfpt.11),0.0,1.1711382577443499,0.037351050577354404,0.0027877256311734655,0.0028033073164244193,0.0012138123076671503,0.3322843380007672,0.02890752662482767,0.0,5.759702684334146e-41,0.0012294185856980278,7.127374867836075e-19,s032
14,(wfpt.110),0.0,1.272886429165974,0.009619327383399214,0.00019317462162671273,0.0002089198589593222,-1.534277223802505e-05,0.5876772517238733,0.0004735672664710035,0.0,0.00027007954723035055,4.1294452224338585e-07,0.8713910117691304,s391
15,(wfpt.111),0.0,1.1110124935883583,0.06614612764078802,0.005531441722139596,0.005546980536156765,0.010354826384856963,0.3604159321328597,0.08715874460230345,0.0,2.112021757827527e-79,0.010370289832311141,4.188335316995497e-147,s396
16,(wfpt.112),0.0,1.2281692814023615,0.036958157484193586,0.002549819242005924,0.0025656520358718904,0.002012574882151341,0.5575903796478829,0.03475005101191221,0.0,4.489734289770691e-37,0.002028416203840977,1.1715879310714059e-29,s397
17,(wfpt.113),0.0,0.9918463905082756,0.20111691136807935,0.042504421576767704,0.04251938267894784,0.041107271684483915,0.44018777557337085,0.21597619456717765,0.0,0.0,0.04112225461747221,0.0,s402
18,(wfpt.114),0.0,1.3038375663593653,-0.013722716356529883,0.00021477592979191051,0.0002303978180100419,0.0003787767294680666,0.6011133846036979,-0.021014144042713994,0.0,0.0001229701676223056,0.00039439605513369447,5.048138595866291e-07,s403
19,(wfpt.115),0.0,1.1529644716488074,0.05090188208324588,0.0028666549997723445,0.0028826093885626625,0.0042820898310175215,0.40453168895820835,0.06002653063132253,0.0,3.9317186103286967e-41,0.004298021572488153,1.700046469558483e-60,s408
20,(wfpt.116),0.0,1.2366759578406452,0.04216341694836452,0.0022195310382162603,0.00223524436392164,0.001647177171567038,0.6194303843337617,0.04252702973570776,0.0,9.287945968615891e-33,0.0016628997584647864,8.682378976344195e-25,s409
21,(wfpt.117),0.0,1.2262415293476119,0.04030340750124277,0.0017970429190663495,0.0018132741253800155,0.0005974358892453235,0.5040475217913226,0.025795397549872028,0.0,4.3431960427593075e-26,0.0006136866016815956,8.034350364112549e-10,s420
22,(wfpt.118),0.0,1.16319360819422,0.01759438023064204,0.00028709698281448315,0.0003027177409985482,0.00044803502168866416,0.30358934147110544,0.022596337712971724,0.0,1.0734141475466075e-05,0.0004636532651766112,5.0970194643978267e-08,s421
23,(wfpt.119),0.0,0.9962959391704688,0.2063501535740251,0.05160049529984023,0.051615549499187896,0.05175218224336886,0.4214342326165112,0.20974807871308251,0.0,0.0,0.051767234034949094,0.0,s425
24,(wfpt.12),0.0,1.1884376733439024,0.010330906479359487,0.000130053630821636,0.00014592483427522396,0.00019473776172107549,0.3415191231722576,0.013403198676098196,0.0,0.002428666760005516,0.00021060819034157685,0.0002698345280990336,s034
25,(wfpt.120),0.0,1.2482477233174538,-0.015516359799302628,0.00023777545731762384,0.00025339698616255735,2.3922493828321123e-05,0.4773947698612631,-0.006368792251649981,0.0,5.6430456564236735e-05,3.9547364177994204e-05,0.11163069065146344,s427
26,(wfpt.121),0.0,0.6411046901504875,0.4803328667278736,0.2811620108362015,0.2811734211441297,0.28750494779738467,0.19697220354337436,0.46897513062731044,0.0,0.0,0.2875162583198503,0.0,s430
27,(wfpt.122),0.0,1.27577770226127,-2.9474343664644413e-05,-1.6128689141137187e-05,8.634112313998799e-10,-2.586248067260044e-06,0.6198985813951399,0.003890732036575625,0.0,0.9941624320498322,1.3543606381505313e-05,0.35949736643870733,s441
28,(wfpt.123),0.0,1.2196286040942843,0.011193035302825583,0.00011829214905967333,0.00013391554486053003,0.00011364959488346926,0.4402067085293279,0.011433531639676251,0.0,0.0034159065305565976,0.00012927330734957554,0.004022624353756588,s449
29,(wfpt.124),0.0,1.1527697919600672,0.11886767519411941,0.021628970880833154,0.021644258167027086,0.021116303614028276,0.6369572848241964,0.1223360852486853,0.0,1.7295061274337524e-306,0.02113159891077343,3.336159534396794e-299,s451
30,(wfpt.125),0.0,1.2214974747296716,0.00347696141415788,-3.038909961450287e-06,1.2709417396727929e-05,7.058241502710949e-05,0.45764568436411507,0.009314602335693879,0.0,0.36900235455032315,8.632958297605242e-05,0.019213820853171915,s453
