,index,slope_val,log_int_pval,log_rsq_adj,log_slope_val,rsq,log_rsq,log_int_val,slope_pval,log_slope_pval,int_val,int_pval,rsq_adj,subj_id
0,(wfpt.0),0.05788886832365292,0.0,0.0038738132739791764,0.05991122133713178,0.00356795458123238,0.0038876485520625836,1.2074953862821074,6.511050277702368e-58,6.002095487653341e-63,0.5791533483386941,0.0,0.0035541148628315256,s005
1,(wfpt.1),-0.004440249217290972,0.0,-5.010869351673719e-06,-0.0025471111011538677,2.4993440368548114e-05,9.074700207722941e-06,1.3172220572158673,0.18282689279995587,0.4221768332209811,0.7471495555516506,0.0,1.0908888598559763e-05,s007
2,(wfpt.10),-0.027422430783061797,0.0,0.0009959234063096067,-0.0522405958192424,0.00041329858995098334,0.00100979865564077,1.3311126313871529,4.8831810040796994e-08,1.4792741286885825e-17,0.5639677304513906,0.0,0.000399415055666541,s028
3,(wfpt.100),0.0021906099995494897,0.0,-1.3941211922441354e-05,0.0004263242728282726,4.305821138750332e-06,1.436898539042275e-07,1.2909008930579655,0.5803289245987687,0.9195480193609237,0.659077112738822,0.0,-9.779022014377858e-06,s359
4,(wfpt.101),0.12050053678345055,0.0,0.019792896674526106,0.1220107597882436,0.01980830448047677,0.019806510851158143,1.1488247241466323,0.0,0.0,0.6174475450443366,0.0,0.019794690328756914,s365
5,(wfpt.102),0.08630531142886658,0.0,0.011261407679331925,0.0886284898816318,0.010934916314752297,0.01127514035051247,1.186415826126002,3.576354817717419e-174,1.4721502305266266e-179,0.6186255410942698,0.0,0.010921178918106733,s368
6,(wfpt.103),0.004278417429008487,0.0,-5.9822087876693075e-06,0.0031623338665808833,1.5544756807761573e-05,7.90695609254044e-06,1.2643421143814708,0.29009243328417766,0.45054384573050543,0.5692088842461346,0.0,1.6556980110271624e-06,s369
7,(wfpt.104),0.1961929644264377,0.0,0.045406104530384406,0.19787947609125955,0.04473832909217601,0.04541945568068684,1.0562314395829506,0.0,0.0,0.5894084746577036,0.0,0.04472496841536111,s372
8,(wfpt.105),0.006515718693670407,0.0,-6.972489880574528e-06,0.0028837919360151718,4.207420305024634e-05,7.212207384532654e-06,1.286053177173295,0.08502195591477067,0.47581302964169625,0.6435242048902873,0.0,2.7890000295682782e-05,s373
9,(wfpt.106),-0.013633169542356464,0.0,5.375129173224025e-05,-0.009897295973491503,0.0001405691335302217,6.763962696898496e-05,1.291353935696892,0.0014656259739486619,0.027326728485822946,0.6165916939629594,0.0,0.00012668181123143274,s374
10,(wfpt.107),0.00010397163562733463,0.0,-1.3878203631190189e-05,0.00011626321321140873,8.91749085685234e-09,1.107091718299813e-08,1.2685083835003084,0.9797850056372626,0.9774766536501737,0.5675977997369791,0.0,-1.3880357087492357e-05,s376
11,(wfpt.108),0.12902372448939353,0.0,0.012165853725932596,0.1267733017112086,0.016185123696237036,0.012179573835187973,1.0989212976886553,1.808465869769541e-257,6.972331325045719e-194,0.45571554592718116,0.0,0.01617145922116403,s380
12,(wfpt.109),0.12406281111562649,0.0,0.02337356479567887,0.12629379444075964,0.023188457323435108,0.023387129240118543,1.135156930446978,0.0,0.0,0.5845505686832624,0.0,0.023174890119586622,s383
13,(wfpt.11),0.07207791646050288,0.0,0.0076832646277941175,0.07313718672599259,0.00776649501615001,0.00769704699609608,1.195660711084439,4.273149539559417e-124,5.332290892807348e-123,0.5884920185858836,0.0,0.007752713612430573,s032
14,(wfpt.110),0.000929370619608814,0.0,-1.3725204955461479e-05,0.00038875088589044454,9.006843577630264e-07,1.640674678338172e-07,1.2613253573451173,0.7989927872581976,0.913452269152657,0.5475911191651527,0.0,-1.2988577834605053e-05,s384
15,(wfpt.111),0.058236729878604544,0.0,0.0014839427186773557,0.04929753306861395,0.0030140966490992405,0.001498207437563015,1.2244802356009947,7.156832202773895e-48,1.2529412723501304e-24,0.5955730634696028,0.0,0.0029998535863925424,s388
16,(wfpt.112),0.081509349556036,0.0,0.007722170002656958,0.0828531443695647,0.008845589161797007,0.007735951830599053,1.169004400653578,3.8953695337159527e-141,1.2967260327101223e-123,0.5332965304386511,0.0,0.008831822745912654,s391
17,(wfpt.113),0.01151124205343558,0.0,0.0002082851806101127,0.014848225442236873,0.00013362075308498422,0.00022217136951308003,1.2385277930865548,0.0019236465013033619,6.342416149022086e-05,0.5243857633110949,0.0,0.00011973333427817145,s396
18,(wfpt.114),0.09486833680311635,0.0,0.006260833785263209,0.10105205269486639,0.007010456510996521,0.006274635909823578,1.127771172878977,3.638475297397596e-112,1.464763927483105e-100,0.4620826822987747,0.0,0.006996664606450653,s397
19,(wfpt.115),0.0705605500796864,0.0,0.0014436635036931822,0.057729687176296715,0.003016631019920224,0.0014576295219103086,1.2157029301076094,6.71853613704348e-49,1.745136499188376e-24,0.5933772481674077,0.0,0.0030026868065298196,s402
20,(wfpt.116),0.09812230002166497,0.0,0.009264653953235835,0.09984324965319047,0.010798527860340301,0.009278414357492215,1.1447368999569876,5.1511584084672013e-172,5.642390321000856e-148,0.5136761263993264,0.0,0.01078478856935794,s403
21,(wfpt.117),0.03858201624382719,0.0,0.0011887084447244067,0.03261800828552479,0.001660607527093405,0.0012027764075346337,1.2488367489592542,1.736519036240146e-27,2.3817480449557096e-20,0.618999209761454,0.0,0.0016465460127904619,s408
22,(wfpt.118),0.0018022584183402684,0.0,3.626767790654295e-05,-0.010150225694645399,2.0131414537605252e-06,5.02533802566596e-05,1.2836235227095165,0.7044002775184586,0.05802056787607944,0.584017699475379,0.0,-1.1973235603868204e-05,s409
23,(wfpt.119),0.0367172413512723,0.0,0.0008100964093983309,0.03226681752891902,0.001391074274634585,0.0008239742396959349,1.2470318993232312,1.3612806639517432e-23,1.3207816988921072e-14,0.6099892097798865,0.0,0.0013772043209451246,s420
24,(wfpt.12),0.05433300189360093,0.0,0.0013839804804359757,0.04585790604974111,0.0023815840665932786,0.0013979473333922687,1.2194084075058989,5.8109133874222804e-39,1.5089125640212505e-23,0.5624863588085353,0.0,0.002367630971178869,s034
25,(wfpt.120),0.026109536519758038,0.0,0.00020737826068262244,0.018791493490290245,0.0005790939130796424,0.00022126446218184714,1.260058621398847,1.0611599258147928e-10,6.565049519657934e-05,0.6031276255563147,0.0,0.0005652126815719472,s421
26,(wfpt.121),-0.0015170077783945649,0.0,-7.481817179355588e-06,-0.0035934892152514886,1.4513950015171417e-06,6.407368528971169e-06,1.2886530339607731,0.7464985086325402,0.49700958325067823,0.6163778503573084,0.0,-1.2437859541858387e-05,s425
27,(wfpt.122),0.007808976203570137,0.0,3.0076831352143785e-06,0.004542964235787953,5.0287244068303316e-05,1.689672315408064e-05,1.269782978207939,0.057066679751411734,0.2700423034006257,0.5864966523788859,0.0,3.639866781945944e-05,s427
28,(wfpt.123),0.02087185401028263,0.0,0.0001071178055460642,0.011925020839115962,0.00044548408065969713,0.000123923292826289,1.2724225315002142,2.6202890006879803e-07,0.006619348537770957,0.626929578180208,0.0,0.0004286842803988833,s430
29,(wfpt.124),0.02133299842237744,0.0,9.477794655787797e-05,0.014927235507914666,0.0003088701845651576,0.00010866571197210018,1.2669449098517194,2.404437546462669e-06,0.005155454807224471,0.6124191403386345,0.0,0.00029498519984583194,s441
30,(wfpt.125),-3.0018805927040093e-05,0.0,-1.4267171588144834e-05,-0.00014965794458461634,7.828825365763237e-10,1.895060164347484e-08,1.2718989994436445,0.9940935612810626,0.970946609477993,0.5773898296384086,0.0,-1.4285339566821875e-05,s449
31,(wfpt.126),-0.005816097605797269,0.0,3.700110274795776e-05,-0.008409924021850285,2.9758440319271884e-05,5.088967062949479e-05,1.2917915628311052,0.1432621635196947,0.055599254975321706,0.6165187650153661,0.0,1.586957894028629e-05,s451
32,(wfpt.127),0.11049450106215097,0.0,0.00390790290879417,0.10033575789189036,0.008300049620298289,0.003921737713403872,1.1861039279781476,1.6111429982682488e-132,1.743313733330215e-63,0.6677774878182898,0.0,0.00828627562726536,s453
33,(wfpt.128),0.16468049270304538,0.0,0.027809471448379308,0.16422364337772888,0.027064569813362915,0.027823874484402822,1.0852869673747116,0.0,0.0,0.5566665110967178,0.0,0.027050155528048014,s456
34,(wfpt.129),0.09850962595031922,0.0,0.00587916966693125,0.09771213272473322,0.008158868010172848,0.005892977092455731,1.1666137912627959,2.731612825818188e-130,1.5232616895623439e-94,0.5833616369723842,0.0,0.008145092056229708,s467
35,(wfpt.13),0.034959973688283366,0.0,0.0005344498346505633,0.029407733391932145,0.0010364408650763712,0.0005484285693205804,1.2555379735637358,7.271869754670911e-18,3.782486507850065e-10,0.6269649636521246,0.0,0.0010224689559440447,s042
36,(wfpt.130),0.0006892449174834107,0.0,7.859422797484861e-05,-0.015781431352838216,2.6686229204209155e-07,9.248221816604563e-05,1.3197938794576807,0.8897563786122473,0.009866753450804216,0.671556711301079,0.0,-1.3622408703506395e-05,s469
37,(wfpt.131),0.028986302285530743,0.0,0.0001272966019792987,0.014365813711963112,0.0007419232972101231,0.0001416834665873834,1.2744931844069236,6.870496527293535e-13,0.0017007710699577761,0.6316543748633411,0.0,0.0007275450693948748,s471
38,(wfpt.132),0.05937442767622284,0.0,0.001725443236938129,0.051747705029631885,0.0030995375850884077,0.0017393083539087861,1.224254593339289,1.555132366746569e-50,4.2991393051662577e-29,0.603347219124891,0.0,0.003085691360715237,s473
39,(wfpt.133),0.018268160921234296,0.0,0.00017695082306967702,0.01668927237373588,0.0003012636536128266,0.0001908374471780716,1.2651654516957804,3.198736726077973e-06,0.0002098092047826724,0.6140235746094737,0.0,0.00028737856324434485,s477
40,(wfpt.134),0.15108691092196477,0.0,0.030845085699192754,0.15439013718811112,0.030040601926425214,0.03085854637106744,1.1077686350023432,0.0,0.0,0.6012350814767495,0.0,0.030027129893895443,s481
41,(wfpt.135),0.11839808956334678,0.0,0.019196955478697153,0.11895819702135935,0.019159313034903036,0.019210577932405215,1.1438054024410451,7.677213786744116e-305,1.1680543712639492e-305,0.5851890164697732,0.0,0.019145689869162763,s484
42,(wfpt.136),0.03125991577074104,0.0,0.0003169038126478174,0.02522212804254964,0.0007300812551525038,0.00033078849293766144,1.2769141950940448,4.123971913888287e-13,1.0578400604547414e-06,0.6896253348448733,0.0,0.0007162021207495206,s489
43,(wfpt.137),0.03748295143280204,0.0,0.0010215607123753578,0.0319366346914859,0.001722795268301991,0.0010354356056279101,1.2543504500296028,7.834964047244905e-29,5.801237021027495e-18,0.6362854666047519,0.0,0.0017089299219765763,s492
44,(wfpt.138),0.11422527834407385,0.0,0.008751965372345571,0.11840742364903842,0.010819649718152968,0.008765732897375589,1.1404646568111432,2.3858910172368947e-172,7.1135986238002e-140,0.5757287507631776,0.0,0.010805910720537937,s495
45,(wfpt.139),0.0777185674778439,0.0,0.0032423156058567493,0.0825830151374537,0.004013728637697556,0.0032561596548629224,1.1819526351769518,6.200759132234721e-65,5.305089619151716e-53,0.5809567326475216,0.0,0.003999895110775031,s500
46,(wfpt.14),0.008439173695709117,0.0,-1.369475292944955e-05,0.0004949354469150069,6.928118300597585e-05,1.945190709617961e-07,1.2538354502855515,0.02552008241972593,0.9057964814223871,0.505479492873105,0.0,5.539287056921527e-05,s049
47,(wfpt.140),0.014176687243772784,0.0,0.0006014154110242087,0.027215065456675843,0.00016979989666277007,0.000615492438766907,1.2376598378081345,0.0005161509830933547,3.809347254566624e-11,0.6137391738637297,0.0,0.00015571738447783812,s501
48,(wfpt.141),0.10166728771602565,0.0,0.010873962906755463,0.10282768686001814,0.010003227179638086,0.010887700959188118,1.1574940666321183,1.9634492389234427e-159,1.9984528365157665e-173,0.570816025357607,0.0,0.009989476842506173,s502
49,(wfpt.142),0.147642694202051,0.0,0.01880363092359183,0.14768926333877336,0.024670959159655115,0.01881725884021679,1.1028379422633003,0.0,2.189535246453881e-299,0.554905644492396,0.0,0.024657412546681856,s504
50,(wfpt.143),0.07116684924996254,0.0,0.0020315299037292345,0.06859403333219671,0.0030131052111591616,0.0020453907694371054,1.1769426048612461,3.575155225425352e-49,6.371858258004736e-34,0.5038519876434822,0.0,0.0029992577863030556,s505
