,index,rsq_adj,log_slope_val,log_rsq,int_val,slope_val,log_int_pval,int_pval,slope_pval,rsq,log_int_val,log_rsq_adj,log_slope_pval,subj_id
0,(wfpt.0),6.110992823105121e-06,0.004006411026833259,9.707537846126435e-06,0.5311905176437917,0.004374798732927615,0.0,0.0,0.19034251424836415,1.465802219102752e-05,1.253307431379692,1.1604661657171889e-06,0.286549374008817,s005
1,(wfpt.1),6.004326709274643e-06,-0.004384890932033585,1.6557019964613673e-05,0.673177825565593,-0.003947724606820596,0.0,0.0,0.1900157077121562,1.4372547327612395e-05,1.2860779347780067,8.188607537595871e-06,0.15954965680041788,s007
2,(wfpt.10),0.0003048283030104848,0.019997813554387154,0.00017965383128792922,0.510537747040028,0.02254378467845811,0.0,0.0,1.1068678747383552e-09,0.00031326462037772895,1.2315304675937007,0.00017121638638450953,3.946944986629118e-06,s028
3,(wfpt.100),5.0168668876082734e-05,0.008474761454395935,5.42567994058496e-05,0.7290802219745405,0.007711213080120117,0.0,0.0,0.008288344242745662,5.8571679248609065e-05,1.305174871515631,4.585375277321724e-05,0.011054104281024414,s359
4,(wfpt.101),9.015978703919014e-05,0.008518251204673762,4.1589102123817945e-05,0.5366622575347844,0.01154160275806689,0.0,0.0,0.0005861585024154709,9.849243847970257e-05,1.2517635719326772,3.325597648096146e-05,0.025484014656209416,s365
5,(wfpt.102),0.0015130440631349051,0.041780492890420684,0.0013160896421196,0.7057416687859419,0.040543502043495175,0.0,0.0,1.2477994986719692e-41,0.0015213648571076321,1.2620720112343717,0.001307767137491589,3.046225732796352e-36,s368
6,(wfpt.103),0.000240053920057548,0.008903489921592362,4.716977260776911e-05,0.5130536330374307,0.018708425561560056,0.0,0.0,4.7669486443655315e-08,0.00024838532236992616,1.2422598565129275,3.883669347126695e-05,0.017352281046283086,s369
7,(wfpt.104),1.6276310888629908e-05,0.0024998929649545244,8.050943329895865e-06,0.7300248519969389,0.0034890529311703542,0.0,0.0,0.08969271358074908,2.4934253586628152e-05,1.3104267061812132,-6.071455465050946e-07,0.3348973392025626,s372
8,(wfpt.105),1.694255782680454e-05,0.002702978320433827,7.644885647750677e-06,0.7202011554659007,0.004056963711903673,0.0,0.0,0.08330626312434118,2.541706233483154e-05,1.3086216043555816,-8.297694744641149e-07,0.3422243729623613,s373
9,(wfpt.106),0.0022723966756142966,0.04567855483127385,0.0020112632547907294,0.7814501467882791,0.04269080619290619,0.0,0.0,2.708626897923254e-61,0.0022807459304475808,1.2768713865571595,0.002002911744834579,2.934925236843952e-54,s374
10,(wfpt.107),0.0013607813693611304,0.03219901057463588,0.001312223098244747,0.9114950738097205,0.03173389520820327,0.0,0.0,1.236061551883866e-37,0.0013691034322002027,1.3254850301536454,0.001303900561394955,3.848372829994125e-36,s376
11,(wfpt.108),-7.981053916861214e-06,0.0005183562195037903,2.745824413397102e-07,0.4360647628532043,-0.000612945423003968,0.0,0.0,0.8296686282042625,3.872837348595226e-07,1.2238358497137534,-8.093756153515486e-06,0.8562572113506141,s380
12,(wfpt.109),0.0005963346480735154,0.0252725958390941,0.00039282537089158076,0.5492399506048635,0.027498089950296196,0.0,0.0,1.603960642327646e-17,0.0006046630813549836,1.2360740039876597,0.00038449517226635255,6.584651051215044e-12,s383
13,(wfpt.11),1.213934768151681e-05,0.005809999749204613,2.1857747183551268e-05,0.6430107496884878,0.005356254778754931,0.0,0.0,0.13677235938073903,2.2139326287917704e-05,1.278995329003409,1.1857765761291716e-05,0.13929374303181902,s032
14,(wfpt.110),-7.121598189829825e-06,0.0008667084141603032,5.916186770482668e-07,0.6241929227782991,0.001163442774532596,0.0,0.0,0.7029504557197861,1.2118639355351846e-06,1.2707512460089372,-7.74198751285482e-06,0.7898984458792192,s384
15,(wfpt.111),0.00011573245745599703,0.0061935301955573716,2.6056710551336515e-05,0.5125602484295202,0.012747571325500298,0.0,0.0,0.00012128110062154465,0.00012413491686769085,1.2466202207148143,1.7653426939157058e-05,0.0782574929416276,s388
16,(wfpt.112),0.0007049086701481633,0.027484787249723197,0.0004603143017350986,0.5221873072126133,0.030721521867813028,0.0,0.0,2.1837912710148778e-20,0.0007132361986386115,1.228239681829042,0.00045198466552698324,1.0617305885072442e-13,s391
17,(wfpt.113),0.0004571193974027832,0.02044057204944493,0.000195675555897723,0.4989063314017932,0.027503763580548547,0.0,0.0,7.759389983754274e-14,0.00046544899082101576,1.2278036287273948,0.00018734371433004604,1.260305884438677e-06,s396
18,(wfpt.114),7.749460280037646e-06,-0.0048119665940417194,2.1210262519888445e-05,0.4421735519747013,-0.004159892336763085,0.0,0.0,0.16647398820006157,1.6224042696300067e-05,1.237651411395422,1.2735722360379675e-05,0.11364520585090372,s397
19,(wfpt.115),-4.421641994101222e-06,0.0015363532696462184,1.4912319026283427e-06,0.4835971878466305,-0.0022880978735685493,0.0,0.0,0.4922439202885197,3.946665871445987e-06,1.241114174601603,-6.877096510926606e-06,0.6729259125944123,s402
20,(wfpt.116),-8.365294109191623e-06,0.0006749215768094632,3.20255791996793e-07,0.5103765291231789,0.0002247141992133975,0.0,0.0,0.9462401572014312,3.820814942212536e-08,1.2473886061514834,-8.083244096512843e-06,0.8452231360022894,s403
21,(wfpt.117),0.0010685231888108992,0.028008186162325654,0.0006399759585383746,0.642887259710903,0.03416035125140022,0.0,0.0,7.676271461510102e-30,0.0010768825179835462,1.2596757288134897,0.0006316129731827047,2.2021199989639697e-18,s408
22,(wfpt.118),0.00034872220736636983,-0.024888006264710022,0.0004250980381509395,0.532559740752389,-0.018521081249274464,0.0,0.0,7.052701588890017e-11,0.00035712270886456565,1.2888682584304654,0.0004166981078835841,1.1345533982587943e-12,s409
23,(wfpt.119),0.0006334103910364819,0.013626817900662714,0.00018129101629416056,0.6276985215763093,0.025528996893619073,0.0,0.0,2.3187119380200963e-18,0.0006418085001769214,1.2728553992541658,0.000172889037193924,3.402345767202881e-06,s420
24,(wfpt.12),7.551155908380736e-05,0.0031164641636821644,4.684015421640986e-06,0.5258366860754594,0.011935779634085333,0.0,0.0,0.0015139727122282722,8.384433259389645e-05,1.2561676804959638,-3.649417768647467e-06,0.45342682309938287,s034
25,(wfpt.120),-1.5165157776220184e-06,-0.005962627270806181,2.3932695381811975e-05,0.4223207119018991,-0.0030986479461043897,0.0,0.0,0.3657615532818912,6.816899638550922e-06,1.2348932249517373,1.5599422599765767e-05,0.09013851177514558,s421
26,(wfpt.121),6.060399176155418e-05,-0.03251875411827537,0.00039088515065099916,0.59264320787102,-0.011033127293455031,0.0,0.0,0.004231670239267836,6.904237011085002e-05,1.3150354627227343,0.00038244948832044656,1.0002592828562967e-11,s425
27,(wfpt.122),-8.330732585104528e-06,-0.0005262137539423367,1.9417481744721243e-07,0.45957932953527875,5.982413605044e-05,0.0,0.0,0.9855340396525719,2.7396166446536085e-09,1.2399576876154348,-8.139295788911483e-06,0.878678239217345,s427
