,index,log_slope_val,slope_val,log_slope_pval,log_rsq_adj,rsq,slope_pval,int_pval,rsq_adj,log_int_val,int_val,log_rsq,log_int_pval,subj_id
0,(wfpt.0),0.0273414077034537,0.03243008799558317,6.427107896351494e-16,0.0003105909937530793,0.0005934272897333281,1.485597314206944e-28,0.0,0.0005885991920091538,1.2271096304260583,0.5228584405341412,0.00031542043451848745,0.0,s005
1,(wfpt.1),-0.0028855789328997563,-0.0027438546612182984,0.20995895593067468,2.8025647377249996e-06,7.323071136822179e-06,0.22161331568465734,0.0,2.421098191263127e-06,1.2716954039405177,0.5894625347974318,7.70455984266949e-06,0.0,s007
2,(wfpt.10),0.003957769598462262,0.0030631375855873577,0.22409906126898754,2.2813243965025265e-06,5.8224066118439666e-06,0.2694032071798407,0.0,1.04911914566852e-06,1.2683754187811094,0.5762081869397874,7.0546059810494555e-06,0.0,s028
3,(wfpt.100),-0.000591521292130982,0.0017223628540907793,0.7693687649139163,-4.362966537607704e-06,3.93147106514391e-06,0.36411952268441194,0.0,-8.418254271447267e-07,1.3235703635521392,0.7608819799108884,4.1034676212525767e-07,0.0,s359
4,(wfpt.101),0.002930883479097169,-0.00036584561282930814,0.20210872997481016,3.0740069258961e-06,1.503307754946448e-07,0.8609851409119261,0.0,-4.7516773309386195e-06,1.2524470688883502,0.5333455728630461,7.976096820794254e-06,0.0,s365
5,(wfpt.102),0.01844461777966632,0.01921601119025446,2.2248596207889905e-11,0.00020837181959176831,0.000249521211333259,4.5148792193844925e-13,0.0,0.00024476044942700614,1.1954454923217321,0.3821219027842077,0.00021313275477796711,0.0,s368
6,(wfpt.103),0.11029020787571175,0.11348317556196379,4.817166321473112e-224,0.0052173407462347,0.0077366981525025524,0.0,0.0,0.0077316095705588506,1.1271590204619852,0.491295766407708,0.005222442221930801,0.0,s369
7,(wfpt.104),0.0032218813058049675,0.0024938669640566825,0.24571134158307642,1.6549199074455956e-06,5.141326587465578e-06,0.2987717253904771,0.0,3.794009564295209e-07,1.2338962578495702,0.4564036777377732,6.416839464562507e-06,0.0,s372
8,(wfpt.105),0.04132077659056854,0.038102752419930545,1.184904423991772e-46,0.0009743501786120268,0.0010615678213062862,1.9598014661444166e-50,0.0,0.00105681092632548,1.216912678016366,0.5403839020210128,0.0009791074662649502,0.0,s373
9,(wfpt.106),0.060399504040094004,0.06352462411905108,4.869082515970069e-157,0.0034411885888163685,0.00527287060138848,2.0869290179380936e-239,0.0,0.005268053474203782,1.2103724211198874,0.5920549678637481,0.0034460145628472105,0.0,s374
10,(wfpt.107),-0.0006891442626526215,0.00010914934567649351,0.7674699779324275,-4.854168845325191e-06,1.618896949828752e-08,0.9560047831778812,0.0,-5.303016467728128e-06,1.2306467365227851,0.4352974020307235,4.650624985114149e-07,0.0,s376
11,(wfpt.108),0.010498137121474013,0.009375748420641986,8.03044451928929e-06,9.10095008282985e-05,8.439662635428835e-05,2.791117504114975e-05,0.0,7.958929357521072e-05,1.205822698678154,0.4016525542653005,9.581677870218464e-05,0.0,s380
12,(wfpt.109),0.025121165953640133,0.026731699993999984,8.794011691297629e-26,0.0005199401380315827,0.0006118616002166455,8.599336173167279e-30,0.0,0.0006071025637572891,1.1716605870001682,0.32993989714425015,0.0005246995895521467,0.0,s383
13,(wfpt.11),-0.0028565016941302646,-0.002616927689340052,0.2696248226501947,1.0412475487386885e-06,5.8014829147357005e-06,0.26969444892100886,0.0,1.0395604272961378e-06,1.2650024578399255,0.5399795422367224,5.803170028073623e-06,0.0,s032
14,(wfpt.110),-0.00597941636894711,-0.005241270755178115,0.03565318514950077,1.6294195251509436e-05,1.984374905505959e-05,0.04145648752672569,0.0,1.507052851712487e-05,1.2722290835562184,0.5482664538359883,2.1067409948560822e-05,0.0,s384
15,(wfpt.111),0.0030210247385040355,0.00332764447259166,0.19738797837458982,3.1731781222621436e-06,1.0249034675280377e-05,0.14379135334975793,0.0,5.452874755507153e-06,1.2264823987066638,0.45802250122164223,7.969348975955803e-06,0.0,s388
16,(wfpt.112),-0.008705065244641515,-0.008883303973640656,0.0022425882324029196,4.019037167979356e-05,6.603882971478736e-05,0.0002140729106729852,0.0,6.121982441753548e-05,1.2598136054388778,0.49834926957603287,4.500947832430935e-05,0.0,s391
17,(wfpt.113),0.012888267244441802,0.009383553917446068,9.338593050732343e-10,0.00017359822071905118,0.0001350560910373666,1.0055063860743283e-07,0.0,0.00013029478405390815,1.223015259785153,0.4559838171796433,0.00017835932149468103,0.0,s396
18,(wfpt.114),0.0689180627806554,0.06945121274624999,3.216526654211416e-101,0.002180890139011238,0.0032849940597777794,3.2459029839364785e-151,0.0,0.003280213606219773,1.2038670534785663,0.6059108412806862,0.0021856758651291885,0.0,s397
19,(wfpt.115),-0.0018575514836658494,0.00017263366110501594,0.5392175070753107,-2.9738025704162396e-06,2.170619506358662e-08,0.9462359112595236,0.0,-4.751608959630005e-06,1.280822118073412,0.5982532160285338,1.7995040983986854e-06,0.0,s402
20,(wfpt.116),0.0067696747984129745,0.008456155408158916,0.015228979157583731,2.328470846768571e-05,5.151098077837979e-05,0.0010054756463795736,0.0,4.674927595726963e-05,1.242792330231504,0.508510160729432,2.8046525025304803e-05,0.0,s403
21,(wfpt.117),0.10334699689516809,0.09659571817142037,4.507973207660795e-194,0.0041919723197548775,0.005689550106791841,1.499004269665234e-262,0.0,0.005684815250031838,1.1718609233819743,0.6339649509648837,0.004196714285324643,0.0,s408
22,(wfpt.118),0.02109882000586491,0.02894852508984143,1.2230281655063778e-19,0.00038664925039821885,0.000743149934649745,7.979203564252804e-36,0.0,0.0007383915233788452,1.2024616827053847,0.4159668009896491,0.00039140933664028044,0.0,s409
23,(wfpt.119),-0.00279146476952099,-0.0024439613040722467,0.25106354802339964,1.5295626285549702e-06,5.510000348762922e-06,0.28495305601487636,0.0,6.907033434089271e-07,1.264828593335842,0.5602616911390192,6.3488555911428435e-06,0.0,s420
24,(wfpt.12),0.007147854101472506,0.008194563078596243,0.010881594240502565,2.617923973535774e-05,4.7712061286731e-05,0.0015689799284338809,0.0,4.2938973773054556e-05,1.234317924837555,0.4742513392631302,3.0952407248152625e-05,0.0,s034
