,index,int_val,log_int_pval,log_int_val,int_pval,rsq_adj,slope_val,log_rsq,log_rsq_adj,log_slope_val,rsq,log_slope_pval,slope_pval,subj_id
0,(wfpt.0),0.34651931455046575,0.0,1.1161607897497954,0.0,0.0014482170124050509,0.03766320237128942,0.0017219952286160467,0.0016942375263367948,0.04042219952210684,0.001475955332441381,3.4654826792459006e-15,3.059028021161795e-13,s005
1,(wfpt.1),0.19013632985949436,0.0,1.0337900615588829,3.2630688735873805e-206,0.007604394728477848,0.07488616449708208,0.005437244948401476,0.005408048918604136,0.05283902092481264,0.007633160652280591,2.729565420996216e-42,1.9480308797009272e-59,s007
2,(wfpt.10),0.744536617071235,0.0,1.3162135255746126,0.0,0.00017663905514520017,-0.014987952234305074,3.364467653765857e-05,5.864746675299237e-06,-0.0068322039026145545,0.00020441269777271565,0.27111886481006897,0.006672424650444819,s028
3,(wfpt.100),0.7975490389225639,0.0,1.294013541854443,0.0,-2.745518889790688e-05,0.000946052234762055,0.00010246955158021986,7.385363004042134e-05,0.009106305419009425,1.1178404798473096e-06,0.05845721378230568,0.8432078672771601,s359
4,(wfpt.101),0.9140124419782258,0.0,1.3446786458971507,0.0,0.001994676480042923,0.04010984664611913,0.0003106101162202446,0.00028244588492343237,0.01717530529076319,0.0020227900979905566,0.0008981065526938363,2.290715027452285e-17,s365
5,(wfpt.102),0.7393628437310423,0.0,1.3101799976875692,0.0,4.001946948106738e-05,0.008603431156211849,1.630043978628759e-05,-1.147842847193381e-05,0.004063877375841452,6.779690720248865e-05,0.4436670338982568,0.11823085150387698,s368
6,(wfpt.103),0.7397543935929418,0.0,1.3051645568018813,0.0,1.510682582972489e-05,-0.00724898452831845,1.0369020563061326e-05,-1.862122791429499e-05,-0.003791307675036099,4.409273536842839e-05,0.5498055321278681,0.21744967822028252,s369
7,(wfpt.104),0.8964005775870542,0.0,1.3330815098748419,0.0,0.0011920621513278329,0.025621454154321176,0.001109602236873397,0.0010818537397967454,0.02354688810040343,0.0012198075869747083,2.585433769328691e-10,3.3914733102977906e-11,s372
8,(wfpt.105),0.7596220411085901,0.0,1.2350352811325238,0.0,0.0003549051835696204,0.01707995955398472,0.0010576676340453561,0.0010211151684460518,0.030205619382090633,0.0003912572361831623,7.543913600379036e-08,0.0010367810095421323,s373
9,(wfpt.106),0.9646477783418598,0.0,1.3604357426323743,0.0,0.0004361174698571668,0.015163791381294893,0.000454556503956538,0.0004267898101542045,0.014665040220143939,0.00046388390455065487,5.219648341906368e-05,4.372253151966799e-05,s374
10,(wfpt.107),0.7958795471256511,0.0,1.3269783368644203,0.0,2.4608061931941094e-05,0.005718718787596889,4.533995294164761e-05,1.7561891381356887e-05,0.0049483042821021755,5.2385927759912576e-05,0.2014042800492369,0.16967506293667767,s376
11,(wfpt.108),0.5543283353069663,0.0,1.254860342426233,0.0,7.78817841193824e-05,0.010498403446894872,5.009697279467762e-05,2.2319043381124892e-05,0.008041197073961831,0.00010565817008056921,0.179300673864066,0.05114156877012759,s380
12,(wfpt.109),0.8916579892559234,0.0,1.3512425695402444,0.0,-1.115058479328468e-06,0.0052711862173201295,5.014754558385626e-06,-2.276442720861027e-05,0.002298633612730111,2.666352189961696e-05,0.670927530543874,0.3272289755443578,s383
13,(wfpt.11),0.4049420219965422,0.0,1.0814196755681047,0.0,0.016052768807088058,0.10772523562649661,0.020717803429229575,0.020690564070197315,0.10886458666294582,0.01608010143386085,1.0704374440267636e-165,6.343746193357812e-129,s032
14,(wfpt.110),0.6114301965946336,0.0,1.2709545990646247,0.0,-2.773986796533734e-05,0.00023499747744451602,8.451337243364776e-07,-2.6934163871894512e-05,0.0012871043538750736,3.9452012212670695e-08,0.8615345466846789,0.9699386810391457,s384
15,(wfpt.111),0.9690863623499688,0.0,1.3452470672691275,0.0,-3.0204166113545483e-05,0.0008797313898975524,1.2446386221665051e-06,-3.0092478840781922e-05,-0.000978349175057071,1.047754389138511e-06,0.8420347994394378,0.8547197086521436,s388
16,(wfpt.112),0.6730547856884043,0.0,1.2873032991143794,0.0,1.1469711985401254e-05,0.006400182199133713,3.337768656785922e-05,4.8055789526602055e-06,0.006214118324368474,4.004162919135634e-05,0.2797806461671715,0.23649181831623933,s391
17,(wfpt.113),0.8547608096530788,0.0,1.338176497975111,0.0,-2.7719929790670506e-05,-0.00028830018676208807,6.198566959492169e-06,-2.1580581921920583e-05,0.0031801198632729587,5.9389632989237384e-08,0.6366625711495753,0.963121195547763,s396
18,(wfpt.114),0.7330908756217849,0.0,1.286648990308834,0.0,0.0009798044046610555,0.028105742902725623,0.0005264299217638824,0.0004986652245562162,0.02484073179398325,0.001007555736520227,1.338274915653383e-05,1.7022860101279623e-09,s397
19,(wfpt.115),0.9917032377384334,0.0,1.3704270973095527,0.0,1.3295820201597586e-05,0.006648692311688759,3.3564812734754312e-06,-2.5644900458976494e-05,-0.0023207708596676255,4.228178223475432e-05,0.733708898881634,0.22714558042799338,s402
20,(wfpt.116),0.6116409595913415,0.0,1.2570676955526232,0.0,4.3269882771146406e-05,0.008144377998969507,0.0001833972546109175,0.00015562225661813756,0.01253156590580724,7.104723020079362e-05,0.010184914039229234,0.10976416428026281,s403
21,(wfpt.117),0.9594142525041709,0.0,1.368985765743158,0.0,-1.9754705824714947e-05,0.0028715999097677757,4.9872592744359956e-05,2.087171897957596e-05,-0.007355417835169806,9.232214222443247e-06,0.18974133015427774,0.5725166481992642,s408
22,(wfpt.118),0.9122466982803369,0.0,1.3735769634022732,0.0,0.00022430110235771572,-0.012574375711619092,0.0002449805868566246,0.0002172080711775326,-0.010948009583460382,0.00025207342100264096,0.0029798437647627,0.0025910535433859194,s409
23,(wfpt.119),0.8498518338622323,0.0,1.3339083369929923,0.0,-1.745516077189535e-05,0.0032677452441487965,2.1514157462210193e-06,-2.6425666772800227e-05,0.0014718301637696976,1.1117582882524957e-05,0.7837938544684593,0.5327782457181776,s420
24,(wfpt.12),0.6603076480452357,0.0,1.2730559347301664,0.0,0.0007905204132043764,0.02598063381979279,0.00045592663240956455,0.00042815997666845185,0.020631858093175894,0.0008182770030982223,5.0855189233812675e-05,5.684805376637057e-08,s034
25,(wfpt.120),0.715568341789269,0.0,1.306893476523931,0.0,-1.3251638361078122e-05,0.003480253125523596,3.261593650716321e-07,-2.745315264784942e-05,0.0005205938458108204,1.4527279154519235e-05,0.9137136650719974,0.46958620128273787,s421
26,(wfpt.121),0.7740304102926883,0.0,1.3099945676784315,0.0,0.0006098307458607399,0.01789341810166788,0.0005231506846128386,0.0004953858963102631,0.015747877946964424,0.0006375923550514528,1.4237485122181031e-05,1.6548920257168448e-06,s425
27,(wfpt.122),0.7314990503356158,0.0,1.2848069406559848,0.0,0.0007184355414513455,0.031186432540313242,0.00034013599528215366,0.00031236535150613864,0.023999582719324637,0.0007461941337584266,0.0004663095427160868,2.1748120960528885e-07,s427
28,(wfpt.123),0.7793876886746087,0.0,1.233452563410181,0.0,0.0004262308982674323,0.01672437276611518,0.0015260293685186443,0.0014976127714662057,0.03129950181924461,0.00045438869902525436,2.3833273089194113e-13,5.9035930137158714e-05,s430
29,(wfpt.124),0.9117117329055471,0.0,1.357372037938494,0.0,0.00015614021975884906,0.012525144168978463,9.492472179406519e-07,-2.7226089498677553e-05,0.0009723275249956251,0.0001843056289191347,0.8543673005188197,0.010529810534496255,s441
30,(wfpt.125),0.7315074663329938,0.0,1.2779305799745928,0.0,1.9703144312099852e-05,0.007569702989634349,8.851736828363599e-05,5.994030390443772e-05,0.011776290148973488,4.827482627034474e-05,0.07842150968260105,0.1936617483998826,s449
31,(wfpt.126),0.8239031229114432,0.0,1.331344004871917,0.0,0.0002045187697228279,0.010892280520921067,0.00015574934191608936,0.0001279743474535966,0.008537126321610343,0.00023229163789229013,0.017888623270336978,0.00382961113095335,s451
32,(wfpt.127),0.9209503984421299,0.0,1.3594956712186683,0.0,6.442267222883657e-05,-0.008554155005977506,6.528813355899388e-05,3.587136750038411e-05,-0.007216078686909583,9.383340717183941e-05,0.13629360392823775,0.07407863940655149,s453
33,(wfpt.128),-0.24328339108915437,0.0,0.6491016170452047,0.0,0.18932241065315158,0.3674367469213644,0.12571131345202247,0.1256830321333141,0.2549624199880153,0.18934814726667426,0.0,0.0,s456
34,(wfpt.129),0.6692743030949365,0.0,1.288722416281474,0.0,5.831419834523288e-05,0.009810267145718757,3.0620463132624565e-05,2.8419926748624036e-06,0.0066931172612930065,8.609112786561735e-05,0.2937669409800858,0.07833083640148991,s467
35,(wfpt.13),0.7056238765331557,0.0,1.2996039474693455,0.0,-6.549413549272742e-06,-0.0049687147752257785,1.899995094467588e-05,-8.780385760909226e-06,-0.004808156495693983,2.1229317788251656e-05,0.40824040897141733,0.38201406754537337,s042
36,(wfpt.130),0.7085006108516707,0.0,1.3057201865207582,0.0,-1.1063166589497797e-06,0.005445896157363065,2.822168107985412e-06,-2.4957074567621973e-05,0.001936310697742201,2.667226347707885e-05,0.7499284952299853,0.3271496905319985,s469
37,(wfpt.131),0.55713574568614,0.0,1.2166970106453052,0.0,8.01667148233598e-05,0.00989952816935184,0.00029746372495897955,0.0002692745038820332,0.01692311994141704,0.00010833426414269542,0.0011614571983100434,0.04987061040989155,s471
38,(wfpt.132),0.6591736041250217,0.0,1.2862910041339601,0.0,8.544614596206479e-06,0.00660973437272741,1.889592592907441e-05,-8.882870228488216e-06,0.005534080928360299,3.6322926643461706e-05,0.4095135531016487,0.252837214832287,s473
39,(wfpt.133),-0.21783377390668815,0.0,0.9324581891506789,0.0,0.002025855335547111,0.04503788715231879,0.0016165349316247246,0.0015857813749136085,0.040811250707008,0.00205656317716274,4.257059739358628e-13,2.8534820023038113e-16,s477
40,(wfpt.134),0.947496982380314,0.0,1.3705622544648521,0.0,-1.233832126512624e-05,0.0033225199641930252,5.2493914104445594e-08,-2.772682570117979e-05,0.0002026519422936232,1.5440570879654558e-05,0.965326797367982,0.4559468186026474,s481
41,(wfpt.135),0.7907309435769928,0.0,1.291844515216645,0.0,2.8964436620704248e-05,0.007404690401885299,0.00018562157176593708,0.0001574474691810046,0.01281058139622141,5.713342829838375e-05,0.010268740635227687,0.15440827931291115,s484
42,(wfpt.136),0.26526860685247955,0.0,0.8240019692351319,0.0,0.20334221647300466,0.36760856101864264,0.1891940745754559,0.1891707962910132,0.31190622260386924,0.20336497877431414,0.0,0.0,s489
43,(wfpt.137),0.5788591615649418,0.0,1.2217464500101007,0.0,1.4955951176398585e-06,0.006300955941376521,8.141585602705614e-05,5.283940539280163e-05,0.012126880532728477,3.0067797306521094e-05,0.09143662181145246,0.30497485504190047,s492
44,(wfpt.138),1.0272017202204666,0.0,1.3730581995603177,0.0,0.0001472965718268826,0.011892411583868539,2.4016746188459948e-06,-2.7471293217562476e-05,0.0017248369624372013,0.0001771438121453972,0.776762893891175,0.014848118927190611,s495
45,(wfpt.139),0.3591399103119714,0.0,1.10084403495496,0.0,0.003741166472217561,0.05587445034556331,0.004534485691209622,0.004506400105093178,0.05954354632096603,0.0037692308918780837,6.5601456206484814e-37,5.324807575963528e-31,s500
46,(wfpt.14),0.6889006365774963,0.0,1.281121672269141,0.0,-2.5185482545486693e-05,0.0017516133768712373,4.543575318094462e-06,-2.323793479219738e-05,0.0026100769487148474,2.5937664748232336e-06,0.6859142973962427,0.7599367939214571,s049
47,(wfpt.140),0.6948319223157401,0.0,1.3081033127324053,0.0,2.8242340551876133e-05,-0.0073390765002725455,0.0001336808459633243,0.00010590292349765829,-0.011238324628838444,5.6020105424825495e-05,0.028260637698996848,0.15558305708410278,s501
48,(wfpt.141),1.1366903932888528,0.0,1.39561145191169,0.0,0.0014415850089696258,0.02586744762760279,0.0011077371170791217,0.0010783562045877382,0.021277116838677043,0.001470955237946714,8.330496559147845e-10,1.5021292651564513e-12,s502
49,(wfpt.142),0.8017585241679663,0.0,1.3335221644058055,0.0,-2.777485758365117e-05,5.6196435903211423e-05,2.5293481200616696e-06,-2.524990268981675e-05,-0.0015050893009721702,4.463365788076601e-09,0.7628461086369354,0.9898866316494574,s504
50,(wfpt.143),0.7000147267383192,0.0,1.296712442402524,0.0,2.9434567909158993e-05,-0.0062851156546944315,1.1298518672875346e-06,-2.829139824744864e-05,-0.0009741998291230364,5.884633194430666e-05,0.8446381385575275,0.15722792678556394,s505
51,(wfpt.144),0.7306331906214312,0.0,1.3151161754530107,0.0,-2.531865012644907e-05,0.0014331867047341568,1.291135843906055e-06,-2.6488149362569047e-05,-0.0011354034966069605,2.4606025931239728e-06,0.829309802130621,0.7659957902880115,s507
52,(wfpt.145),0.6941511495574012,0.0,1.28747114302939,0.0,-2.430355984284205e-05,-0.0018845920258719101,9.738537823933413e-07,-2.6809299223717886e-05,0.001070863215341946,3.4756646789535495e-06,0.8514878910812932,0.7235512558650703,s508
53,(wfpt.146),0.7751198456600312,0.0,1.3126958549679013,0.0,-1.3381564706982374e-05,-0.0033791281887162296,1.8550964129282477e-06,-2.632180257000627e-05,-0.0012227300300046936,1.4788619849381845e-05,0.797498188330787,0.4687322874852803,s509
54,(wfpt.147),0.646731036795764,0.0,1.3004953808904816,0.0,2.118201205802972e-05,-0.006866173036470331,0.0001314161151610982,0.00010363967312754241,-0.011484896573700902,4.895997305665034e-05,0.02962656697321114,0.18431551098023788,s510
55,(wfpt.148),0.7170273414690143,0.0,1.313811848832514,0.0,-2.392855790089854e-05,0.002023029933228952,3.445133645119114e-05,6.672200727031452e-06,-0.0061808219880448685,3.850656203896463e-06,0.2654423600077574,0.7096625264569827,s551
56,(wfpt.149),0.7718949020745873,0.0,1.2541439492788693,0.0,0.0006666218275768188,0.02105760157513753,0.0009804591220816672,0.0009424142787565204,0.02300065213839104,0.0007043339441914487,3.870163838487793e-07,1.5543586298846068e-05,s556
57,(wfpt.15),0.6751878795362862,0.0,1.2788185462022539,0.0,0.0004923458048441409,0.02457240568333936,0.0002352897472066573,0.00020751696232268468,0.018006583627822193,0.0005201106775960529,0.00360884886815125,1.5078773972658553e-05,s060
58,(wfpt.16),0.9227491641572441,0.0,1.3601586200615856,0.0,2.2398317082505947e-05,0.0067332998887269825,4.478997600476653e-06,-2.330328614141841e-05,-0.0020321169249295414,5.0176244293931305e-05,0.6880402029451901,0.17895696817628423,s062
59,(wfpt.17),0.7887665783747345,0.0,1.331878230509294,0.0,4.8077381522904084e-05,-0.00946506008538257,3.711483700830076e-05,8.945281394945326e-06,-0.008079832201717707,7.624583479259872e-05,0.25103970917559465,0.09993128850262546,s063
60,(wfpt.18),0.5925716166855232,0.0,1.1996182779371902,0.0,2.256800088251687e-05,0.006846159400747579,5.604247145951646e-05,1.9255481630620075e-05,0.006443547797373338,5.893213892393945e-05,0.21711156254788366,0.20301731128723435,s065
61,(wfpt.19),1.0939073679855449,0.0,1.3927696156683722,0.0,0.000366921755385774,0.01784678054839265,3.2355334713685124e-05,4.575369032311372e-06,0.007521921428396259,0.0003946901122359181,0.2805000968815241,0.00016344182113600995,s066
62,(wfpt.2),0.7597300710613553,0.0,1.3414432683219921,0.0,0.0002494970798613272,-0.018391491449888924,0.0002502993510377083,0.00022252698311031605,-0.021299731026386378,0.00027726869859856507,0.002683186326454852,0.0015804664978299918,s009
63,(wfpt.20),0.7621354158865161,0.0,1.298148904763427,0.0,-9.882394228055702e-06,-0.0037494759540224903,2.9501109743979015e-07,-3.0535872361348027e-05,0.00046082153949477615,2.088808739897363e-05,0.9220760926411002,0.4099941389137536,s071
64,(wfpt.21),0.7599648904365237,0.0,1.2330202269837522,0.0,0.02546254687991134,0.10906990275763491,0.01788599413624914,0.017858710918040366,0.08437139334375193,0.025489618116699142,2.648049763001972e-143,3.871091546051276e-204,s081
65,(wfpt.22),0.7426755994043026,0.0,1.2398411634997992,0.0,0.008518980469210513,0.07180252408945151,0.008358285666275389,0.008330738532703053,0.0706517385667482,0.00854652237369491,1.124966250207447e-67,3.6506517463666473e-69,s082
66,(wfpt.23),0.8281651732990191,0.0,1.335755933234565,0.0,-2.710576336673043e-05,-0.0007645275459375819,6.299866286751943e-06,-2.1479279780800553e-05,0.002463156736098815,6.735389963541394e-07,0.6339216443558267,0.8762613004256848,s083
