,index,rsq_adj,log_slope_pval,int_val,log_rsq,rsq,slope_val,log_slope_val,slope_pval,log_int_pval,int_pval,log_rsq_adj,log_int_val,subj_id
0,(wfpt.0),0.0007302648054270389,9.077326504281835e-05,0.7986499662638994,0.0003225085135737382,0.0007513025059091571,0.024383971849413745,0.018476140538524533,2.303528132905017e-09,0.0,0.0,0.00030146001288966495,1.310905688430592,s005
1,(wfpt.1),0.02807203768778832,0.0,0.35476862953398813,0.03279518327793629,0.02809293981390526,0.15134165695480267,0.14872218956461866,4.276703893517665e-290,0.0,0.0,0.032774341490776626,1.0149804432575216,s007
2,(wfpt.10),2.4093715896955636e-05,0.5065683757929997,0.8859494950931402,9.191807817665598e-06,4.492698130409423e-05,0.005626237640175492,0.002731537771223611,0.14197409606738043,0.0,0.0,-1.1643938487848615e-05,1.3496101552225033,s028
3,(wfpt.100),0.013264035823409848,1.4532938973022854e-182,0.5102385669683517,0.017369361300404784,0.013284809649473095,0.10519827333278448,0.113393261391414,3.65292268920101e-140,0.0,0.0,0.01734862282084071,1.0974884760572168,s359
4,(wfpt.101),0.016841478859346393,2.839271614894641e-75,0.9389143351949001,0.006998392359161554,0.016861961755263666,0.09792585064624776,0.06564254858568506,1.59485496763241e-179,0.0,0.0,0.006977700083689253,1.3005753831238727,s365
5,(wfpt.102),0.0014496763537075186,3.9309336435990354e-19,0.11344045526585056,0.0016638141729715672,0.0014704799188576256,0.03560565805905744,0.036237857007021215,4.3062949746946255e-17,0.0,5.136351586754788e-218,0.0016430090008172638,1.063822539434292,s368
6,(wfpt.103),0.0021371074079384877,4.214993254244984e-34,0.5280170116434216,0.003085226970845678,0.002157896651309943,0.04431197041030366,0.05077122098935215,2.3711354319037213e-24,0.0,0.0,0.003064446223904005,1.1826024577363627,s369
7,(wfpt.104),-1.7432085256841034e-05,0.8157715406006814,1.0728019749345752,1.1323206824398468e-06,3.4020452892580266e-06,0.0017200496366517712,0.0011706434147678052,0.6861454296988853,0.0,0.0,-1.9727063290897462e-05,1.3797360240650594,s372
8,(wfpt.105),3.749741614100799e-06,0.0011603152741849754,0.8070027578358139,0.00022459863966961535,2.5026710278597264e-05,0.004957497745791611,0.015554537752771259,0.27812942061095314,0.0,0.0,0.00020331731394196417,1.2976334964798242,s373
9,(wfpt.106),1.1670732928847904e-05,0.3235739836761593,0.8054755045314189,2.030518333551168e-05,3.2504257153509464e-05,0.005563465189522041,0.004479040777433892,0.21164348731593466,0.0,0.0,-5.320680671605515e-07,1.3145865223799407,s374
10,(wfpt.107),0.00017354715435946577,0.2627305372499459,0.8314011190483757,2.614504429410136e-05,0.00019437730608851123,0.011353117542984351,0.004303244742140971,0.002253669650200597,0.0,0.0,5.301399584323185e-06,1.3326379180937977,s376
11,(wfpt.108),-1.5734836253056272e-05,0.8150684771944152,0.8675312912511582,1.1400690954621595e-06,5.099258932994566e-06,0.0019757148196073962,-0.0009211525296401818,0.6207946236167949,0.0,0.0,-1.969975293070192e-05,1.3447351935394323,s380
