,index,rsq,log_slope_val,log_rsq_adj,log_slope_pval,rsq_adj,log_int_pval,slope_pval,int_pval,int_val,slope_val,log_rsq,log_int_val,subj_id
0,(wfpt.0),0.0012792050980119374,0.022199951670160305,0.00043173423022102586,1.220624999600582e-07,0.00126322505393206,0.0,3.7473225333744955e-19,0.0,0.4252812117780389,0.03562846675397767,0.0004477275783669743,1.206584541397867,s005
1,(wfpt.1),0.002838078450159154,0.03776822337379972,0.003014349779679626,2.85256827039841e-35,0.002818525488836099,0.0,2.2127369417090443e-33,0.0,0.23349687180090686,0.04033846851941903,0.0030340744933055053,1.0870002542777728,s007
2,(wfpt.10),0.0002892122447436529,0.014241781818270391,0.00023536104995580676,6.93617256954013e-05,0.0002733433157655618,0.0,1.965655470821303e-05,0.0,0.4628761751452396,0.015473901892380574,0.0002512313375764297,1.2209217448470344,s028
3,(wfpt.100),0.003994073692922928,0.06418356440762586,0.006202729224170089,3.969624648754572e-88,0.003978388066189664,0.0,3.280493078437601e-57,0.0,0.41936889282512646,0.053585866295575484,0.006218380807298973,1.1521620623251134,s359
4,(wfpt.101),0.0032927925639936184,0.04721438107306525,0.0021185551627244115,1.3842405858615524e-31,0.0032772185271886523,0.0,7.991632381329027e-48,0.0,0.529768743585707,0.05028853610360279,0.0021341473039272474,1.2074568279169382,s365
5,(wfpt.102),0.0023341494954067787,0.03893228617256839,0.002234745158617768,3.248219443877189e-33,0.002318560479335763,0.0,2.1695565719019067e-34,0.0,0.6443058677075735,0.03908186030747579,0.002250335484323629,1.2494074541318008,s368
6,(wfpt.103),0.0002834122840373876,0.01573547662220649,0.000147072432210682,0.001410380732912826,0.0002674163067626356,0.0,2.5658583290135353e-05,0.0,0.6092412273030698,0.015383396028058952,0.00016307059099274213,1.258352757269133,s369
7,(wfpt.104),0.1838452835321317,0.3989025321471086,0.19066015064471997,0.0,0.18383253071616135,0.0,0.0,0.0,0.29593117374288647,0.3878420886422219,0.19067279677746207,0.7499327329000753,s372
8,(wfpt.105),0.001530631066695709,0.053784126093476624,0.005222506244883407,3.352308635392562e-56,0.0015096097738215297,0.0,1.4664869260133676e-17,0.0,0.4803014806127949,0.030462016106309112,0.005243467463092344,1.176496202198227,s373
9,(wfpt.106),0.012605530652652241,0.1354602777283441,0.007801461697766188,2.2102179266359151e-110,0.012589980643685772,0.0,3.4250730043403193e-177,0.0,0.4136509792814866,0.13945561532063266,0.007817087117667376,1.0767852395649076,s374
