,index,rsq,log_slope_pval,log_rsq_adj,rsq_adj,log_rsq,log_slope_val,log_int_val,slope_pval,log_int_pval,slope_val,int_pval,int_val,subj_id
87,(wfpt.42),2.169075091318362e-06,0.4175032239501071,-9.655527925644947e-06,-2.600146496511968e-05,1.8523283377702704e-05,0.004239352932033601,1.3142455087744103,0.7814092419317477,0.0,0.0013992478590730295,0.0,0.797971641360935,s129
88,(wfpt.43),1.7163410427900594e-05,0.6175842291840739,-2.1151009488074024e-05,-1.100670722919972e-05,7.023362265212718e-06,-0.003409981451057968,1.286733424255143,0.43506529157979423,0.0,-0.004558578955730694,0.0,0.714331856067304,s142
89,(wfpt.44),1.5947297236751368e-05,0.5265914435622452,-1.68814274736917e-05,-1.2222854679055928e-05,1.1299969776668028e-05,0.003994067890096464,1.346653773839507,0.45181536575245185,0.0,-0.004282392097206601,0.0,0.9972731565510986,s145
90,(wfpt.45),6.911700335399118e-07,0.8498909324125777,-2.7163062565893625e-05,-2.7479411656372577e-05,1.0090974211784953e-06,-0.0007607845252368337,1.3975989882983302,0.8755317785028938,0.0,0.000629392694118905,0.0,1.0570673507445165,s149
91,(wfpt.46),0.002632576108786644,9.163518762042199e-08,0.000775726046377212,0.0026044796688775573,0.0008038779670950236,0.025849599212318407,1.363307595077472,3.9147322871402797e-22,0.0,0.0417839199109242,0.0,1.0326137992890554,s161
92,(wfpt.47),5.0246888978922044e-05,0.04708506740505333,8.293290930960762e-05,2.207770330331371e-05,0.00011111625909643319,0.00953749864472813,1.3351725017238234,0.18169763245878537,0.0,0.008818443965533499,0.0,0.9350858140167467,s163
93,(wfpt.48),6.075991920528878e-05,0.8936559020903243,-2.7679640429489893e-05,3.259102968811156e-05,5.036495867027924e-07,0.0006923241524679456,1.375677360012764,0.14193163190771332,0.0,0.007397061383224369,0.0,1.0135571542285142,s165
94,(wfpt.49),4.389569578422403e-05,0.43688921498516464,-1.1142921138462825e-05,1.572633119173439e-05,1.702799392500065e-05,0.002440283555575475,1.3637772060855737,0.21192579332941489,0.0,0.004283313128256816,0.0,0.9255119664526155,s168
95,(wfpt.5),4.2647018292041317e-05,0.19105489101490275,1.9992543134561558e-05,1.4477618523467406e-05,4.81697250065416e-05,0.007379760075797852,1.2816837679639321,0.21854573292675963,0.0,0.006443551502107735,0.0,0.713512365877674,s014
96,(wfpt.50),0.00016280979602179002,0.0012756110640646052,0.000268318586301608,0.00013424138667816887,0.00029692648653101283,0.025361678380185708,1.175550531685197,0.016980387978787165,0.0,0.012036798836809056,0.0,0.5447045195129492,s170
97,(wfpt.51),2.700889263396178e-05,0.13773048336170665,3.389465400494007e-05,-1.1609476699980803e-06,6.206430033284249e-05,0.009532644930612389,1.2564335437234422,0.32749921171324614,0.0,0.005780406817606427,0.0,0.6425522127930381,s173
98,(wfpt.52),9.519892891773907e-07,0.5390750658707433,-1.7545131376417444e-05,-2.7218585053390143e-05,1.0629138785800407e-05,-0.003634346054261387,1.3418512759125596,0.8541472751493662,0.0,0.0009643989920641825,0.0,0.8502004542193766,s179
99,(wfpt.53),2.000654020672954e-06,0.5126026744447396,-1.6094269990052368e-05,-2.6169890780414207e-05,1.2079959295752118e-05,0.004032645986270955,1.348103595941791,0.7898598847705246,0.0,0.0014654024143331053,0.0,0.9483916495404698,s180
