,index,int_val,slope_pval,log_slope_val,log_slope_pval,rsq,rsq_adj,log_rsq_adj,log_int_val,log_int_pval,int_pval,log_rsq,slope_val,subj_id
121,(wfpt.72),0.4358364595212561,0.29661328325578135,0.004991141960808971,0.3468182294742158,1.4525164996448403e-05,1.1916697721936487e-06,-1.5323445750059506e-06,1.2274084292128422,0.0,0.0,1.180118696997301e-05,0.004966356362984608,s244
122,(wfpt.73),0.45742290004605096,0.5725125774568045,0.0017279886628902676,0.598576458067227,4.3931974675892604e-06,-9.400225893019254e-06,-9.970571860806743e-06,1.2383327727826834,0.0,0.0,3.822859366731102e-06,0.0018435988609644136,s254
123,(wfpt.74),0.6511258596037607,0.21095666885767997,0.017047359163440048,0.19837951989138647,2.1734529950467874e-05,7.845557125185643e-06,9.087472292668153e-06,1.2646815780418044,0.0,0.0,2.297642786885934e-05,0.01698368275521725,s259
124,(wfpt.75),0.6450870841457526,0.622355907433886,-0.0016649098009475782,0.7244955145527453,3.234372013771747e-06,-1.0099273758390481e-05,-1.1677266563037136e-05,1.2934823158030477,0.0,0.0,1.6564002492946983e-06,-0.0020261408888888237,s262
125,(wfpt.76),0.38219315900619755,0.3368272664309979,0.0037015312984082106,0.36501038140502173,1.2299934314619065e-05,-1.0335905802349998e-06,-2.392159591968479e-06,1.2057111160458127,0.0,0.0,1.0941383417284456e-05,0.0037552810916617694,s265
126,(wfpt.77),0.5447348825040096,0.09489952400971785,0.006560470008312809,0.07867670772285854,3.7190347564663995e-05,2.3857154550888104e-05,2.789442200523684e-05,1.25676158428813,0.0,0.0,4.1227561188073025e-05,0.00614288378220053,s269
127,(wfpt.78),0.5118511062289313,0.6905437622699692,-0.0012472318727807137,0.7029380907797464,2.1133661021188743e-06,-1.1220294617197979e-05,-1.1394487724469826e-05,1.2574241998190376,0.0,0.0,1.939175317544617e-06,-0.0013066545952330742,s273
128,(wfpt.79),0.3934161129192132,0.071506060958254,0.007186310625070266,0.10567090421179562,4.359924453889441e-05,3.0176650633650937e-05,2.171609965395671e-05,1.2101563834658577,0.0,0.0,3.513880712524564e-05,0.007645411611932053,s275
129,(wfpt.8),0.4073430767960699,0.9593476144188573,-0.00019942425294512938,0.9631830604586993,3.464345599279994e-08,-1.329904498037493e-05,-1.3305278151243272e-05,1.2252933831601545,0.0,0.0,2.8410368169140554e-08,0.00021580974614605149,s026
130,(wfpt.80),0.4533352442404795,0.46639311387774907,0.002660699981631043,0.5213581465020288,7.0736587102215864e-06,-6.259935870112088e-06,-7.850704687006882e-06,1.2360167550085785,0.0,0.0,5.482911103804611e-06,0.0030028493559175725,s277
131,(wfpt.81),0.5085775959087302,0.6738602557286691,-0.0014503954522701893,0.7271182963754634,2.3616726071429284e-06,-1.0971984801377843e-05,-1.1709960425099197e-05,1.2558431209669139,0.0,0.0,1.6237068233282415e-06,-0.0017314955067946258,s284
132,(wfpt.82),0.5623212018840168,0.7074133053142669,0.0016384322612315039,0.6620744865033414,1.8783858842796874e-06,-1.1455277968197564e-05,-1.0786727596023837e-05,1.2671748187406264,0.0,0.0,2.546927342472749e-06,0.0014768853879198775,s285
