,index,slope_val,int_pval,rsq_adj,log_slope_pval,log_slope_val,log_rsq_adj,log_int_val,log_int_pval,slope_pval,int_val,rsq,log_rsq,subj_id
0,(wfpt.0),0.17887381316174855,0.0,0.04495446707496076,0.0,0.1809488628351406,0.04634033434885465,1.085356128911192,0.0,0.0,0.6289166315274455,0.04497834381020216,0.04636417643654811,s005
1,(wfpt.1),0.13342422694700581,0.0,0.02675148233576985,3.379588006996665e-241,0.1340034995753021,0.02710154907278628,1.1756321400659162,0.0,4.5321403757827835e-238,0.771978230405267,0.026775814157006916,0.02712587214213613,s007
2,(wfpt.10),0.06542303377417602,0.0,0.0044789806078582295,6.727913746669561e-18,0.04708650589921943,0.0018308081746273297,1.247679010441123,0.0,3.6749003387244596e-41,0.6679710017204119,0.004503869255559123,0.001855763028294266,s028
3,(wfpt.100),0.006202520709807548,0.0,1.0994141598885676e-05,0.028197559269724694,0.011237481977264444,9.54007340594476e-05,1.266269849513442,0.0,0.23018536887136173,0.6234984387746688,3.599449175406555e-05,0.00012039897399707122,s359
4,(wfpt.101),-0.007563900542511926,0.0,2.1041724688863894e-05,0.19262476086086275,-0.008310182916509996,1.765799254582756e-05,1.312898835454936,0.0,0.1760001587088317,0.7195422025439452,4.6358288608883136e-05,4.2974642132209695e-05,s365
5,(wfpt.102),0.09859311164135509,0.0,0.012005462757812113,5.940296830276945e-103,0.091632070145528,0.011513255696079527,1.1642046007138946,0.0,2.747025311903631e-107,0.5450376399070628,0.012030163238755165,0.011537968482506766,s368
6,(wfpt.103),-0.02693082923717398,0.0,0.0005666422423681317,0.00010628597580050793,-0.02346708020730045,0.0003549380752756459,1.3081118301447556,0.0,1.3245216241058093e-06,0.6359130523309473,0.0005919449932672016,0.000380246185909594,s369
7,(wfpt.104),0.02229284128493181,0.0,0.0006608689612921381,1.7028049227432064e-07,0.021130056155755583,0.0006584282022504828,1.3214027022322983,0.0,1.618922241921382e-07,0.8427072596721625,0.0006858530641705718,0.0006834123661494385,s372
8,(wfpt.105),0.031751677112544084,0.0,0.0009733793814709069,0.00038505314817360495,0.01775071920411996,0.000331494223713924,1.3101017471498082,0.0,3.16043314176509e-09,0.7840315523948602,0.0010019238147581655,0.0003600569971011769,s373
9,(wfpt.106),-0.01369807901260354,0.0,0.00011265783242109251,0.022229335545553862,-0.013842523122518737,0.00010569526725512368,1.2907893489222497,0.0,0.018948518219197193,0.5948736817008684,0.00013765564092038662,0.00013069324982295516,s374
10,(wfpt.107),0.008017807261659378,0.0,3.2313169118891594e-05,0.0024369099623743258,0.016175312982827997,0.00021265079162735567,1.2158359869915552,0.0,0.1341361684143442,0.4557005935631824,5.8287030435644205e-05,0.00023861996872831526,s376
11,(wfpt.108),0.006965558419896609,0.0,8.683238749029876e-06,0.9110499025912026,-0.0007412063209495043,-2.468922042053734e-05,1.2619258005890661,0.0,0.24575343217643839,0.531527999523252,3.368364667821755e-05,3.120218409202735e-07,s380
12,(wfpt.109),0.08937056857891419,0.0,0.011984189880510643,7.722245763729738e-111,0.09195205708552366,0.01240851941621024,1.1963897634268967,0.0,4.229150502533017e-107,0.6699463733779217,0.012008890893288937,0.012433209820484903,s383
13,(wfpt.11),0.05339612784421395,0.0,0.002235739594815822,7.477782184460122e-07,0.031106112206203643,0.0005870625363220139,1.2443796511620016,0.0,1.8273902436065063e-21,0.5895247025741732,0.0022606843249441955,0.0006120484844072127,s032
14,(wfpt.110),-0.0032214114073441415,0.0,-1.1401066674743277e-05,0.6125934925622931,-0.0021676635887638244,-1.932870596932368e-05,1.2617114500638051,0.0,0.4538318731948716,0.584443943728019,1.457393010617647e-05,6.665402026428957e-06,s384
15,(wfpt.111),0.02444777164442115,0.0,0.0006880127102703026,0.015903652030212594,0.011719985904563683,0.00017208448897854112,0.8314766706738784,0.0,6.7273869644964484e-06,-0.5748929611230231,0.0007237036987802759,0.00020782965059273906,s388
16,(wfpt.112),0.07373642338219917,0.0,0.005775352013561608,9.379561829443514e-35,0.060842662809611,0.003748705200127711,1.225273923813764,0.0,1.560407038609803e-52,0.6417474421168853,0.005800208251167116,0.003773612105170243,s391
17,(wfpt.113),0.010105344973275247,0.0,7.079289492373242e-05,0.0004988110783856353,0.017941594969915178,0.0002779819700475805,1.183182834428669,0.0,0.05029447854265737,0.35551364423078236,9.579175007268237e-05,0.0003029756453400978,s396
18,(wfpt.114),0.03195073544722403,0.0,0.0015035596995109923,3.2146171504109188e-12,0.025896295613479444,0.0011881965829214636,1.2724076082147904,0.0,5.198594681808015e-15,0.6761507346576003,0.001528522734594362,0.0012131675022798438,s397
19,(wfpt.115),0.0012930274689984833,0.0,-2.360485104047072e-05,0.253197421167976,-0.006784082095610696,7.640444247836164e-06,1.3153848074950154,0.0,0.8131778512217622,0.7043061533767229,1.3963641111169878e-06,3.264087824750295e-05,s402
20,(wfpt.116),0.0380731360568949,0.0,0.001268432429157862,5.237257748691459e-06,0.026174812164555715,0.000493622120036008,1.2535832491731262,0.0,6.251551281217595e-13,0.6124744063488633,0.0012934013425699442,0.0005186104041901007,s403
21,(wfpt.117),0.050468017949065525,0.0,0.002091614281116261,5.419569233177517e-08,0.03123730171222847,0.0007138051605574125,1.2525288756619344,0.0,3.39105034758624e-20,0.6209617968781437,0.0021165626144674654,0.0007387879399978203,s408
22,(wfpt.118),0.11647360626280669,0.0,0.02128510734539424,7.569055400599014e-172,0.1073293678644458,0.019310498653917207,1.1563122328325792,0.0,2.2504503186124147e-189,0.5774311883640689,0.02130957582942261,0.019335016504397062,s409
