,index,rsq_adj,slope_pval,int_val,log_rsq_adj,log_slope_pval,rsq,log_int_val,log_rsq,int_pval,log_int_pval,slope_val,log_slope_val,subj_id
85,(wfpt.4),0.01631118341729343,6.637233069987581e-258,0.5490168559872355,0.013842015637716698,6.020872606544333e-219,0.01632494149526076,1.1074487994997333,0.013855808249982116,0.0,0.0,0.1349929799439187,0.14075073259314347,s012
86,(wfpt.40),-3.977161515456018e-06,0.39823773356960235,0.7090251587130117,0.00011581329240328841,0.0022436015978038993,9.911975516474492e-06,1.3270917016909642,0.0001297007656558824,0.0,0.0,-0.0036657950683242494,-0.015505283576244097,s121
87,(wfpt.41),1.6561382677582337e-05,0.13869538861623135,0.6141086352226398,1.4380608651221038e-05,0.15367765059020386,3.0450234448031743e-05,1.2886787044796932,2.826949071066398e-05,0.0,0.0,-0.006070664990753817,-0.006331110958776285,s128
88,(wfpt.42),0.002535223034251022,7.314479333774621e-42,0.6221108411330608,0.0018597431525791963,3.266120739171534e-31,0.0025490769041237593,1.2222604368660348,0.0018736064042472744,0.0,0.0,0.05609823288338212,0.05667320378799966,s129
89,(wfpt.43),-6.867430656587459e-06,0.47707161154575084,0.6356587186689105,5.830630279202165e-05,0.02261267656444428,7.021746518565131e-06,1.3012079733468127,7.219457476392854e-05,0.0,0.0,-0.002556951855898257,-0.009082723366739525,s142
90,(wfpt.44),6.17458048435271e-06,0.22940578348238272,0.5588432906178378,-1.384901618783907e-05,0.9569623142692959,2.0063576517959092e-05,1.2647568588744438,4.045086698933886e-08,0.0,0.0,0.004321754362130316,0.00020605195394212092,s145
91,(wfpt.45),0.003874079813966591,5.944355592991547e-63,0.6026479099697873,0.0025612464453688144,2.845164399797026e-42,0.0038879150883480706,1.203264119959453,0.0025750999538003416,0.0,0.0,0.07490403735827057,0.06965146445826083,s149
92,(wfpt.46),0.0020544568617769654,2.771402521220207e-34,0.5001773432416898,0.0011007589479009594,3.22397704773902e-19,0.0020683174090504464,1.2095657461680358,0.0011146327411627466,0.0,0.0,0.0465362080359668,0.03881938486202105,s161
93,(wfpt.47),0.0006450614616470007,5.620132179478627e-12,0.6116853407637206,0.0003827527768661687,9.072205590122815e-08,0.0006589415841284918,1.2550928679496536,0.0003966365425743801,0.0,0.0,0.028036710689319844,0.024195383439963504,s163
94,(wfpt.48),0.0036065240950964306,9.73172439877256e-59,0.6225699916959923,0.002479344384443305,5.555930880220612e-41,0.003620363085581113,1.2187014452402702,0.002493199030419224,0.0,0.0,0.06479771902814727,0.061257782949469514,s165
