,index,rsq,log_slope_val,log_int_pval,int_pval,log_rsq,log_int_val,slope_pval,log_rsq_adj,log_slope_pval,rsq_adj,slope_val,int_val,subj_id
64,(wfpt.20),0.0002942880465663933,0.006826133578815891,0.0,0.0,4.1243385259459586e-05,1.2882996676710285,9.862058090071364e-16,3.66769673666445e-05,0.0026534002338199666,0.000289723138613196,0.01698479890780067,0.6909285321443164,s071
65,(wfpt.21),0.00648329290835703,0.04417508768553395,0.0,0.0,0.0021910500662677412,1.2396698615819597,0.0,0.002186472310027443,5.52510547159033e-106,0.006478735450457962,0.07110127026475227,0.6355423600591932,s081
66,(wfpt.22),0.001564400741824068,0.033303911611284806,0.0,0.0,0.001017205162911483,1.255594264529762,1.0227657564524831e-76,0.0010126539469786922,1.6499896435683269e-50,0.0015598520188323528,0.03794918536433267,0.651166807361942,s082
67,(wfpt.23),2.1353422867242955e-05,0.010349505322946852,0.0,0.0,0.00011170810141125642,1.2559331046085478,0.03077053131114561,0.0001071311995330948,7.80453183266991e-07,1.6776819664610088e-05,0.004578657779221368,0.625545138631274,s083
68,(wfpt.24),0.00018658414471384166,0.019467554732502862,0.0,0.0,0.0004389137440334867,1.1351449929581792,1.5549032061859368e-10,0.00043435918799572537,9.642887099493473e-23,0.00018202914459608532,0.012882851779347875,0.25811510380297054,s084
69,(wfpt.25),0.00120117174537826,0.013332951633762184,0.0,0.0,0.00014942420997532402,1.2496354033768267,6.988283395270369e-58,0.000144751923690567,1.5588857669245297e-08,0.001196504417514066,0.03453341462316282,0.5493806858227377,s085
70,(wfpt.26),6.7691788840917866e-09,-0.0014116346762145515,0.0,0.0,2.4208843933948287e-06,1.2554547406484802,0.9697105761865146,-2.2777341113222604e-06,0.47288295162021365,-4.688110553319191e-06,6.802884521637533e-05,0.5647293565021285,s086
71,(wfpt.27),0.0002921464811188601,0.010940682007017689,0.0,0.0,9.283880639632258e-05,1.3192350708826543,3.807002832515446e-15,8.81084738174609e-05,9.4212516432344e-06,0.00028741968534062856,0.014049997637891932,0.8577483222743503,s089
72,(wfpt.28),0.00034980793378047714,0.008125305015772742,0.0,0.0,5.5253045611047824e-05,1.2393891560282064,1.7354528534864545e-18,5.070778023485989e-05,0.0004893512152175036,0.00034526402796286604,0.019123710572530567,0.5001837972281928,s091
73,(wfpt.29),8.480480876404961e-05,0.002985222703490067,0.0,0.0,1.0691923127748026e-05,1.2655378302549913,1.6721371975907722e-05,6.112546533820762e-06,0.1265127812628954,8.022849595934467e-05,0.00713763441564603,0.6070265435201644,s092
74,(wfpt.3),8.36729800091085e-06,-0.001509669485448971,0.0,0.0,1.6143398336998516e-06,1.2424997196531817,0.17485810816704972,-2.9311486964278544e-06,0.551211649475288,3.821840166229329e-06,0.003270728859684323,0.47242741624318557,s011
75,(wfpt.30),5.171827237515636e-05,0.01614634755385174,0.0,0.0,0.0002798648071418164,1.2266376197421986,0.0008907036445430802,0.0002751771614433185,1.1080590365418715e-14,4.703462999100516e-05,0.0069606503976823685,0.5878418950579476,s093
76,(wfpt.31),0.0018249829061296463,0.015566416620451055,0.0,0.0,0.00023553878161830522,1.2527785755881673,3.429151522578731e-89,0.00023098390077380682,6.449547608954016e-13,0.0018204353703111797,0.0411259390631609,0.5706010035621298,s094
77,(wfpt.32),0.0012315818303854087,0.024264862420530036,0.0,0.0,0.0004937016933315164,1.2439061082359544,6.494951692967719e-61,0.0004891584209308908,1.9466001969076784e-25,0.0012270419326674276,0.03589910855746259,0.5693776338822789,s097
78,(wfpt.33),2.4911312718201017e-06,0.007289090926134088,0.0,0.0,0.00011926132585549087,1.168593346954562,0.46374811004489425,0.00011459424187676426,4.305904970107167e-07,-2.149271464357838e-06,0.0011065164282843217,0.34786098780180413,s098
79,(wfpt.34),6.736464076673165e-06,0.0022790513520217874,0.0,0.0,5.224050722674178e-06,1.3050136799392087,0.22825600071928603,5.821959393470522e-07,0.2887548934074985,2.096081040514619e-06,0.002458912164822265,0.7568264659114994,s103
80,(wfpt.35),0.0014235174180295962,0.04870646104757312,0.0,0.0,0.002523466806340413,1.0892093942370418,3.9811725345148156e-70,0.0025189326778308763,6.735830409645379e-123,0.0014189783927539557,0.03707806814767046,0.18218358958432923,s106
81,(wfpt.36),8.480044842817946e-05,0.0019211500071194682,0.0,0.0,3.184314709359093e-06,1.283785979050716,1.564981891827062e-05,-1.3612906566429217e-06,0.4026079188882833,8.025533802014095e-05,0.009416953514795552,0.6406276240633073,s108
82,(wfpt.37),2.6717365764206136e-08,-0.0004095487468079853,0.0,4.891430119397818e-44,3.9079025138111234e-07,1.0847091182910193,0.940008125409646,-4.332650347604883e-06,0.7736259754244176,-4.6903081405424984e-06,0.0001219873642228099,0.018107957982613644,s110
83,(wfpt.38),6.825681131417127e-09,-0.003641205163330487,0.0,0.0,1.4434902680937611e-05,1.2673538786687337,0.9693357351248564,9.814153530629532e-06,0.07715185481388605,-4.612154601346674e-06,7.932843168519804e-05,0.5970955512342456,s111
84,(wfpt.39),0.0028968942264350206,0.026534968106256256,0.0,0.0,0.0008484943754836216,1.267241223340351,1.6726764709946737e-140,0.0008439420176120649,2.0354223595041388e-42,0.0028923515740839623,0.047760157797299335,0.6661272298189223,s112
85,(wfpt.4),5.141076690584612e-06,-0.0009328559572838653,0.0,0.0,1.119023007811748e-06,1.2692350040951297,0.28920570421296515,-3.4592862252491585e-06,0.6210334673482908,5.643992888604288e-07,-0.0020586540860110503,0.6134119171151211,s012
86,(wfpt.40),1.3369188090694983e-05,0.005429830877274822,0.0,0.0,3.6519479085117545e-05,1.2501121927016547,0.0867042715590233,3.196240428482433e-05,0.004642648277211173,8.813398831630792e-06,0.0032920464250704514,0.5699228848184301,s121
87,(wfpt.41),3.4792357128665685e-07,0.0010433921401447506,0.0,0.0,1.0580524553160942e-06,1.2582235752829363,0.7820390048089811,-3.487583238648284e-06,0.6294836527241078,-4.197570715458454e-06,-0.0005910146465657366,0.5665991767802354,s128
88,(wfpt.42),4.873502716939981e-07,0.005361854419627706,0.0,0.0,3.3241321328203455e-05,1.2047389237906891,0.7433363707872847,2.8695232646147595e-05,0.006849822639753456,-4.058143381113766e-06,0.0006575381687573649,0.43747014469352263,s129
