,index,log_slope_val,log_rsq,int_val,rsq_adj,log_rsq_adj,rsq,log_int_pval,slope_pval,log_int_val,log_slope_pval,int_pval,slope_val,subj_id
0,(wfpt.0),0.19820035895585214,0.016822304449383596,0.3976639852568026,0.021183448464674348,0.016817520083133974,0.02118821158542694,0.0,0.0,1.003282231259759,0.0,0.0,0.19892492010378926,s005
1,(wfpt.1),0.005342881922395654,2.8077092500522483e-05,0.5215946241098739,2.495309068484275e-05,2.3199109296379028e-05,2.9831041537864422e-05,0.0,0.013401058850504416,1.236506882384409,0.01643443692649261,0.0,0.005461270221936855,s007
2,(wfpt.10),-0.0017022456433629166,1.7059947275965825e-06,0.38036953420759073,-2.276765173725437e-06,-3.0559472623536976e-06,2.485173105859495e-06,0.0,0.4700404924530899,1.217540078513383,0.549477001705061,0.0,-0.0020126409110814173,s028
3,(wfpt.100),0.0009449247423576682,4.215023672315965e-07,0.6621912997628289,-2.8858665153119745e-06,-4.421157505873907e-06,1.9567859230740225e-06,0.0,0.5249938683242753,1.2937690112193638,0.7679754908407406,0.0,0.0017471833977452172,s359
4,(wfpt.101),0.00479774657832103,1.9486257998080347e-05,0.48147957899103755,4.7392293589965107e-05,1.4667028348847033e-05,5.221136552624461e-05,0.0,0.0009965255002693353,1.2335970922626935,0.04434467928374159,0.0,0.007476028354303028,s365
5,(wfpt.102),0.019083337946591422,0.0003198155575702133,0.5399421132043852,0.00048361508207706017,0.00031499775208665426,0.0004884320517247742,0.0,7.618807784591394e-24,1.233250832630942,3.735155968166205e-16,0.0,0.022150259592192294,s368
6,(wfpt.103),0.00503094062049427,2.038242618074282e-05,0.37272406129269464,1.939080055624043e-05,1.5620573127095305e-05,2.415263565636039e-05,0.0,0.02431455139068394,1.206732525012694,0.038556493408999505,0.0,0.005379144306948706,s369
7,(wfpt.104),0.021639691147509518,0.0002900818532044491,0.4772847449128321,0.0004410756786467074,0.0002853099225982314,0.0004458468657374537,0.0,4.219665227828538e-22,1.2184363672801972,6.381529828266139e-15,0.0,0.02372563075385334,s372
8,(wfpt.105),0.001026424820397243,8.025565918501343e-07,0.6158075541599203,-2.5303782207330983e-06,-4.111492673875006e-06,2.3836632753182485e-06,0.0,0.4861347028090438,1.2704328916328176,0.6861196102221474,0.0,0.0016979616267565542,s373
9,(wfpt.106),0.017460821750707657,0.00017070493679416376,0.4928501589731462,0.00020353035240860962,0.00016590954645434586,0.00020832556231198396,0.0,4.371859092541924e-11,1.2263571849121875,2.429612709075233e-09,0.0,0.017799141504694558,s374
10,(wfpt.107),0.00517192713461781,2.020211026909635e-05,0.44577811847897286,2.572885110152523e-05,1.544025635680235e-05,3.0490656020343287e-05,0.0,0.011392389431522909,1.2285706167199204,0.03942557111327632,0.0,0.006159771801453979,s376
11,(wfpt.108),0.0019350311296238432,1.339155059953967e-06,0.549467546683229,-1.809521246842749e-06,-3.4227886769322424e-06,2.952414807633197e-06,0.0,0.43104704681075035,1.2635961107954425,0.5959030886966556,0.0,0.002487420667225449,s380
12,(wfpt.109),0.0040810144333981516,9.461164354296336e-06,0.5098986749980097,1.2283573940230497e-06,4.653471305182677e-06,6.036066910186655e-06,0.0,0.2625063845569259,1.2475422293982124,0.16067010790640973,0.0,0.0029694921267199147,s383
13,(wfpt.11),0.009138322824999351,4.3363734844925617e-05,0.5426999016546876,3.816976021575602e-05,3.8601991227071863e-05,4.293150589185224e-05,0.0,0.0026767000016320623,1.2527980572983106,0.002547064712562253,0.0,0.007886269927295617,s032
14,(wfpt.110),0.006400256503497848,2.620865172475728e-05,0.475543328626868,5.51097849145199e-05,2.143546156851972e-05,5.988281433333409e-05,0.0,0.0003971242745000764,1.2338567579352078,0.019117679781375376,0.0,0.008824929586913884,s384
15,(wfpt.111),0.003249276077392886,4.062242691782458e-06,0.4480322899981567,-8.95196984096458e-07,-7.110531763387939e-07,3.878099762877341e-06,0.0,0.36739578278451446,1.2331957686865653,0.35626071855124086,0.0,0.0028421630683639412,s388
16,(wfpt.112),-0.0006596750401994048,3.4026730499903124e-07,0.39574775511979565,-4.049773250969224e-06,-4.421681188526705e-06,7.121734714177208e-07,0.0,0.6989612646033201,1.219879935738684,0.7892295382424215,0.0,-0.0009324697897029367,s391
