,index,rsq_adj,int_val,slope_pval,log_slope_pval,log_rsq,rsq,log_int_val,int_pval,slope_val,log_int_pval,log_slope_val,log_rsq_adj,subj_id
0,(wfpt.0),0.00029084331604445346,0.4869656694160895,8.062694729426099e-05,0.00012040399606700171,0.0002956980277117882,0.0003108378990697158,1.2347140628680535,0.0,0.013214467821984498,0.0,0.012782155598163135,0.00027570314187697065,s005
1,(wfpt.1),3.3580732301530247e-06,0.6105754437607545,0.2798381885894934,0.28512801591883496,2.2850565364995745e-05,2.3358406075257854e-05,1.2878440956275872,0.0,-0.004544674484946564,0.0,-0.00432528746944108,2.8502223626825085e-06,s007
2,(wfpt.10),1.2008430179122342e-05,0.5226958055769217,0.20585006278284634,0.23438395044519494,2.8282169115545486e-05,3.200859001362133e-05,1.2513212249682264,0.0,0.005989687786068947,0.0,0.00616336839269821,8.28193474955441e-06,s028
3,(wfpt.100),-1.4880137804151872e-05,0.48461260612362594,0.6128706314058523,0.671393074365086,3.5997119418595958e-06,5.120559812610281e-06,1.2446544807530688,0.0,-0.0023737779815999416,0.0,-0.002041751171477526,-1.640101609301503e-05,s359
4,(wfpt.101),7.006637421369533e-05,0.4582291098865712,0.03383057053333873,0.011901319317269695,0.00012650854150408897,9.00653728661549e-05,1.2559431680436903,0.0,-0.011279316914055195,0.0,-0.014327543046938479,0.0001065102717441313,s365
5,(wfpt.102),0.00016888780989499086,0.40133915191899744,0.0021176459119622527,0.01313728842168718,0.00012300914189122825,0.00018888483207923912,1.2105938933088107,0.0,0.01411700582860503,0.0,0.01210723521042717,0.00010301080214047964,s368
6,(wfpt.103),0.0010532461845659258,0.4963494086515208,2.350650982226537e-13,2.579405696863878e-10,0.000799113368190274,0.0010732255192288376,1.1989463055926828,0.0,0.04512101250990103,0.0,0.04636688797290746,0.0007791285510649892,s369
7,(wfpt.104),0.0008413268508296046,0.4915887645965856,5.2495020116299624e-11,9.857360391908788e-11,0.0008366825781142007,0.0008613104239639791,1.2235511852050995,0.0,0.024936417118197166,0.0,0.024030095685371924,0.00081669851240318,s372
8,(wfpt.105),4.398111238879121e-05,0.6222050692104872,0.073684481335496,0.8026738182874719,1.2491186796026454e-06,6.398063275692145e-05,1.2744751063459359,0.0,-0.007642763358579421,0.0,0.0010966658279498102,-1.875445698162892e-05,s373
9,(wfpt.106),-7.193420968665265e-06,0.4402501012010239,0.42359196599251847,0.7357655589023637,2.2777787440642072e-06,1.2807122910629687e-05,1.2334899257474476,0.0,0.0036663245120332854,0.0,0.0015384753457197906,-1.7722975730549706e-05,s374
