,index,log_slope_val,rsq_adj,slope_pval,log_int_pval,log_rsq_adj,log_slope_pval,rsq,log_int_val,int_pval,slope_val,log_rsq,int_val,subj_id
0,(wfpt.0),-0.008202418994035211,3.13485966176863e-05,0.031015910693636992,0.0,2.4757655316731686e-05,0.048741548043054424,3.993209219632643e-05,1.2603191816761758,0.0,-0.008401972314503528,3.3341207470449774e-05,0.5023632398744506,s005
1,(wfpt.1),0.0076392359746912135,-2.0877466977431425e-07,0.32342553671780716,0.0,3.794056486361441e-05,0.018654527995146292,8.159497941417904e-06,1.2750786446489488,0.0,0.0030066854433461413,4.6309008436717924e-05,0.6632504223261453,s007
2,(wfpt.10),-0.0008909699056996873,-8.304585563223554e-06,0.9530514490844011,0.0,-7.834990773503137e-06,0.8067869264123029,2.888642047782497e-08,1.2557646770675266,0.0,-0.00020304167728357053,4.984772968841256e-07,0.5159500471268981,s028
3,(wfpt.100),-0.0037357269412861957,6.302781856981632e-06,0.18627223777416682,0.0,4.782427881155904e-06,0.2106870961559184,1.474161844816635e-05,1.2357062740662452,0.0,-0.003918702321892771,1.3221277302410961e-05,0.4971806354744765,s359
4,(wfpt.101),0.004741046445479041,7.219065636865363e-05,0.0019174735558200341,0.0,3.2386050364818786e-06,0.23891281122773644,8.055832312181543e-05,1.2770856851681178,0.0,0.010897271220075555,1.1606848799083913e-05,0.6139023497600347,s365
5,(wfpt.102),0.013173143672995966,0.00026444258919633423,1.0552925482740034e-08,0.0,0.0001009659861012091,0.00029274240903927757,0.00027277378826806586,1.238123949894268,0.0,0.0192279259148012,0.00010929854748931156,0.5124950276604603,s368
6,(wfpt.103),0.11793588507239472,0.017243475254400065,0.0,0.0,0.016800953239796468,0.0,0.017251664960353796,1.1281757216548511,0.0,0.11783370680601754,0.016809146633464334,0.5245239895799234,s369
7,(wfpt.104),0.006253489079758003,8.443204889019285e-06,0.16397618630076188,0.0,1.7015571200706958e-05,0.08920326867502201,1.74522189955173e-05,1.2435994980101994,0.0,0.004861155199615038,2.6024508077981956e-05,0.5102979806728432,s372
8,(wfpt.105),0.0018435162026698843,3.054638209709637e-05,0.030773796080616398,0.0,-5.911211547138251e-06,0.5897958777429972,3.887953032011282e-05,1.260847990200713,0.0,0.006655528920088348,2.4222404916285356e-06,0.5546518053342127,s373
9,(wfpt.106),-0.0046009233481035805,-1.8271205715070238e-06,0.3769143161992978,0.0,1.999049156098387e-06,0.2654955682862403,6.506297432928854e-06,1.245849504658344,0.0,-0.003475091746094002,1.0332435275595131e-05,0.4629030724757947,s374
10,(wfpt.107),-0.0027068860200752942,4.866307549145077e-07,0.3035835543842372,0.0,-2.475069242002803e-06,0.4017808603014317,8.820029477996094e-06,1.2279956974830017,0.0,-0.0032768170959927186,5.858354162002755e-06,0.42149766821852186,s376
11,(wfpt.108),0.007234421691237884,0.00011740428228257382,0.000230725846194472,0.0,2.621849128980891e-05,0.05108938868766482,0.00012674906677323516,1.2675738275918897,0.0,0.011671430816310328,3.5564127992104844e-05,0.5905885342148443,s380
12,(wfpt.109),0.0038854950613663487,0.00011337362930496919,0.00013658830024323746,0.0,-8.770513399980473e-07,0.344075746195861,0.00012174095142791774,1.248367026362361,0.0,0.014327399199543563,7.49122686360959e-06,0.5017927332462391,s383
