,index,int_pval,rsq_adj,log_slope_pval,log_rsq,slope_pval,log_int_val,log_rsq_adj,log_slope_val,int_val,slope_val,log_int_pval,rsq,subj_id
0,(wfpt.0),0.0,0.0038060681154820086,2.0797454723506632e-49,0.0024503444293999532,5.282165635724373e-76,1.1674303542995885,0.0024391357544232273,0.05718617201943666,0.42461260827873837,0.06505824930516202,0.0,0.0038172614314955222,s005
1,(wfpt.1),0.0,0.03490154506172716,0.0,0.03215381740675427,0.0,1.0298949330503848,0.032143003241269175,0.18651263999674644,0.45226980809539463,0.1772729999137556,0.0,0.034912328405171555,s007
2,(wfpt.10),0.0,6.541320584241284e-05,0.055431249049921846,4.0767697922161616e-05,0.008681483790117784,1.2457949976148743,2.9656792876586735e-05,0.008700623657388468,0.5159310924544158,0.01108842041132058,0.0,7.652371359012644e-05,s028
3,(wfpt.11),0.0,-1.1173058744207154e-05,0.49927936637360437,5.1003860090936826e-06,0.995375878489702,1.251911634626325,-6.073115891513936e-06,0.0022420675117045723,0.529228531870558,-1.892282319986547e-05,0.0,3.7529468421837464e-10,s032
4,(wfpt.12),0.0,2.9834653710314463e-05,0.054925702140510554,4.139738578023966e-05,0.05589317008768489,1.2672957467851544,3.0161643374548852e-05,-0.009273442575280857,0.5200193085177193,-0.008192508282318114,0.0,4.1070399790066325e-05,s034
5,(wfpt.13),0.0,-7.017258865538167e-06,0.5366748514317456,4.241635942592303e-06,0.5438474410959022,1.300392550823299,-6.869674957110661e-06,0.0026528462569307583,0.7002355119088648,0.0022723558935484013,0.0,4.094053674186249e-06,s042
6,(wfpt.14),0.0,0.022650945241438514,0.0,0.02064425150131355,0.0,1.088245824387074,0.020633369528953116,0.13426313250825722,0.4496767814314324,0.13095458575939256,0.0,0.022661804796041962,s049
7,(wfpt.15),0.0,0.0012712994102738184,5.270959052788624e-22,0.0010326545478389626,6.157536714347229e-27,1.2125253536915825,0.0010215546640032214,0.03793538600440352,0.5094595569846281,0.038336308094420846,0.0,0.0012823965191370856,s060
8,(wfpt.16),0.0,3.461004427496306e-06,0.33460682564731237,1.0460756803554183e-05,0.2527552649976186,1.2882595590966526,-7.753332125215451e-07,0.0037713077396534997,0.6566494696330467,0.0034937433449582127,0.0,1.4697046843759054e-05,s062
9,(wfpt.17),0.0,4.604013029041454e-05,0.006147900060910552,8.340365145731443e-05,0.023332473413815124,1.2203502272707356,7.229322015500639e-05,0.008968144443120205,0.4421676662670508,0.00740228733314016,0.0,5.715085329693892e-05,s063
10,(wfpt.18),0.0,0.03493204504719172,0.0,0.03138427656358511,0.0,1.075948905875146,0.03137351392748844,0.17526668456751077,0.5780319899594861,0.16366192987200362,0.0,0.03494276814361441,s065
11,(wfpt.19),0.0,-6.100833171318598e-06,0.7273292216686451,1.3509039169523618e-06,0.5018932490628605,1.2355108879563432,-9.76043910272395e-06,0.0011654498353021563,0.4640614218180189,0.00220466306512966,0.0,5.010469185773303e-06,s066
12,(wfpt.2),0.0,0.0008766544561291667,1.6451909828690497e-11,0.0005038170684401599,3.8765648928631304e-19,1.2332066749797224,0.000492711185100414,-0.02142329422579679,0.3659753008916762,-0.02669878781296256,0.0,0.0008877559499850252,s009
13,(wfpt.20),0.0,-4.4770991747267175e-06,0.7191366821818026,1.4369432465022314e-06,0.4397011847854111,1.2785940037749692,-9.674398817161034e-06,0.0017183015063842316,0.614072623142434,0.0033724053117686788,0.0,6.6341851405749e-06,s071
14,(wfpt.21),0.0,0.003359893437049677,5.986409196773769e-44,0.0021577552622862317,1.0880580352118827e-67,1.1829264243178335,0.0021466059377792668,0.06029226194670831,0.4883156346814857,0.06744261735087825,0.0,0.003371029205120335,s081
15,(wfpt.22),0.0,0.00015714580311920745,0.016930434410933445,6.337276167167616e-05,9.962335998117366e-05,1.2336525054682754,5.2262107798961566e-05,0.009924288651476751,0.47927601074171233,0.01517850440857807,0.0,0.00016825529160457986,s082
16,(wfpt.23),0.0,-5.830249627969408e-06,0.704040846504886,1.6123600846684738e-06,0.489239874365591,1.2633035401229646,-9.561055942741703e-06,-0.0017830627472439006,0.542513064150141,-0.002910527056481351,0.0,5.343124714007885e-06,s083
17,(wfpt.24),0.0,4.200509658991436e-06,0.2624920512945513,1.3951023940750318e-05,0.2404378396460538,1.2399151501290229,2.8398209254154594e-06,-0.004956639636459495,0.45080854092177913,-0.004891173221863764,0.0,1.5311697555309145e-05,s084
18,(wfpt.25),0.0,-2.3529088475360282e-06,0.1814832150502186,1.983853353826337e-05,0.3746348950077363,1.2129082628882357,8.727395941154903e-06,0.004395491592319764,0.399445369218341,0.0028816459640445477,0.0,8.758351865312264e-06,s085
19,(wfpt.26),0.0,-1.315570766657892e-05,0.5965239884753749,4.032805730802558e-06,0.7697128974055081,1.255919328142361,-1.0356039519265892e-05,-0.0020660779875650293,0.5179395967033548,-0.0010900355027891216,0.0,1.2331778670437998e-06,s086
20,(wfpt.27),0.0,-2.931346764878384e-06,0.37087801177709645,8.897103025540254e-06,0.390888796720797,1.226410799508903,-2.2141561457633685e-06,-0.003569538556163581,0.4045956280075079,-0.0032586859198251404,0.0,8.17992037516202e-06,s089
21,(wfpt.28),0.0,4.9129153542604165e-05,0.00888994117712097,7.734162113182119e-05,0.020747211566315454,1.2498047335325846,6.604280467970014e-05,-0.009599777127482584,0.4821629342993064,-0.008309809480777103,0.0,6.04281611116253e-05,s091
22,(wfpt.29),0.0,-6.865046063397884e-06,0.4024235189931159,7.789881622977113e-06,0.5364526864897793,1.2097397406812296,-3.32138985092989e-06,0.003008532468762209,0.3837163185858094,0.0021982242279068214,0.0,4.246264785012777e-06,s092
23,(wfpt.3),0.0,3.755602275556935e-05,0.5804874166624927,3.393947731078484e-06,0.036362986398120606,1.233374281030596,-7.717372587645599e-06,0.001933992421866499,0.4511566168534411,0.007161972682016912,0.0,4.866684003101973e-05,s011
24,(wfpt.30),0.0,9.439878215200537e-05,0.1821924674972568,1.9884700982797376e-05,0.0021128238150896587,1.243844413492317,8.711489120072358e-06,0.005921669061978819,0.5005810152672912,0.01228436494555104,0.0,0.00010557103660413514,s093
25,(wfpt.31),0.0,0.00014203203738905046,1.278056603487368e-05,0.00021157239354019364,0.00020513809788174603,1.2837469373470112,0.00020046338636670047,-0.020271784710602703,0.5334856333386968,-0.01505012729635747,0.0,0.00015314169380697962,s094
26,(wfpt.32),0.0,0.0016215263057803853,3.2890693457350275e-24,0.0011442349026138388,7.645727967843636e-34,1.2302191224538264,0.0011331362585873528,0.03923983291872214,0.5784324622921879,0.041109446912220356,0.0,0.0016326195231904927,s097
27,(wfpt.33),0.0,0.00012318198674698966,0.11804799894304056,2.729681541990825e-05,0.0005248753775177656,1.2471026770472697,1.6123686375935087e-05,0.006110925547641534,0.506640353831025,0.012218933054498464,0.0,0.00013435391959548681,s098
28,(wfpt.34),0.0,5.565901151927122e-05,0.02199428734896867,5.8291441025981605e-05,0.014230670233101627,1.225860243892556,4.718073069298612e-05,0.008352472634233887,0.45294896661723244,0.008417998629329867,0.0,6.676962764817773e-05,s103
29,(wfpt.35),0.0,-1.1480519148676649e-06,0.6186991362513196,2.7522967430693157e-06,0.34367694655525904,1.2635840595202597,-8.359030705396009e-06,0.002370935267252572,0.5607440830746556,0.004055265414434019,0.0,9.96319541057833e-06,s106
30,(wfpt.36),0.0,-5.1613942522177325e-06,0.5535417486667678,3.90021579832478e-06,0.46431306083813473,1.245885243589858,-7.211098895121282e-06,0.002359470613693307,0.4910409275643979,0.0024471307311815394,0.0,5.949897666557291e-06,s108
31,(wfpt.37),0.0,5.008524527627678e-05,0.025420139612232072,5.58104483233679e-05,0.01920661193170563,1.2500227068053398,4.463763787465602e-05,0.012088720242555168,0.5448245347578333,0.010712179160375174,0.0,6.125799485723338e-05,s110
32,(wfpt.38),0.0,-1.0821935446880815e-05,0.8549622095357513,3.7125976592999876e-07,0.8717855315544233,1.2111869428306279,-1.0740094138927958e-05,0.0005832198902713699,0.3791765553961618,-0.0005104381843125086,0.0,2.894193673608214e-07,s111
33,(wfpt.39),0.0,-9.263964521277757e-06,0.8322845482327795,4.983201460362352e-07,0.683458088577095,1.205248798604655,-1.0613032347173146e-05,0.0007431050978873449,0.36474972267984745,0.0013929739962081297,0.0,1.8473729820334128e-06,s112
34,(wfpt.4),0.0,-6.2739518045251685e-06,0.5718072552106561,3.591869313757101e-06,0.5063394237426984,1.2885589466001817,-7.644297882469786e-06,-0.0032311047823671037,0.6348387536884852,0.0029773401816611863,0.0,4.962199994462679e-06,s012
35,(wfpt.40),0.0,-1.0867278924742152e-05,0.7008099192054652,1.6403851910151701e-06,0.8821768702420196,1.230784989137648,-9.470954612122995e-06,0.0013220849279981725,0.4531922787647881,0.000510495166562824,0.0,2.440763934297152e-07,s121
36,(wfpt.41),0.0,0.004277631626948386,6.203257666183289e-46,0.0022718165877062546,3.526896179212688e-85,1.1766889042684001,0.0022606059067536988,0.05987883999306132,0.46791316007644806,0.06987228018455377,0.0,0.004288819644435948,s128
37,(wfpt.42),0.0,0.12955430566275172,0.0,0.12035022092490844,0.0,0.8233628184994113,0.12034044682127198,0.33262797448043563,0.2949568004017872,0.3231931114669365,0.0,0.12956397738904124,s129
38,(wfpt.43),0.0,-1.1077166214734646e-05,0.8259932810339287,5.37026202618307e-07,0.9557624293616556,1.2313653357243597,-1.0574325860490674e-05,0.00090954753761021,0.4457383503742933,-0.00022358660890288602,0.0,3.419143546068426e-08,s142
39,(wfpt.44),0.0,1.814568009550488e-05,0.3700968107368444,8.926201624737118e-06,0.10465920189758997,1.292287094538574,-2.1850572231585375e-06,0.003925360208213172,0.6700166621871708,0.006447946240621935,0.0,2.92567130437682e-05,s145
40,(wfpt.45),0.0,2.911382508408167e-06,0.33833609961646394,1.0186075054763322e-05,0.2612716445824775,1.2798142340810683,-9.251697943302162e-07,0.004664344222713505,0.6310872915288471,0.004588168903490921,0.0,1.4022584728601295e-05,s149
41,(wfpt.46),0.0,-1.0452415402095738e-05,0.6248196454344115,2.6573087641423854e-06,0.8076017039571668,1.2081553932573639,-8.454019739589924e-06,0.001815984222905756,0.36605794084498333,0.000888199079646389,0.0,6.589353063191083e-07,s161
42,(wfpt.47),0.0,7.787973078321464e-05,0.06248951506171851,3.8556411390056056e-05,0.004653919074638079,1.2452075613699876,2.7445481774024394e-05,-0.007033715664626385,0.4664433184589185,-0.009818334216712018,0.0,8.899010001250929e-05,s163
43,(wfpt.48),0.0,-7.160707207853889e-06,0.7552952349526201,1.0793070208681144e-06,0.5509906480836786,1.2059579955272024,-1.0032039016616423e-05,-0.0011022743846294779,0.3528962801111492,-0.0020804995125369903,0.0,3.950606925595679e-06,s165
44,(wfpt.49),0.0,0.00036824577963034955,5.51895892656999e-05,0.00018167520864897924,5.616622603188917e-09,1.2137586539842138,0.0001705038045418661,0.0156458601558348,0.4289434922747865,0.02153994014147179,0.0,0.00037941497430526994,s168
45,(wfpt.5),0.0,-7.766069224146577e-06,0.40814096090939567,7.602509894066856e-06,0.5832156633443356,1.2292816730498997,-3.5087636618413853e-06,0.003297467584741802,0.4436515825591372,0.002114918971696601,0.0,3.3452516357002082e-06,s014
46,(wfpt.50),0.0,0.00015037552466568016,0.3240631809163681,1.0805542549063851e-05,0.00013762142823884403,1.2410044772000477,-3.056954167579562e-07,0.003845008895089576,0.4804777619332473,0.013750510947243654,0.0,0.0001614850883772112,s170
47,(wfpt.51),0.0,0.007911395475349914,8.308846466696594e-120,0.006033690849136519,7.860288229305546e-157,1.1630131005520294,0.006022584832140132,0.09194234547635599,0.5458649981654262,0.09351927962325862,0.0,0.007922480388080966,s173
48,(wfpt.52),0.0,4.525871867688824e-05,0.02800871636192437,5.424197198355962e-05,0.024940788078089023,1.222021540756509,4.30063739023101e-05,0.008059129704158976,0.45005098359702306,0.0079058954174392,0.0,5.649429145060392e-05,s179
49,(wfpt.53),0.0,0.004162632251848319,5.765731099000616e-63,0.0031121951819409466,7.5322488145970235e-84,1.183545788299685,0.003101118404625791,0.07407226323427746,0.5477227054398814,0.07517598199795197,0.0,0.0041736972344341705,s180
50,(wfpt.54),0.0,-4.115628988277109e-06,0.4782308585582338,5.68257324662369e-06,0.42524795272197013,1.2285550180576534,-5.617052930562139e-06,0.0022230353764840366,0.4376766230336364,0.0021250559531156544,0.0,7.183980223368636e-06,s182
51,(wfpt.55),0.0,6.074649427367795e-06,0.19535686586787407,1.8630899151772518e-05,0.21362418833154856,1.2178011697563635,7.51974813628653e-06,0.004847382592457053,0.4113426055176125,0.004529197885767764,0.0,1.718581649967632e-05,s184
52,(wfpt.56),0.0,0.004137972258590583,1.8125763108732615e-23,0.0011130162867211135,6.509472387370108e-83,1.2550074870400487,0.0011018540416858347,0.02735407110531992,0.6203106951556262,0.052106314687255725,0.0,0.004149099332945938,s187
53,(wfpt.57),0.0,8.061861654917735e-07,0.04317438826915703,4.543019843727958e-05,0.30037159989771306,1.2414708213611267,3.4318974815872316e-05,0.00647803913879001,0.5435380082374088,0.00333361030817483,0.0,1.1917411776973807e-05,s190
54,(wfpt.58),0.0,0.0004042439480296256,1.435300673661261e-05,0.00020911317287231057,9.68016474176341e-10,1.2310212851333708,0.00019800413837356423,0.014621102859154439,0.48813275093223085,0.01925190967051758,0.0,0.00041535069094955634,s192
55,(wfpt.59),0.0,0.001352137850600399,1.2075585496964066e-15,0.0007115318325561226,1.5648092256370897e-28,1.2154403212824798,0.0007004283806109068,0.03471238346616831,0.5032577963425158,0.04449876033296563,0.0,0.0013632340612488303,s196
56,(wfpt.6),0.0,0.0239591097060744,0.0,0.018991427909965886,0.0,1.1028343000632093,0.018980466675389884,0.1408717406942117,0.5302138246645451,0.13836171749181436,0.0,0.02397001531273235,s015
57,(wfpt.60),0.0,0.0003760405876055417,1.3126555842212417e-09,0.00040875465910727993,3.5628036532848786e-09,1.2905643526282273,0.0003976478428965313,-0.03146483109892344,0.5136104518394314,-0.026372000992132806,0.0,0.0003871476438995769,s198
58,(wfpt.61),0.0,2.7606172114835736e-05,0.11650124165834749,2.737525213281078e-05,0.06194571060151624,1.2295965871108172,1.626419827893688e-05,0.006194733260124229,0.44850311373843793,0.006919585225945869,0.0,3.871709994540673e-05,s205
59,(wfpt.62),0.0,6.861350635112284e-05,0.09387956919288974,3.1184364551850585e-05,0.007391636185869077,1.2603868859796807,2.007335302234292e-05,0.006853893155544882,0.571488872772655,0.010100528080560327,0.0,7.972397853961422e-05,s206
60,(wfpt.63),0.0,-7.620936867791528e-06,0.1042806309617466,2.9320664548637687e-05,0.5751591307033204,1.2537768966674003,1.82096323109171e-05,-0.009082827383579822,0.4711667686850452,-0.0027344520307754014,0.0,3.490382379456314e-06,s207
61,(wfpt.64),0.0,0.0006664358385206626,1.3636416224277239e-06,0.00026510057711004453,1.1250305515324984e-14,1.2532363995049813,0.00025373969505115834,0.01624021828960376,0.5697295729793216,0.024372768395704306,0.0,0.0006777920307974306,s209
