,index,slope_val,slope_pval,rsq_adj,rsq,int_val,int_pval,log_int_val,log_rsq_adj,log_int_pval,log_slope_val,log_slope_pval,log_rsq,subj_id
0,(wfpt.0),0.07208652341222596,7.458467464384926e-98,0.009215518278249735,0.009236377338055712,0.5613576738460149,0.0,1.187596443831828,0.009126124768796817,0.0,0.07348327819893527,6.38698222765776e-97,0.00914698571061101,s005
1,(wfpt.1),-0.004546195810581622,0.43053693718872665,-8.605132311156893e-06,1.4122852532438834e-05,0.8523262358500102,0.0,1.3469644689792502,7.228433518235988e-05,0.0,-0.013172609223106263,0.04089525509643882,9.501099811393132e-05,s007
2,(wfpt.10),0.002004705049287284,0.6790538235961854,-1.726742931462688e-05,3.5666978009940564e-06,0.6920349884590843,0.0,1.3032040210753362,-2.00104568355286e-05,0.0,-0.0010100547478404144,0.8423888338930852,8.237274278233286e-07,s028
3,(wfpt.100),0.011076894402079172,0.014786369892627398,0.00010514403397698935,0.0001264188452702042,0.7584672100738459,0.0,1.3120399675254475,-1.251310341610079e-05,0.0,0.003012023364424488,0.5209951528952441,8.765116748965518e-06,s359
4,(wfpt.101),-0.007121262009441898,0.14879491308618728,2.2596393469132003e-05,4.342969007120612e-05,0.5089571336136521,0.0,1.2616508519601872,4.179235839396611e-05,0.0,-0.009143197987844895,0.08295934120180433,6.262525507172434e-05,s365
5,(wfpt.102),0.08057214495393664,1.2171831857609232e-61,0.005680947784535428,0.0057016631963608955,0.5486193201211893,0.0,1.186111656465704,0.0035233482290142337,0.0,0.07234351119747401,6.018774293940743e-39,0.0035441085917669035,s368
6,(wfpt.103),0.011583125886042617,0.04287376934762282,6.459280363646513e-05,8.542522529508823e-05,0.5971982929380935,0.0,1.2657032281733391,9.62079476374278e-06,0.0,0.007819278284010849,0.22665101129702586,3.0454361696352628e-05,s369
7,(wfpt.104),0.08788940442072388,2.950405431610624e-105,0.009821969057318691,0.009842598196070251,0.7177670612648274,0.0,1.2075312272484031,0.008268557848523317,0.0,0.0915468589149615,7.005408301690279e-89,0.00828921935068272,s372
8,(wfpt.105),0.010094975694520466,0.005787554824506989,0.00014538882435777278,0.00016736413395079808,0.3055558785033603,0.0,1.161956895415695,9.803310491940387e-05,0.0,0.007760202126600963,0.019554417352891183,0.00012005495200451133,s373
9,(wfpt.106),-0.0023344849385458335,0.6286040975476663,-1.595972327939066e-05,4.874376591801344e-06,0.48631450517676034,0.0,1.239343203221201,-1.5180930015734617e-05,0.0,0.0025994002078761035,0.6024356341160049,5.653153630214014e-06,s374
10,(wfpt.107),0.021919497295561675,4.6543522167409736e-06,0.0004160711217948698,0.00043689622083598056,0.5674553397310387,0.0,1.2578028286503962,8.418450351266316e-05,0.0,0.01187677054626321,0.02475712639460326,0.00010501651700234316,s376
11,(wfpt.108),0.02323055519250074,1.9500041771916147e-06,0.00047043017586168023,0.0004921595519312705,0.6239127114029995,0.0,1.2574274695336327,0.0001806851422913036,0.0,0.017031060109190237,0.0022775080619647807,0.00020242223497013434,s380
12,(wfpt.109),0.04425841608948224,1.7293998382270328e-21,0.0018657120319721665,0.0018865069295317394,0.6845219243111298,0.0,1.2671522394097263,0.0007730224486675041,0.0,0.03259332938650433,6.661097027765358e-10,0.0007938401110676452,s383
13,(wfpt.11),0.09307108961286444,5.853423266549939e-125,0.011688426915740902,0.011709017169143632,0.6120755095829592,0.0,1.1839225124992043,0.011065008540309007,0.0,0.08958255052419839,2.2474047548158055e-118,0.011085611781865179,s032
14,(wfpt.110),0.001028559216307092,0.8153878357069646,-2.0117555271648158e-05,1.159921218407689e-06,0.786981918730344,0.0,1.331846205465149,-1.4858872789069721e-05,0.0,-0.0026640318185792763,0.5828473414700883,6.418491811710503e-06,s384
15,(wfpt.111),-0.012548280245009109,0.00215422644878442,0.00018490021824857372,0.0002068746594402482,0.7496132162460228,0.0,1.3041392708443613,6.477406806260078e-06,0.0,-0.004923076353149565,0.2552506024811622,2.8481885243847316e-05,s388
16,(wfpt.112),0.01394070845341305,0.0022773964799214902,0.0001731474129746946,0.00019397757303185603,0.6795419110693751,0.0,1.2847785719068552,6.820762290504767e-05,0.0,0.009417160497326039,0.038703874070869046,8.90404032786174e-05,s391
17,(wfpt.113),-0.0008731667047966844,0.8522151731243519,-2.01111281721289e-05,7.230581884343223e-07,0.5123982439030699,0.0,1.2524595946426382,-2.044270565160211e-05,0.0,-0.0006628031529247874,0.8909689903415483,3.9148761699081547e-07,s396
18,(wfpt.114),-0.008079071312703112,0.07369991201071971,4.628878895795996e-05,6.734088923832093e-05,0.6270598841575914,0.0,1.2929510385557985,4.328870676584273e-05,0.0,-0.008482794220902208,0.08043308700798397,6.434087020712465e-05,s397
19,(wfpt.115),0.0006366249228546192,0.8940170889420636,-2.3388042878380588e-05,4.2260470967114827e-07,0.6327712135627805,0.0,1.2500376180504928,-2.3782885512746432e-05,0.0,-0.00020588281429346697,0.9649827741089523,4.592719460294603e-08,s402
20,(wfpt.116),0.11309018366047402,6.198692548735195e-135,0.012632260934202888,0.012652831523987329,0.6657312056828819,0.0,1.1894452535804247,0.006563904835986789,0.0,0.09703708019324997,6.235523478693177e-71,0.006584601852490435,s403
21,(wfpt.117),0.014933906283564561,0.0002758230358441484,0.00026014703189414234,0.0002814185451810447,0.8328390770567595,0.0,1.338700668854655,-2.0612868872227352e-05,0.0,0.0009754312712629588,0.8596704331813801,6.650708882505185e-07,s408
22,(wfpt.118),0.1519928335592796,0.0,0.03603320159233703,0.036053711960608914,0.6903066686179595,0.0,1.126173779907033,0.03667424564608379,0.0,0.15785200995664628,0.0,0.03669474237483028,s409
23,(wfpt.119),0.0666024039200748,2.7044082907395033e-71,0.006598377279384726,0.006619073577697532,0.7072410595388336,0.0,1.232803586462499,0.006633835917648767,0.0,0.06799657821349217,1.1452109593818412e-71,0.006654531477224501,s420
24,(wfpt.12),-0.003005868730152117,0.4873924114741234,-1.0786066779067127e-05,1.0047925305345373e-05,0.5600709717062333,0.0,1.2708699419405889,-7.111981208174356e-06,0.0,-0.003680738162540928,0.41704647545713946,1.3721934331245578e-05,s034
25,(wfpt.120),0.1763571763721986,0.0,0.054075383523340514,0.05409509069674978,0.6056047988706394,0.0,1.0739153707669704,0.055679342516465335,0.0,0.18458676913680977,0.0,0.05569901627336604,s421
26,(wfpt.121),0.025079837703178072,1.378631110734045e-10,0.0008370631745250323,0.0008578795027156527,0.6490146439766425,0.0,1.2668146125171729,0.0008109119220869321,0.0,0.02424630959832086,2.622184350463778e-10,0.0008317287951066232,s425
27,(wfpt.122),0.010174992807872162,0.042059745745443876,6.595538886189356e-05,8.700707509978756e-05,0.5699843495201228,0.0,1.2642820264610042,-6.4252362392824836e-06,0.0,0.004655372626605366,0.40453742910248447,1.4627973833336583e-05,s427
