,index,int_pval,int_val,log_rsq_adj,log_int_val,rsq_adj,log_int_pval,log_rsq,slope_val,rsq,log_slope_pval,log_slope_val,slope_pval,subj_id
43,(wfpt.137),0.0,1.078997874809518,9.278748873575715e-05,1.378883361405764,7.484252982070672e-05,0.0,0.0001140811386465268,-0.007901101830370579,9.611798584041598e-05,0.020637395972454786,0.008698356877294384,0.03354938692812623,s489
44,(wfpt.138),0.0,0.6700010343082828,9.563730096862066e-05,1.2804692836216955,8.27339653652892e-06,0.0,0.00011646907585338706,0.0052581299335732416,2.9106991540572835e-05,0.018057624982785028,0.010825173157362363,0.23721255595054908,s492
45,(wfpt.139),0.0,0.8205004732503344,0.00893492929937445,1.2642310263766108,0.009144893487685324,0.0,0.008955576918506014,0.06612850567710311,0.00916553673247178,6.654536349593087e-96,0.06633720744129912,4.0716041753361115e-98,s495
46,(wfpt.14),0.0,0.7819498258892801,0.0006049770402675181,1.3092638696265504,0.0008534725049966774,0.0,0.0006257982036866894,0.022900357110571055,0.0008742884913190974,4.218849338783242e-08,0.017935033649646166,9.211669365349318e-11,s049
47,(wfpt.140),0.0,0.8537942745822409,0.0012379330205142258,1.2874417054691056,3.594154947494932e-05,0.0,0.0012609348414529542,0.006529500366651026,5.89297574441483e-05,1.3455161824790732e-13,0.030788747679267137,0.10936504623670948,s500
48,(wfpt.141),0.0,0.818871899417445,0.0018709468823273623,1.2785579697350278,0.00014274460464436256,0.0,0.0018919840414792777,0.01118443833944529,0.0001637946742332197,2.570146242472644e-21,0.03561905732996759,0.0052813916022280884,s501
49,(wfpt.142),0.0,0.7998169746876279,2.5928022926113847e-05,1.3325693082360979,9.461818575784431e-05,0.0,4.676732837527453e-05,-0.009293816437888465,0.00011544998187462685,0.1341238350083221,-0.00653763481695346,0.018569274763533983,s502
50,(wfpt.143),0.0,0.6068393278712365,0.004562147947062223,1.2011647678040338,0.002057393287218323,0.0,0.004582894447803354,0.04095421946502826,0.0020781841913352084,7.4341460680190275e-50,0.05876978959029014,1.6426815404895906e-23,s504
51,(wfpt.144),0.0,0.5144953824721151,0.02238314016999232,1.1144746875729747,0.018259196376367526,0.0,0.022403526299902166,0.11399636171932997,0.018279649735887915,2.7754535626003433e-238,0.11328454007877557,1.3961039424909905e-194,s505
52,(wfpt.145),0.0,0.5527870509635379,0.0005185938327070261,1.2268221207119052,0.00021675561316536474,0.0,0.0005394228710766669,0.015458365252830333,0.00023758486469938056,3.613653919770943e-07,0.022624687292201923,0.0007325322985859424,s507
53,(wfpt.146),0.0,0.5788152504773336,0.001096157607396231,1.2293811872117484,0.00040838606926951737,0.0,0.0011169685376737348,0.02032245194648534,0.00042921132841922116,2.406027755494033e-13,0.03290455080572077,5.643395682840781e-06,s508
54,(wfpt.147),0.0,0.49815236589348294,0.0012080445090958403,1.201307300292622,0.00040094312057870063,0.0,0.0012288544089935627,0.019975738372504378,0.0004217685347930322,1.5651271465381704e-14,0.034123486116292595,6.80207852120416e-06,s509
55,(wfpt.148),0.0,0.6142916192068052,9.814200964131103e-06,1.2627460600011609,-2.0618540400141327e-05,0.0,3.065036844263069e-05,-0.00047319851617773877,2.156565318545134e-07,0.22519118266106655,0.005939967987736551,0.9189632545292981,s510
56,(wfpt.149),0.0,0.4199085009953498,0.027093326772391735,1.0429919099272147,0.017275972902556114,0.0,0.02711360157490128,0.12998820739617345,0.017296446746325578,8.417102260335459e-289,0.15291352235232594,3.8908608223745607e-184,s551
57,(wfpt.15),0.0,0.7018772848518862,0.00015987068053657794,1.293200267213657,0.0006357797073707205,0.0,0.00018070198518727043,0.022283329921486964,0.0006566002290542272,0.0032284111829780915,0.01227316477837502,1.9683620484684965e-08,s060
58,(wfpt.150),0.0,0.9136691002301164,-1.8504039947631057e-05,1.3435085059409717,4.007412717665915e-05,0.0,3.4956631506100067e-06,-0.006505598249275702,6.205175142925956e-05,0.6901769256940626,0.0014653284503630994,0.09290595934931466,s556
59,(wfpt.16),0.0,0.8612686528204689,-7.283060474705394e-07,1.3426729025562671,0.00021203250492052295,0.0,2.0111989224136373e-05,0.01219028688064904,0.00023286185485471567,0.3259220092262465,0.0036720044471510033,0.0008276900482787875,s062
60,(wfpt.17),0.0,0.3553829181327586,0.05964142160505992,0.9183492049542985,0.04604796518408394,0.0,0.059661032019190485,0.21948079556434824,0.04606783959885952,0.0,0.24302809694777855,0.0,s063
61,(wfpt.18),0.0,0.3865751413131904,0.016674782740313976,1.080440321754231,0.012193076234275124,0.0,0.01669527423211936,0.09903367842149817,0.012213655973931425,1.0369762125246049e-177,0.10920407490842791,2.7223214035841997e-130,s065
62,(wfpt.19),0.0,0.8771341754407197,-1.901126849457313e-05,1.3523493425656965,0.0007908781304862833,0.0,1.8268021716449923e-06,0.02434440941719908,0.0008116954208853278,0.7671661375603434,0.0011360605345690673,4.292300506522163e-10,s066
63,(wfpt.2),0.0,0.7155539728678395,8.062786601248373e-05,1.300709356330867,0.0010051027196131823,0.0,0.00010146212388084663,0.026963400652188316,0.001025915546907008,0.027332757991464993,0.008783869714325727,2.234280047815738e-12,s009
64,(wfpt.20),0.0,0.9432166506911425,7.923553173383446e-05,1.3564269884397178,0.0010001040668605743,0.0,0.00010007676655954256,0.026037706941981514,0.001020916998295096,0.028433760669428074,0.008656085197002419,2.525284197090002e-12,s071
65,(wfpt.21),0.0,0.7547469181506854,-1.6063568811786055e-05,1.3223984287079698,0.00015396912722243083,0.0,4.7740062244505665e-06,0.01051820238904894,0.00017479968683553615,0.6321899486524769,-0.0017566404335381883,0.0037714951161111686,s081
66,(wfpt.22),0.0,0.8869917051898303,0.007300597024365252,1.2966523489159314,0.010451908476339922,0.0,0.007321497719223302,0.07077553443118562,0.010472741506330596,6.961612584926861e-78,0.055166678574490535,9.26051292889064e-111,s082
67,(wfpt.23),0.0,0.6752758755931293,0.0021184791261252833,1.2184066071504738,0.0009404332982604346,0.0,0.002139287398726708,0.031084737086395687,0.0009612474728619702,3.902698294066013e-24,0.046862568687862226,1.0899801206230104e-11,s083
68,(wfpt.24),0.0,0.4115208334089303,0.01065496481771222,1.0931879953434716,0.005608991384420059,0.0,0.010675577460902086,0.07931799649471306,0.005629708295368463,4.843433171019557e-114,0.10964713669036713,6.955472665131934e-61,s084
