"dv","iv","fold","R","all_folds_r","all_folds_r2","all_folds_rmse","shuffle_mean_r","shuffle_sem_r","shuffle_95p_r","shuffle_max_r","shuffle_mean_r2","shuffle_sem_r2","shuffle_95p_r2","shuffle_max_r2","shuffle_mean_rmse","shuffle_sem_rmse","iv_data","dv_data"
"Drug_Use","drift_rate",1,0.0829088523291995,-0.102629111926915,0.0105327346149072,0.991709433288906,0.00296338769450002,0.00390980512691418,0.0607988686766102,0.106071659564934,0.00152215270354191,0.00021002035609654,0.00420339939561047,0.0112511969628592,0.989821056816103,0.0000396060867932759,"ez_t1_522_fa_3_condition_scores","demog_fa_scores_t1"
"Drug_Use","drift_rate",2,0.134993144211371,-0.102629111926915,0.0105327346149072,0.991709433288906,0.00296338769450002,0.00390980512691418,0.0607988686766102,0.106071659564934,0.00152215270354191,0.00021002035609654,0.00420339939561047,0.0112511969628592,0.989821056816103,0.0000396060867932759,"ez_t1_522_fa_3_condition_scores","demog_fa_scores_t1"
"Drug_Use","drift_rate",3,-0.10442878285072,-0.102629111926915,0.0105327346149072,0.991709433288906,0.00296338769450002,0.00390980512691418,0.0607988686766102,0.106071659564934,0.00152215270354191,0.00021002035609654,0.00420339939561047,0.0112511969628592,0.989821056816103,0.0000396060867932759,"ez_t1_522_fa_3_condition_scores","demog_fa_scores_t1"
"Drug_Use","drift_rate",4,-0.0839059070606753,-0.102629111926915,0.0105327346149072,0.991709433288906,0.00296338769450002,0.00390980512691418,0.0607988686766102,0.106071659564934,0.00152215270354191,0.00021002035609654,0.00420339939561047,0.0112511969628592,0.989821056816103,0.0000396060867932759,"ez_t1_522_fa_3_condition_scores","demog_fa_scores_t1"
"Drug_Use","drift_rate",5,0.0230622873300007,-0.102629111926915,0.0105327346149072,0.991709433288906,0.00296338769450002,0.00390980512691418,0.0607988686766102,0.106071659564934,0.00152215270354191,0.00021002035609654,0.00420339939561047,0.0112511969628592,0.989821056816103,0.0000396060867932759,"ez_t1_522_fa_3_condition_scores","demog_fa_scores_t1"
"Drug_Use","drift_rate",6,0.0486600461483607,-0.102629111926915,0.0105327346149072,0.991709433288906,0.00296338769450002,0.00390980512691418,0.0607988686766102,0.106071659564934,0.00152215270354191,0.00021002035609654,0.00420339939561047,0.0112511969628592,0.989821056816103,0.0000396060867932759,"ez_t1_522_fa_3_condition_scores","demog_fa_scores_t1"
"Drug_Use","drift_rate",7,0.0604915442554463,-0.102629111926915,0.0105327346149072,0.991709433288906,0.00296338769450002,0.00390980512691418,0.0607988686766102,0.106071659564934,0.00152215270354191,0.00021002035609654,0.00420339939561047,0.0112511969628592,0.989821056816103,0.0000396060867932759,"ez_t1_522_fa_3_condition_scores","demog_fa_scores_t1"
"Drug_Use","drift_rate",8,0.0731136363052006,-0.102629111926915,0.0105327346149072,0.991709433288906,0.00296338769450002,0.00390980512691418,0.0607988686766102,0.106071659564934,0.00152215270354191,0.00021002035609654,0.00420339939561047,0.0112511969628592,0.989821056816103,0.0000396060867932759,"ez_t1_522_fa_3_condition_scores","demog_fa_scores_t1"
"Drug_Use","drift_rate",9,-0.12790125236348,-0.102629111926915,0.0105327346149072,0.991709433288906,0.00296338769450002,0.00390980512691418,0.0607988686766102,0.106071659564934,0.00152215270354191,0.00021002035609654,0.00420339939561047,0.0112511969628592,0.989821056816103,0.0000396060867932759,"ez_t1_522_fa_3_condition_scores","demog_fa_scores_t1"
"Drug_Use","drift_rate",10,-0.142463361122497,-0.102629111926915,0.0105327346149072,0.991709433288906,0.00296338769450002,0.00390980512691418,0.0607988686766102,0.106071659564934,0.00152215270354191,0.00021002035609654,0.00420339939561047,0.0112511969628592,0.989821056816103,0.0000396060867932759,"ez_t1_522_fa_3_condition_scores","demog_fa_scores_t1"
"Drug_Use","non_decision",1,0.160737385661743,-0.0159406973176828,0.000254105830973979,0.993770238830664,0.00442929211264651,0.00460276309833196,0.0802709247830692,0.104049770128148,0.00211697601441643,0.000281967911254333,0.00779940936141168,0.0157247475026491,0.992084809425856,0.000330185085401176,"ez_t1_522_fa_3_condition_scores","demog_fa_scores_t1"
"Drug_Use","non_decision",2,0.339010887412977,-0.0159406973176828,0.000254105830973979,0.993770238830664,0.00442929211264651,0.00460276309833196,0.0802709247830692,0.104049770128148,0.00211697601441643,0.000281967911254333,0.00779940936141168,0.0157247475026491,0.992084809425856,0.000330185085401176,"ez_t1_522_fa_3_condition_scores","demog_fa_scores_t1"
"Drug_Use","non_decision",3,0.00157804872001788,-0.0159406973176828,0.000254105830973979,0.993770238830664,0.00442929211264651,0.00460276309833196,0.0802709247830692,0.104049770128148,0.00211697601441643,0.000281967911254333,0.00779940936141168,0.0157247475026491,0.992084809425856,0.000330185085401176,"ez_t1_522_fa_3_condition_scores","demog_fa_scores_t1"
"Drug_Use","non_decision",4,-0.198219061053433,-0.0159406973176828,0.000254105830973979,0.993770238830664,0.00442929211264651,0.00460276309833196,0.0802709247830692,0.104049770128148,0.00211697601441643,0.000281967911254333,0.00779940936141168,0.0157247475026491,0.992084809425856,0.000330185085401176,"ez_t1_522_fa_3_condition_scores","demog_fa_scores_t1"
"Drug_Use","non_decision",5,0.278799692817995,-0.0159406973176828,0.000254105830973979,0.993770238830664,0.00442929211264651,0.00460276309833196,0.0802709247830692,0.104049770128148,0.00211697601441643,0.000281967911254333,0.00779940936141168,0.0157247475026491,0.992084809425856,0.000330185085401176,"ez_t1_522_fa_3_condition_scores","demog_fa_scores_t1"
