,index,log_int_pval,slope_pval,log_int_val,log_slope_pval,log_rsq,rsq_adj,slope_val,rsq,log_slope_val,int_val,log_rsq_adj,int_pval,subj_id,sub_id
0,wfpt,0.0,0.20915649719927484,1.3050802974114801,0.012187501231847519,0.00017217755742593432,1.581692099728027e-05,0.00626223432224084,4.321449854949311e-05,0.013574561568374822,0.8132745055203678,0.0001447782583539059,0.0,0,s005
0,wfpt,0.0,0.031756815487933264,1.3527461009048185,2.8090949285727984e-05,0.00047104591516222705,9.631121520092822e-05,0.009584766998432328,0.00012297602463007262,0.02117806728524784,1.204927872507415,0.00044420139257306257,0.0,0,s007
0,wfpt,0.0,0.03777700103047912,1.259134210597575,0.0003109907450502728,0.00034771122233545615,8.84036218485873e-05,0.010144533951116499,0.0001150686421524938,0.024466695748895775,0.8324658979794789,0.0003209754028977718,0.0,0,s009
0,wfpt,0.0,0.27797476081136185,1.375648247877953,0.2990747076516676,2.996649272390961e-05,4.916791023212852e-06,0.005337200116117437,3.269520384607816e-05,-0.0073514376380668526,0.9709493744506994,2.177196550379179e-06,0.0,0,s011
0,wfpt,0.0,2.2956732183434555e-09,1.1928982209948478,1.0226609891598409e-32,0.003836122421869592,0.0009375988035554839,0.02675060793160213,0.0009646012198692988,0.05186816977669021,0.5948582279666748,0.0038091407350446804,0.0,0,s012
0,wfpt,0.0,0.7918017730167425,1.2335198410164319,0.6026798336711985,7.345106227574227e-06,-2.514504066630785e-05,-0.00134995581836354,1.8833964547937398e-06,0.003625115140112014,0.6980079649355012,-1.9760842349114682e-05,0.0,0,s014
0,wfpt,0.0,3.644812641707201e-05,1.2772528077824041,2.3737820891761786e-09,0.00096531867192029,0.0004336637578727931,0.01836831201828535,0.0004606797944208818,0.02724648315973837,0.8274494090706134,0.000938246762283379,0.0,0,s015
0,wfpt,0.0,1.0880934989111331e-41,1.3104197147656846,9.418596737619246e-20,0.002327931228099711,0.005113200278471175,0.06213637877429191,0.005141226048203329,0.044050334515421286,0.8958479510866459,0.002299824622601254,0.0,0,s017
0,wfpt,0.0,4.898083648031501e-06,1.2549976128588165,2.3062606053221235e-12,0.00131257011813668,0.0005299417733759526,0.020449779435433257,0.0005565950190151714,0.029564673385464896,0.7267606423801446,0.0012859121508119742,0.0,0,s026
0,wfpt,0.0,1.0314685461064655e-06,1.29576969072135,1.5207684055076422e-12,0.0013342419336683786,0.0006096815889711227,0.021568352381409164,0.000636332708158549,0.029762976360014435,0.8551662122209501,0.0013075866793560431,0.0,0,s027
0,wfpt,0.0,0.3095441914165743,1.3686913732884514,0.00654830589056122,0.0001971683544993441,8.706248818546314e-07,-0.006394258881144788,2.7537979461200734e-05,-0.03373179063856759,0.8740936004230765,0.00017050125667461558,0.0,0,s028
0,wfpt,0.0,0.04045599945651333,1.2433112439014715,4.088245952016673e-06,0.0005736554189542664,8.645303245191638e-05,0.010411121265216238,0.00011347845332732032,0.02460799675337838,0.6529033046869218,0.0005466336716829501,0.0,0,s032
0,wfpt,0.0,0.1287094087486932,1.2596250360974917,0.00021786936956193735,0.0003694251547996519,3.5353896410406094e-05,0.00817269298461731,6.238069838082616e-05,0.021939540614437487,0.6711300230391877,0.00034240665177664997,0.0,0,s034
0,wfpt,0.0,1.0590233631879655e-10,1.1962714990555663,1.162493717209789e-23,0.0026778397974581702,0.0010850661454699928,0.03434496071330816,0.0011117045873978437,0.060054082353397174,0.6430691494789302,0.0026512402839304894,0.0,0,s042
0,wfpt,0.0,0.4571746272910141,1.3009535760559878,0.015602877391446331,0.00015645033904054806,-1.1925407078727801e-05,0.0033290650727234314,1.4742288737212839e-05,0.012426045982835063,0.8889749351335621,0.00012969580879884646,0.0,0,s049
0,wfpt,0.0,0.022383478417418574,1.282580239719646,0.008275908410967377,0.00018593576023906433,0.00011242128980915034,0.011396632699287111,0.00013908566962483881,0.013245793203925599,0.6880525317591875,0.0001592726298257352,0.0,0,s060
0,wfpt,0.0,1.1831148859631358e-184,1.0303523567910091,2.5862085352467528e-130,0.016268159941661864,0.022121876100023696,0.1404784953526629,0.022147953545392784,0.10884221089355524,0.3096165551592089,0.016240809745930784,0.0,0,s062
0,wfpt,0.0,0.8561075157366348,1.3688865856566719,0.3134068101596665,2.7103261915351062e-05,-2.5791179470990855e-05,-0.0008027527294772076,8.768861088359614e-07,-0.0037750957068206706,0.9275134363628819,4.344733315342353e-07,0.0,0,s063
0,wfpt,0.0,0.29778527213582334,1.268350203377454,0.01067168271961553,0.00019878743446000158,2.4741632752567355e-06,0.004949252504203121,3.1886720286866677e-05,0.011895880239798158,0.8956533681598289,0.00016829825378894547,0.0,0,s065
0,wfpt,0.0,0.05049703230954825,1.3237802609964369,3.2957562569475466e-08,0.0008157261170965713,7.533296846062854e-05,0.0090430767822411,0.00010199833732460473,0.02707688038271352,1.0018834496810343,0.000789014245367925,0.0,0,s066
0,wfpt,0.0,1.5888687812963876e-11,1.2472924995380088,2.9793377959587265e-06,0.0006962944978502472,0.0013453009206960687,0.03381278400715646,0.00137556410137063,0.017948827221465125,0.614541012895013,0.0006644096280150613,0.0,0,s071
0,wfpt,0.0,0.6316273492267066,1.3557578306359956,0.8931289583588435,4.814374898742813e-07,-2.053792458855952e-05,-0.0022259017721221602,6.1300009007725365e-06,-0.0007189095719665074,0.9247260117759033,-2.619232934297777e-05,0.0,0,s081
