,node,m_sample,m_kl,m_level_2,m_int_pval,m_int_val,m_log_int_pval,m_log_int_val,m_log_rsq,m_log_rsq_adj,m_log_slope_pval,m_log_slope_val,m_rsq,m_rsq_adj,m_slope_pval,m_slope_val,sem_sample,sem_kl,sem_level_2,sem_int_pval,sem_int_val,sem_log_int_pval,sem_log_int_val,sem_log_rsq,sem_log_rsq_adj,sem_log_slope_pval,sem_log_slope_val,sem_rsq,sem_rsq_adj,sem_slope_pval,sem_slope_val,subj_id
0,wfpt,24.5,0.8114921490752671,0.0,0.0326062265884329,0.10162211818715088,0.20545981305831426,0.04764121013998523,0.7430666851754085,0.7415900569292905,7.96515435876527e-22,0.9573981710869746,0.7986325520680582,0.7974752678845413,5.551411545224165e-34,0.7890483562715979,2.0615528128088303,0.07281260663681198,0.0,0.01760825431677775,0.008509526609860764,0.04262409912462946,0.0315521301368368,0.021201666497227416,0.021323515155257464,7.964865290274158e-22,0.024646979656395385,0.012483537630182867,0.012555282099321847,5.551411527714344e-34,0.016885632923196472,005
0,wfpt,24.5,3.736338370805521,0.0,1.4201815740873363e-12,0.24949352989446638,0.00010022020228205437,0.48963406661872366,0.7167206313484547,0.7151291742211989,9.69566418452244e-24,0.5892693169472553,0.6843473859015341,0.6825740566088463,1.0598953208643153e-36,0.4665632163100654,2.0615528128088303,0.17468518589302046,0.0,1.0373040219006517e-12,0.005601208562044284,9.987952764674666e-05,0.02795114740142606,0.01614136859302963,0.016232050439057878,9.69566418403904e-24,0.02099102825060608,0.005697705708533611,0.00572971529116582,1.0232120947539787e-36,0.009425119363140033,007
0,wfpt,24.5,0.513815676907271,0.0,0.12156395108024945,0.03765213937095338,0.06465044131259069,-0.045248594009355936,0.7983485207017657,0.7971692722848168,3.3147336946426756e-27,1.030203530609728,0.9329199480960704,0.9325276670907846,2.7442318183232004e-73,0.9225622750061556,2.0615528128088303,0.05422022958627702,0.0,0.030671669553272562,0.008734975444260133,0.020687789495653554,0.03045916414050244,0.019824963441727555,0.019940898900451105,3.1522785265565578e-27,0.023292296585427946,0.004659190032580796,0.0046864367579175234,2.6943546958873706e-73,0.014540921452773237,009
0,wfpt,24.5,0.06648732430605096,0.0,0.03455385725110995,0.0943050916696983,0.30024291597706726,0.09215956854596734,0.4916545057986979,0.48879863223576936,5.655128131375683e-22,0.9230351421825651,0.8198624051966764,0.8188503962371071,3.8354735606064903e-47,0.8005544450043379,2.0615528128088303,0.008116163222764797,0.0,0.018308125033398757,0.007626554115567177,0.0464117372587129,0.02084365981775572,0.015573124437583592,0.01566061390071608,5.519384685345515e-22,0.016811941971455184,0.005199367878872642,0.0052285778107764224,3.835473560532821e-47,0.01642816094833293,011
0,wfpt,24.5,0.7962019094267875,0.0,0.018073013506168155,0.13089051949847552,0.20015258877007142,-0.0648774351280632,0.636275036604825,0.6342084174946251,8.324791718100052e-17,1.0327187274328349,0.7236107126562916,0.7220403189782024,2.9239432437285023e-36,0.6791577457957149,2.0615528128088303,0.0515461274988175,0.0,0.017685594238014763,0.005732518117528511,0.039173894154679846,0.029971591474389533,0.019756160973980797,0.01986841188860569,8.319221814340992e-17,0.023531015851753153,0.009450900209102513,0.009504598505745141,2.907227471040254e-36,0.011378150036015904,012
0,wfpt,24.5,1.469962965071213,0.0,0.009009215195174908,0.11243323461796637,0.15815035718160747,0.13557141628700775,0.7113761510152223,0.7097455078006185,7.194729119622904e-32,0.8722071227657964,0.7747812956599893,0.7735088736015711,1.412838370395676e-43,0.6607414462108746,2.0615528128088303,0.0733048413609258,0.0,0.006299999556968178,0.004373888182981219,0.04064917815009549,0.019083976905419915,0.015111426557653872,0.015196801848940055,6.515134782452467e-32,0.015105156990220069,0.008752383794609292,0.00880183229062404,1.3854753981105355e-43,0.011057927278287109,014
0,wfpt,24.5,0.1592144924011594,0.0,0.010278955917395787,0.14443027012315116,0.1599198029704265,0.20204565835814267,0.45215900033555445,0.44908124191047344,1.2322965217468875e-16,0.8330205887454478,0.6736442935663212,0.6718108345414129,8.791497951059349e-38,0.6867644669050824,2.0615528128088303,0.021960977133663243,0.0,0.005457207380185749,0.007340160972454697,0.03404662948116079,0.022070674473626102,0.023084099358706367,0.023213785310159767,4.56107050464404e-17,0.017674338443832628,0.008582098239206344,0.008630312274258064,4.911154713891915e-38,0.015663792560983592,015
0,wfpt,24.5,0.08947525457172077,0.0,0.00012294186497525887,0.17497809031427103,0.11501267282388168,0.24459345306778346,0.4773810162474345,0.4744449545409594,2.8805973625057905e-23,0.7995561326119695,0.7719579407922145,0.770676805628126,5.152679031687529e-41,0.6557855955019771,2.0615528128088303,0.004993452251867071,0.0,0.00011447251075141428,0.007592689360770631,0.030985584659221386,0.020624947407998345,0.0058471617513223715,0.0058800109746444075,1.865084209551902e-23,0.01642907192194538,0.006505905469362199,0.00654245550008895,4.999374181868362e-41,0.01468560886110999,017
0,wfpt,24.5,0.6823422894853531,0.0,0.022780098657564536,0.10279579651679838,0.2678416435805376,0.09137318323682475,0.5481483488071455,0.5456098563847137,7.722897659848233e-21,0.9124618266030916,0.6608369542235315,0.6589315438540007,3.348580991685575e-35,0.7117419668010476,2.0615528128088303,0.045426651369616315,0.0,0.0156397478059544,0.005059341703933563,0.04422576075910328,0.02145070426031296,0.01845614950280497,0.01855983573596679,6.322578184701648e-21,0.017030035334322336,0.010045221055427895,0.010101654881581983,3.121718659580676e-35,0.011561395250641135,026
0,wfpt,24.5,0.3176349707247044,0.0,0.015352646975320265,0.17453485852955364,0.17655148787107663,0.1551178219406502,0.694916762861466,0.6931326503635802,9.43671220135565e-29,0.8715500614632671,0.8932923534769647,0.8926683321522687,3.6799901647867594e-69,0.6995059099416813,2.0615528128088303,0.028773178557126727,0.0,0.015348511112708884,0.00848472468754728,0.03717733517067367,0.01955795136039405,0.018476381344181003,0.01858443035788966,6.551238214480917e-29,0.015307515625206975,0.004373186860851568,0.004398761053020294,3.2115012942151744e-69,0.01483136909279918,027
