,index,rsq,log_rsq_adj,log_slope_pval,int_val,log_rsq,int_pval,log_slope_val,log_int_pval,slope_val,slope_pval,log_int_val,rsq_adj,subj_id,sub_id
0,wfpt,9.595094213610267e-06,0.00012065988971365904,3.146064445373149e-08,0.4522308041134365,0.0001247338630100403,0.0,0.010806102031581175,0.0,0.0030172808642337967,0.12483521196803975,1.2051318257601522,5.521780357953254e-06,0,s005
0,wfpt,0.00013726882372955274,0.00032002738195746616,8.169893628696012e-18,0.2401957517679852,0.0003244159083130027,0.0,0.012283886654183312,0.0,0.008722736224519082,1.8534875684229006e-08,1.1122802746369083,0.00013293098682354287,0,s007
0,wfpt,0.00035309427992658016,1.9590467684182933e-05,0.015334624741762068,0.5857675384863116,2.3606808121967582e-05,0.0,0.004760931998247833,0.0,0.017591085934186335,6.763707389233178e-21,1.265217773993398,0.0003490796014723463,0,s009
0,wfpt,0.00012741559591822327,-2.1486010037818914e-07,0.33061266961108193,0.5260965479062514,3.8012372773899017e-06,0.0,0.0021854811392152014,0.0,0.01180749510037398,1.7732982958288655e-08,1.2532036368779287,0.00012340001111665888,0,s011
0,wfpt,1.0659530712109344e-05,2.277223299562703e-05,0.010187109057933703,0.5754294902338806,2.683726369856476e-05,0.0,-0.005615563764063627,0.0,0.00332693564567849,0.10537613088686681,1.2725251729640195,6.594500344014875e-06,0,s012
0,wfpt,4.014550543107731e-07,-1.4244104273863911e-06,0.41950603656586405,0.42474578090826365,2.665206966789846e-06,0.0,0.0012541681783058561,0.0,-0.000503130823216371,0.7535691392832031,1.1924819656428243,-3.6718962501680608e-06,0,s014
0,wfpt,3.6515598202946364e-06,4.521907616927834e-05,0.0004632978846115999,0.47494921658377043,4.92356201821087e-05,0.0,0.006649618949062026,0.0,0.0018477198669309058,0.3403185590208264,1.2179231657809644,-3.645220296721874e-07,0,s015
0,wfpt,0.0018770948731667847,0.0003503469851948715,6.319000101016074e-21,0.680597824289403,0.0003543700116234172,0.0,0.01767375360721726,0.0,0.04069958987741085,1.5210999833444883e-103,1.280302470351181,0.0018730782496723108,0,s017
0,wfpt,1.5075402501896207e-06,5.104103109498936e-06,0.1390219170009048,0.6134330750903763,9.397714166081705e-06,0.0,0.0027768736018787526,0.0,0.001129699613710291,0.5534044813937926,1.2649279155327497,-2.7843356134038544e-06,0,s026
0,wfpt,2.382946219969817e-05,-2.0360327623869523e-06,0.48198748883096154,0.6026654224792409,1.99064811590155e-06,0.0,0.001397881826104892,0.0,0.004484966021650205,0.014956096091660424,1.2609031889487032,1.9805380836679376e-05,0,s027
0,wfpt,0.00013778688944987572,2.3597338976832916e-05,0.008973348035893936,0.7673473236682772,2.764613788308612e-05,0.0,0.006378023355009948,0.0,0.010125511955622024,5.411951400371717e-09,1.3070060864805604,0.00013373883151790444,0,s028
0,wfpt,0.00014492743916827422,0.0002262696038625167,3.520852062675646e-14,0.1922620843620952,0.0002302796059898693,0.0,0.010117215442065373,0.0,0.008798365241625467,1.8160913217017404e-09,1.134235461271511,0.00014091997188370176,0,s032
0,wfpt,6.63572004733215e-06,5.6221305166581637e-05,0.00010946180880771468,0.4838386772467215,6.024673029025873e-05,0.0,0.007286448216119388,0.0,0.0024406896565201544,0.19909981600497192,1.220662359779131,2.6115694936601486e-06,0,s034
0,wfpt,0.00015898169073380597,1.277808512645251e-05,0.04101698773111269,0.5518499507875502,1.6802227156054172e-05,0.0,0.004087334176996553,0.0,0.012263977085130166,3.264350146382729e-10,1.257538437120673,0.00015495815324728657,0,s042
