,index,log_slope_pval,log_slope_val,int_val,log_int_pval,log_rsq_adj,log_int_val,log_rsq,int_pval,slope_val,rsq,slope_pval,rsq_adj,subj_id,sub_id
0,wfpt,4.286850535008795e-92,0.04047464892121928,0.3071350046025243,0.0,0.0019432250898432368,1.1310449560013476,0.001947922424445414,0.0,0.03255474381333355,0.0012023469876784043,1.5235703710161072e-57,0.0011976467191912032,0,s005
0,wfpt,0.002170796203303846,0.0058362885137164585,-0.22273800442117553,0.0,4.0096150057844504e-05,0.9866268977994569,4.486982079432433e-05,0.0,0.010778785060347856,0.0001312517893485854,1.571979884268587e-07,0.00012647910059637724,0,s007
0,wfpt,1.142787419165129e-18,0.01768153341031907,0.2837055553060277,0.0,0.0003382528051482092,1.162067712615723,0.0003426566207914705,0.0,0.015948341158632633,0.00028629256122214564,7.501217586375846e-16,0.00028188849727683873,0,s009
0,wfpt,0.0016539824736755955,0.005600938519848356,0.32214194163654264,0.0,3.835636403448639e-05,1.1871520867645606,4.2666599268770256e-05,0.0,0.007592384088883773,8.605407122641573e-05,7.886497928171693e-06,8.17440601663666e-05,0,s011
0,wfpt,2.727961924557016e-108,0.045270625973292046,0.32003405337793256,0.0,0.002104526377286753,1.1412407445537451,0.00210883697812847,0.0,0.05388215766536574,0.003169503796089823,7.7140720643245e-162,0.003165197795622521,0,s012
0,wfpt,8.988112501840197e-227,0.05540854682902234,0.26229672857613867,0.0,0.004964310074251466,1.1142589140384902,0.004969105727424483,0.0,0.0541716766993732,0.0048005878553510906,3.7882557468361505e-219,0.004795791667377425,0,s014
0,wfpt,4.158497495333947e-60,0.02689753864412093,0.26998624953743255,0.0,0.0011940321042641644,1.1470708050890146,0.0011985112958255995,0.0,0.027750127702065253,0.001312262962663957,1.205991232960062e-65,0.0013077845021530754,0,s015
0,wfpt,5.463756821378947e-97,0.03213367175328202,0.29815937979538554,0.0,0.0020252113141986383,1.1491010518095104,0.002029854007534304,0.0,0.03240230638134227,0.0020384163024911306,2.0749591084540618e-97,0.002033774577527736,0,s017
0,wfpt,1.185302110598097e-21,0.016570512789927883,0.2913400375277254,0.0,0.0004107526228792624,1.1654339000775469,0.0004152963549406419,0.0,0.01527032870206392,0.00037866879227488326,6.97206207112603e-20,0.00037412501764422235,0,s026
0,wfpt,2.1522586580083106e-39,0.027567215208317775,0.29713905227967924,0.0,0.00073717887767355,1.153156037325259,0.0007414768007663053,0.0,0.025777571741518665,0.0006948984062610242,5.012788955171155e-37,0.0006906002828294122,0,s027
0,wfpt,1.2996719275464582e-24,0.018373262817586826,0.33066442665433815,0.0,0.0005047259439495688,1.1611089239946337,0.0005095835692863204,0.0,0.014332358540698318,0.00032897880050608563,1.8279797586859317e-16,0.00032412598144382354,0,s028
0,wfpt,2.135616631224631e-86,0.03411738894920381,0.23805489916599798,0.0,0.0017782823079577348,1.1316413546660242,0.0017828719386053793,0.0,0.03278299682239851,0.0017769174592865422,4.077727349150982e-86,0.0017723278856696112,0,s032
0,wfpt,1.2062365376485843e-64,0.03396150150751524,0.31504046647699485,0.0,0.001357198645232649,1.1517184962145488,0.0013619204722326028,0.0,0.03596494390959577,0.0015780580300172042,1.2807690891736562e-74,0.0015733373142565732,0,s034
0,wfpt,9.85827551727414e-199,0.054538358930049255,0.4670112447039698,0.0,0.004139679127757145,1.1591055221007345,0.004144250964419061,0.0,0.05321870523235684,0.003688777212447869,3.2194428981131973e-177,0.003684206935551826,0,s042
0,wfpt,4.067276569280249e-27,0.017425649041318894,0.2660433270270306,0.0,0.0005313014910000025,1.155473273781602,0.0005359078682255491,0.0,0.01531467991584239,0.00041032597503154467,3.8340835556086885e-21,0.00040571952854795423,0,s049
0,wfpt,4.147588885772279e-127,0.0470795597908157,0.39197253316313385,0.0,0.002532047329522946,1.155202413525734,0.002536451394871575,0.0,0.05490333059844447,0.0034769887052217285,1.3966436529834542e-173,0.003472589006278337,0,s060
0,wfpt,0.04066150009942546,0.003866540101422186,0.4235794481924058,0.0,1.466955051410146e-05,1.2090149811125719,1.926798762241777e-05,0.0,0.0008319242919098045,8.445294379377799e-07,0.6682269476138183,-3.7532101067050405e-06,0,s062
0,wfpt,0.0,0.06559579549536299,0.31172560889135414,0.0,0.007074618559392398,1.1177958508932047,0.007078907931841738,0.0,0.06523067693421422,0.007257282681626509,0.0,0.007252994339103869,0,s063
0,wfpt,9.914275075796247e-18,0.015310422305716179,0.28414454614265217,0.0,0.00036282941590126683,1.153551020231594,0.00036783097780845875,0.0,0.014464419266469387,0.0003132349719408012,2.4615081293509087e-15,0.0003082364881308308,0,s065
0,wfpt,2.1342759733119562e-274,0.06706603011984968,0.3246208647582065,0.0,0.0063188200497165115,1.114109009512164,0.006323852162159693,0.0,0.06346952641767657,0.00522703792883239,4.356989606759362e-227,0.0052220010527016525,0,s066
0,wfpt,0.020335540253353834,0.0036689190301800365,0.43449485917081065,0.0,2.0590576307655262e-05,1.2016574452021413,2.5288469303497152e-05,0.0,0.0032101430035912227,1.8362114939884933e-05,0.04770632013377882,1.3678316319265527e-05,0,s071
0,wfpt,2.517635992107999e-104,0.034156636331134776,0.32305544340439807,0.0,0.0022558826069219995,1.1508002523057712,0.0022606821995609927,0.0,0.03321878201410462,0.0020612592079641834,2.452036582568815e-95,0.002056461379423613,0,s081
0,wfpt,4.356409772023349e-48,0.026510123947254334,0.35195279517123235,0.0,0.0009492198405421926,1.1705219681660255,0.0009537102591330449,0.0,0.0309031576566843,0.0013606183576027053,7.536752664373574e-68,0.0013561300503746043,0,s082
