,index,slope_val,log_rsq,log_slope_pval,rsq_adj,int_pval,int_val,slope_pval,log_int_val,log_int_pval,log_rsq_adj,log_slope_val,rsq,subj_id,sub_id
0,wfpt,0.08595365609617694,0.008447512871398444,5.4861119102171036e-157,0.008062062091759081,0.0,0.5667922012053178,4.178593386692295e-150,1.1736369894897394,0.0,0.008435708394064156,0.08733794032003961,0.008073871017316603,0,s005
0,wfpt,-0.00907900394330415,3.653782594814636e-05,0.08168234348290052,0.0001854911309326912,0.0,0.6987874943650232,5.137415785943133e-05,1.3038240516507202,0.0,2.448382854980391e-05,-0.004169220898642599,0.00019753723400450784,0,s007
0,wfpt,0.014567667797866689,0.0001523813984766198,0.00034650230713464904,0.000198411426064804,0.0,0.5306305223071549,2.6305509907755237e-05,1.2455819668081547,0.0,0.00014047816722584372,0.013225429950111528,0.0002103139676257193,0,s009
0,wfpt,0.03706428335068368,0.0004964366928811303,1.058772188274136e-10,0.0014522907252320083,0.0,0.5798504128572883,1.3411068111101297e-28,1.248462873661131,0.0,0.0004845375576242317,0.024428398981906338,0.0014641783394806485,0,s011
0,wfpt,0.11075287740060823,0.012578118556213158,7.692569076145133e-232,0.016430359225726776,0.0,0.5629406582499925,5.4502780527416544e-303,1.1442532443857782,0.0,0.012566292861209138,0.11208305792152806,0.016442138643932735,0,s012
0,wfpt,0.11415764356478582,0.04069825871743504,0.0,0.030232232021014105,0.0,0.3508853796258117,0.0,1.0470993204338586,0.0,0.0406853868489675,0.12330230050783138,0.030245076797341897,0,s014
0,wfpt,0.0796184245751987,0.004409927092172361,1.0040767625280837e-82,0.0060706141586762685,0.0,0.5338100610209082,1.8395790900790465e-113,1.1765858629002286,0.0,0.004398074547196207,0.07660850404024518,0.006082446792229468,0,s015
0,wfpt,0.1532220931601844,0.026883110905040364,0.0,0.027376977468376418,0.0,0.5302049012886528,0.0,1.08006178160511,0.0,0.026871525904336835,0.1607867154976713,0.027388556451727775,0,s017
0,wfpt,0.04084490887320447,0.0011683179295248758,5.098057061755526e-23,0.0012555425880609317,0.0,0.5521395330877431,7.753116540480342e-25,1.2150947203527585,0.0,0.0011563555869289477,0.04542315359562226,0.0012675037427744007,0,s026
0,wfpt,0.03995617441914452,0.0009558161198350845,4.0467244409500113e-19,0.0016537389240289802,0.0,0.5878585681645143,3.9878312837784815e-32,1.2403576083708003,0.0,0.0009438512322463843,0.03333267809901458,0.0016656953098669325,0,s027
0,wfpt,-0.020215131672936426,0.0009620409854770307,2.4377262992592052e-19,0.0002762528481040638,0.0,0.5714318926109629,8.648390903759385e-07,1.3233076237832744,0.0,0.000950147393260381,-0.04336197582878176,0.00028815446297025815,0,s028
