,index,log_int_pval,rsq,int_val,slope_val,log_int_val,slope_pval,log_slope_val,log_rsq_adj,log_rsq,int_pval,rsq_adj,log_slope_pval,subj_id,sub_id
0,wfpt,0.0,8.955967140678034e-06,0.4794375368987798,0.002983899460971814,1.2435408809573423,0.38294130064274756,0.0027248131422764454,-4.0566961994059625e-06,7.708195819300379e-06,0.0,-2.8089101979933417e-06,0.4182667953934357,0,s005
0,wfpt,0.0,5.9196694019991725e-06,0.5610560855224744,-0.002024584187639422,1.2692348118320695,0.5182757820406106,-0.0024481497297345993,-7.428535579778739e-06,6.756168154042896e-06,0.0,-8.26504619744206e-06,0.4901055339960071,0,s007
0,wfpt,0.0,5.470068134005857e-07,0.40647424841763874,0.0007879379913868006,1.2227509854967673,0.8292799155866538,0.0008556535242729042,-1.1140341596549419e-05,6.246337599380425e-07,0.0,-1.1217969456467358e-05,0.817767194848293,0,s009
0,wfpt,0.0,2.1497353817068188e-06,0.39889739707011024,-0.0018247783166518983,1.2252214052159893,0.6690440769404736,-0.0021427197779967655,-9.038752218248902e-06,2.7261984133497563e-06,0.0,-9.615222032133275e-06,0.6302511271939535,0,s011
0,wfpt,0.0,1.6756184872956936e-07,0.4778622872054453,0.0004315370041667243,1.244602245839801,0.9050049860859988,0.00027265896452452476,-1.169712362858455e-05,6.785827855182447e-08,0.0,-1.1597418885234134e-05,0.9394621155469483,0,s012
0,wfpt,0.0,1.2370183807841606e-05,0.5406047142427746,-0.0034143477753559902,1.2635972200054806,0.3051753985920865,-0.004037187081173857,-1.9132947226552233e-08,1.1745711570143591e-05,0.0,6.053466374833505e-07,0.31770718505404943,0,s014
0,wfpt,0.0,1.8199132756357983e-07,0.49300937614266366,0.0004680044971011664,1.2474474140610559,0.9010194212528517,0.0011692836041565548,-1.0653251331538272e-05,1.111718294422026e-06,0.0,-1.1582989236647023e-05,0.7585407005597442,0,s015
0,wfpt,0.0,1.4178863173008871e-05,0.44950005441578395,-0.003418867303175533,1.241868335316346,0.27228951867672035,-0.003467292227914018,2.6354222512070535e-06,1.4400235538114536e-05,0.0,2.414047281740217e-06,0.26857847789871786,0,s017
0,wfpt,0.0,2.4439522592345497e-05,0.4006267263675072,-0.009023886847094292,1.235375106978009,0.1495021009386821,-0.010858795949015853,1.796268825338121e-05,2.972732121730992e-05,0.0,1.267482741751369e-05,0.11192802065976433,0,s026
0,wfpt,0.0,3.9508138566790585e-05,0.4349110530975744,0.007562983642657474,1.225776567625239,0.06687277478468444,0.0070433290087292474,2.6519297321891955e-05,3.828382961867938e-05,0.0,2.7743620673925662e-05,0.07124538185745509,0,s027
0,wfpt,0.0,3.606710557435555e-06,0.44967091769070855,-0.002357186939381522,1.2296753931970608,0.579797623391372,-0.0009001379892243314,-1.1434893366857324e-05,3.3008545508028675e-07,0.0,-8.15822971511615e-06,0.8669761938902527,0,s028
0,wfpt,0.0,1.7710270916460047e-08,0.42895039306747273,-0.0001828062286778143,1.2317783976691088,0.9690509886552168,4.12285521211031e-05,-1.1764206237385721e-05,7.764587861558425e-10,0.0,-1.1747272226081407e-05,0.9935181652770386,0,s032
0,wfpt,0.0,6.370191274474024e-08,0.4007591711105959,0.0003427333839727464,1.2227910310966221,0.9413419521583251,0.0004946803168352915,-1.1639331994439672e-05,1.2564923268509887e-07,0.0,-1.1701280043130424e-05,0.9176903817511985,0,s034
0,wfpt,0.0,3.208329231030316e-05,0.3904152679116443,0.008243580096099124,1.2097213797899091,0.09866177960555693,0.009153205023442742,1.8116611203877753e-05,2.988124235692169e-05,0.0,2.03186870643135e-05,0.11100400670414001,0,s042
0,wfpt,0.0,1.619237640948512e-05,0.45793771391751414,0.0048788074114321425,1.2333264827008166,0.24072852709840578,0.005649215776439946,1.1483971399717241e-05,2.3248680584786463e-05,0.0,4.4275842071561655e-06,0.15980158208888207,0,s049
0,wfpt,0.0,3.0853799672936333e-06,0.40776658387436937,-0.002237078386653852,1.2285617258415888,0.6085785794849616,-0.0026778247352240506,-7.882212188281557e-06,3.882724836978824e-06,0.0,-8.679566438685171e-06,0.5656458129673212,0,s060
0,wfpt,0.0,1.9665443446670317e-05,0.5440687857061703,-0.004608120865972383,1.267602644162642,0.1973743342272427,-0.005230429915515134,1.427273817822261e-05,2.6107028847421887e-05,0.0,7.831076543896032e-06,0.137474054334206,0,s062
0,wfpt,0.0,8.47044217933135e-06,0.4267187495446963,0.00297771515210417,1.2282118820813706,0.39615392754640943,0.0029176957777100887,-3.4866279798873023e-06,8.278257331961747e-06,0.0,-3.2944408714374873e-06,0.4015652749803531,0,s063
0,wfpt,0.0,4.959440482066313e-06,0.5104511076985755,-0.0025286814921570734,1.2540925770954794,0.5161690714676024,-0.002453549872639557,-8.339670698465085e-06,3.4252717087124296e-06,0.0,-6.805483875549356e-06,0.5894908964132317,0,s065
0,wfpt,0.0,3.900763747233249e-06,0.5446806871391706,-0.0019727278199929803,1.2654691173723855,0.5647444017860019,-0.0018224588954589352,-8.798081847727346e-06,2.966865952469533e-06,0.0,-7.864173065641467e-06,0.6155466453568259,0,s066
0,wfpt,0.0,4.556647082099019e-06,0.4868333780214096,-0.002390326440919544,1.2513156397620047,0.5337196886073747,-0.003125932749357789,-5.779924616922116e-06,5.984987675122788e-06,0.0,-7.2082820143926085e-06,0.47569759889783525,0,s071
0,wfpt,0.0,7.300883827277005e-06,0.5009197457952281,-0.0025497775901937077,1.255256017685162,0.43083958250835175,-0.002441824681641648,-5.088446179080108e-06,6.6764579779166056e-06,0.0,-4.464012983262933e-06,0.4512603910543471,0,s081
0,wfpt,0.0,1.8088575195474021e-06,0.41896732578200124,-0.0016875407070821562,1.2298998890205404,0.6949785841001963,-0.0010686230679119724,-1.0902376179622308e-05,8.625963773267742e-07,0.0,-9.956103904640301e-06,0.7865648464376983,0,s082
0,wfpt,0.0,1.0407377855181643e-05,0.45342339846488544,0.004919354742953922,1.2308912197355049,0.3497956659634044,0.006619527867678436,3.900664839573409e-06,1.5805522032286135e-05,0.0,-1.4975436026798405e-06,0.24922642038247256,0,s083
