,index,log_int_val,rsq_adj,log_rsq_adj,log_int_pval,int_val,rsq,slope_val,log_rsq,int_pval,log_slope_pval,log_slope_val,slope_pval,subj_id,sub_id
0,wfpt,1.0484434468454744,0.0071924863885232115,0.007866032731919548,0.0,0.27816927727128804,0.007217621392285656,0.07945104504937345,0.007891186345165724,0.0,6.311357179413046e-70,0.08161854728016316,3.497721465749815e-64,0,s005
0,wfpt,1.0168229254644296,0.012421011705001761,0.011389579883010592,0.0,0.18892424808262745,0.012447001309683459,0.09040371078298559,0.011416084894408152,4.6947560809651647e-237,3.924998643120988e-95,0.07318554014846895,1.6477496924462385e-105,0,s007
0,wfpt,1.2953476053392758,-2.5199267839726147e-05,1.975787951158381e-05,0.0,0.7277714989804417,1.1846676795101985e-07,0.0003417781754920836,4.507575788514906e-05,0.0,0.18210884381634018,0.006995525979192729,0.9454638385975955,0,s009
0,wfpt,1.1676319197077694,0.03579317196579668,0.03014846921958425,0.0,0.7466473759227374,0.03581758288323855,0.151355672183145,0.03017302366615826,0.0,3.9363077474011876e-265,0.13704164668151633,0.0,0,s011
0,wfpt,1.3423694175148921,2.0075661113838628e-05,6.716399726303113e-05,0.0,0.8320921937380051,4.539224949184906e-05,-0.006732253904400199,9.248003442952069e-05,0.0,0.055974812562852735,-0.009967543596965042,0.18057066473982641,0,s012
0,wfpt,1.315389691595856,-1.776723565249938e-05,-2.5517956865561686e-05,0.0,0.7694501372112567,7.874903049431836e-06,-0.0023789791764266695,1.3951229371755858e-07,0.0,0.9412181619396904,-0.00030575990395201313,0.5794635249654432,0,s014
0,wfpt,1.2771615241042,-1.817918864843726e-05,1.8114598645535551e-06,0.0,0.7046571822252536,9.991131056152902e-06,0.0031078244159344045,2.99915361915426e-05,0.0,0.3022477140820845,0.005814929326438623,0.5514859050770617,0,s015
0,wfpt,1.3173508021100577,3.5466660993632715e-06,-2.1133220327040902e-05,0.0,0.7688100400387113,2.9521274617416715e-05,0.005022715441984557,4.843378712315882e-06,0.0,0.6658888864361294,0.0019119344145807071,0.28639055809635316,0,s017
0,wfpt,1.3088798344601051,0.0004211888988844281,8.827161969082731e-05,0.0,0.762445203082244,0.0004461789939143035,0.019953365706429096,0.00011327066285249376,0.0,0.03329225667235425,0.011023817714582631,2.3901590697101533e-05,0,s026
0,wfpt,1.3328944711627586,7.674137088686805e-06,4.2794102593446404e-05,0.0,0.7891297544916415,3.267457024602738e-05,-0.0053304156111461595,6.779740831941439e-05,0.0,0.09963277049932526,-0.00863246774346053,0.25295261479840114,0,s027
0,wfpt,1.2718461127066871,-2.105518890860303e-05,9.057681422741659e-05,0.0,0.6766592406778994,3.945962499862787e-06,0.0020432903718678964,0.00011558205137807143,0.0,0.031564619717931126,0.012185417243826078,0.691163269480745,0,s028
0,wfpt,0.992561704723787,0.05263333571149276,0.05840188750189157,0.0,0.3683325093732891,0.05265732028488179,0.19681366186911448,0.058425762298729755,0.0,0.0,0.1846943035726151,0.0,0,s032
0,wfpt,1.2883735832327705,9.626776151372418e-05,1.0744190107381257e-05,0.0,0.6628235318149152,0.00012126597977513143,0.010218630509236984,3.5744546511451425e-05,0.0,0.23181045809800394,0.005871244501467657,0.027636034368982244,0,s034
0,wfpt,1.2658464147357145,-1.0908117194174949e-05,-1.0711857909795341e-05,0.0,0.6443888492050164,1.473384562833413e-05,-0.003798862407775713,1.4934703227331703e-05,0.0,0.4454059932502358,0.0038395283055408028,0.4484417511809917,0,s042
0,wfpt,1.297766511848475,-2.1813814558457878e-05,-2.409657034996293e-05,0.0,0.7416177914412476,3.18735581605889e-06,-0.0017787611720002728,9.12785338869071e-07,0.0,0.8484922033820872,0.001042123301598502,0.7210525245324606,0,s049
0,wfpt,1.2833839993500653,0.0006243077824990007,0.00017882122905643616,0.0,0.677837677037878,0.0006492927994298237,0.026294339359381344,0.0002038173834295609,0.0,0.004298958893766151,0.015525924309471181,3.452366432839092e-07,0,s060
0,wfpt,1.351413763065756,-8.461316737040647e-06,-1.9854642084871088e-05,0.0,0.8940751765920887,1.6855994114273187e-05,0.0036615418735528632,5.466803605469472e-06,0.0,0.6421873283793935,-0.0020557615109639306,0.41452844025671964,0,s062
0,wfpt,1.332140490195639,-1.6310985052614413e-05,-5.644762048895302e-06,0.0,0.7932319784599708,9.331116308630705e-06,-0.0032998424627071234,1.999772332872407e-05,0.0,0.3771873201863484,-0.005844268489804849,0.5463526753772008,0,s063
0,wfpt,1.228030265165278,-2.8218823746151145e-05,-3.2419089017299285e-05,0.0,0.6506921720782755,4.041191700165925e-06,0.0016566816832081924,2.766678351973084e-07,0.0,0.9267077618841953,0.0004377557476537624,0.7233906575864313,0,s065
0,wfpt,1.3673083452017087,0.0009197959855233862,0.00020388718333719247,0.0,1.0537152145083366,0.0009450897955949333,0.029311859811240487,0.0002292010407610734,0.0,0.0026223285548104356,0.021266876206164465,9.890658224266083e-10,0,s066
0,wfpt,1.2765133142778184,-2.676846553217871e-05,6.174053515806133e-05,0.0,0.720639244537341,1.4020961306426827e-06,-0.000925135605058844,8.998897460277266e-05,0.0,0.07429708042446663,0.007295909554190377,0.8234623314652683,0,s071
0,wfpt,1.0247966137074176,0.08165283504479126,0.08754873963046383,0.0,0.6645613986715213,0.0816757942978964,0.2201625842068406,0.08757155148226936,0.0,0.0,0.23899571299853928,0.0,0,s081
