,index,log_slope_pval,log_int_pval,log_slope_val,rsq,int_pval,int_val,slope_pval,log_int_val,log_rsq_adj,log_rsq,slope_val,rsq_adj,subj_id,sub_id
0,wfpt,0.00013161360020685182,0.0,0.012721209087273519,4.519942543357303e-06,0.0,0.5059498065806814,0.5501408128252621,1.233315016582584,0.0001723772924908662,0.00018503349855314433,-0.0020313874934951466,-8.138548558411784e-06,0,s005
0,wfpt,8.30047603210481e-06,0.0,0.012238016237453107,3.572818206853956e-05,0.0,0.4889361119244742,0.09939021960933243,1.2203073443508325,0.0002486217404223945,0.0002617971671257102,0.004247852325062295,2.2570411182254446e-05,0,s007
0,wfpt,0.8682459255783361,0.0,0.0005199155113796636,0.0001064057164373855,0.0,0.3613274697189809,0.004082804953916777,1.2104253585984859,-1.2548465708084322e-05,3.5508851137233677e-07,0.009101688193609188,9.350353064829786e-05,0,s009
0,wfpt,0.001309304578896921,0.0,0.01258781499822896,0.0009306565041994341,0.0,0.3890627036479767,7.735644162645922e-18,1.2068918235121049,0.00011734890412828936,0.00012992636080755293,0.031192130037701674,0.0009180892780616956,0,s011
0,wfpt,0.0677282800205037,0.0,-0.006074316864831411,5.015926685969507e-05,0.0,0.809511827350238,0.04865213744642095,1.34466541437043,3.0158572034588715e-05,4.306157518851883e-05,0.005531264441038075,3.7256355291281906e-05,0,s012
0,wfpt,0.2579954169726105,0.0,-0.0033518162620426,6.0439358969821555e-06,0.0,0.5238845511114436,0.5036497502146817,1.2541221109657743,3.778206862592448e-06,1.7295870755273945e-05,-0.0019336455568065049,-7.4698611796097936e-06,0,s014
0,wfpt,1.4453717332332254e-14,0.0,-0.01604008292049722,0.0008545001041170286,0.0,0.4656242688523217,1.0297236060550854e-14,1.2574604222001642,0.0008311877986660887,0.0008454702082861809,-0.016299667175463807,0.0008402261891495844,0,s015
0,wfpt,2.123988791511674e-24,0.0,0.02751268235575468,0.0002064061851905219,0.0,0.6224396693733865,5.6872641548791854e-05,1.240610141380507,0.0013115267611637504,0.0013242633475258891,0.010944691149798645,0.00019366963656741731,0,s017
0,wfpt,5.664409214668321e-13,0.0,0.033272840144312366,0.0008563184511913846,0.0,0.7588325816129307,1.2479216370517119e-16,1.285481628188575,0.0006368166684265208,0.0006493088643705347,0.03164447512576156,0.0008438288429318819,0,s026
0,wfpt,0.9463936102618469,0.0,0.00023920919787890488,4.384730578621543e-09,0.0,0.7752643267616368,0.9852927738957955,1.3255728805229923,-1.2845224347302064e-05,5.833370142482863e-08,5.578329578220017e-05,-1.2899174014258108e-05,0,s027
