,index,int_pval,int_val,log_slope_pval,log_rsq,log_int_val,rsq,slope_pval,log_slope_val,slope_val,log_rsq_adj,log_int_pval,rsq_adj,subj_id,sub_id
0,wfpt,0.0,0.5565736931472363,2.798960976278258e-38,0.0028088465776281435,1.2114354149626168,0.0028029475076341015,3.341007664447512e-38,0.05105505905416424,0.05117020292568704,0.0027920864990806926,0.0,0.0027861873299391826,0,s005
0,wfpt,0.0,0.8289777478742586,0.295939066686115,1.9511387816972814e-05,1.3198995229159707,8.053860405254909e-07,0.8318209486124978,0.004390367198362308,0.000868286526372013,1.650766101368717e-06,0.0,-1.7052380212101426e-05,0,s007
0,wfpt,0.0,0.7346197157930177,1.076488658909719e-31,0.002323248869758987,1.2644137158669189,0.002715499855713288,9.133901445008006e-37,0.0458315528597342,0.04694378951121353,0.0023063385210839726,0.0,0.002698596155585431,0,s009
0,wfpt,0.0,0.5575578457026813,1.3202895866729855e-192,0.014501226134197243,1.1435078045338303,0.019480284878719223,1.164563918230625e-258,0.11337975278656909,0.12432296230751443,0.014484800607115211,0.0,0.019463942338715845,0,s011
0,wfpt,0.0,0.7500838344138205,4.816728068135799e-14,0.0009705657011727098,1.2751451038305102,0.0020928251495683226,1.7465733535924862e-28,0.03922383980952386,0.046424069562723165,0.0009534876910818335,0.0,0.0020757663240555946,0,s012
0,wfpt,0.0,0.662749515965181,9.025159872492004e-17,0.0011522461781834359,1.26305740005052,0.00255998351902309,2.5746715652098044e-35,0.031135564284020714,0.04428121934264857,0.001135598160685758,0.0,0.002543358964596565,0,s014
0,wfpt,0.0,0.6234133593243002,0.9670951022677736,2.8602445190095693e-08,1.2811596702688706,9.226342274637478e-05,0.019128866136784703,-0.00017338549749050525,0.009094998314003563,-1.6779249702780774e-05,0.0,7.545768580441425e-05,0,s015
0,wfpt,0.0,0.6655347918562351,1.8798055559513263e-60,0.004549192996073259,1.209365659539691,0.008835298757150722,7.052382101020486e-116,0.07831094686371522,0.0889181959954787,0.004532319804551821,0.0,0.008818498785944207,0,s017
0,wfpt,0.0,0.6023365468757595,6.38852711416735e-10,0.0006364738319649677,1.2517206669136027,0.0010838667075663277,7.248401345906593e-16,0.0258049761205522,0.0321555670517827,0.0006198172179749939,0.0,0.0010672175503728676,0,s026
0,wfpt,0.0,0.6012994505847009,3.0330702016055046e-108,0.008108821384451126,1.191369665376988,0.009346970139441302,1.5066532686793358e-124,0.0798761341808476,0.08235909471589922,0.008092289313738399,0.0,0.009330458705229083,0,s027
0,wfpt,0.0,0.6171184182921342,2.6717338929715794e-10,0.0006648224306535777,1.2586333770153264,0.0006585970912820205,3.2352222675482083e-10,0.02363563766633918,0.02337535517876738,0.0006481662891559825,0.0,0.0006419408460253129,0,s028
0,wfpt,0.0,0.5970492704771455,2.7886380084551673e-62,0.004612610181142118,1.196875259017681,0.007509017673041241,2.3685641870652933e-100,0.07445387473507803,0.08327552064110161,0.004596019838300269,0.0,0.00749247560526678,0,s032
0,wfpt,0.0,0.6561711898172962,0.417941623118966,1.112124472690823e-05,1.28531337138545,0.00012667093031626386,0.006260530858808733,0.0034057388493180726,0.010303710357781999,-5.829155794501162e-06,0.0,0.00010972335024450608,0,s034
0,wfpt,0.0,0.6821912397745866,5.77336717248808e-46,0.0034274608027111686,1.2322632978978256,0.0055626093640972485,1.512285290675851e-73,0.06348309952032105,0.07183564376245741,0.0034105691701270535,0.0,0.005545753921698537,0,s042
0,wfpt,0.0,0.6760304935184046,0.8396466771563591,6.824228317992009e-07,1.2982223567808888,1.8591218925445574e-06,0.7383945049356647,-0.001015344216720504,-0.001424311589816974,-1.5984788034995034e-05,0.0,-1.4808069361826881e-05,0,s049
0,wfpt,0.0,0.5122037256373067,0.15310516269861063,3.4018134980606796e-05,1.248048647611772,9.750474596148528e-05,0.015574163941401972,0.006740246302148228,0.010659947751805144,1.735147972758977e-05,0.0,8.08391488539284e-05,0,s060
0,wfpt,0.0,0.6845073981926694,1.1218746329880056e-190,0.014355446032301877,1.1569821260688238,0.02072733929962034,2.966571853900659e-275,0.12958124247328856,0.13258513524004137,0.014339018075470444,0.0,0.02071101754455007,0,s062
0,wfpt,0.0,0.5392625887614022,1.0276463259130337e-07,0.0004758931935209265,1.2336182757738414,0.0008822229636579193,4.273600134923183e-13,0.026254413553107606,0.032894784463176424,0.00045909390435483477,0.0,0.0008654305037931742,0,s063
0,wfpt,0.0,0.5467901582627902,7.954202398389548e-29,0.0021235451582064524,1.1964095394124343,0.0008137883251960742,5.163346272651888e-12,0.03673762881961005,0.024227696683484984,0.0021064538427171264,0.0,0.0007967076350584579,0,s065
0,wfpt,0.0,0.7719565759202356,4.133650004257653e-99,0.007539820559949062,1.2036429153067256,0.015612004423787518,6.796327789122349e-204,0.10820112179893182,0.1176257371372385,0.007522998630740574,0.0,0.015595319315892753,0,s066
0,wfpt,0.0,0.966531760645476,0.002130418975843638,0.00015988606707384445,1.3640140650262866,0.0001548033828404627,0.002509410214075633,0.010972072680624445,0.010510159492368033,0.00014293904998963214,0.0,0.0001378562796061633,0,s071
0,wfpt,0.0,0.6461217738438725,1.619044089079355e-144,0.010861722602173551,1.158782832770993,0.014745573977186566,7.697391102614926e-196,0.1170320921144487,0.11328905791383988,0.010845236414677273,0.0,0.014729152522704347,0,s081
0,wfpt,0.0,0.6779899152332827,0.8047928963760838,1.018085883819353e-06,1.3000712393141198,1.449777988671297e-05,0.3510004782557775,0.0010723540285541289,0.0038237840317935853,-1.5649119388339017e-05,0.0,-2.1692007163842675e-06,0,s082
