,index,log_slope_pval,log_int_pval,log_rsq_adj,log_slope_val,log_int_val,log_rsq,int_pval,slope_pval,rsq_adj,slope_val,rsq,int_val,subj_id,sub_id
0,wfpt,3.3957878612404974e-07,0.0,0.00012081749089754013,0.0171294999843973,1.240145072535785,0.00012564784844759647,0.0,5.615601767461755e-16,0.00031187564471280016,0.023524030252370133,0.0003167050792721726,0.5281041327021391,0,s005
0,wfpt,0.3399553749741111,0.0,-4.382186495899276e-07,0.002195838179811613,1.2651681648084634,4.4637683122017435e-06,0.0,0.2971798629828497,4.255513652573484e-07,0.002341016972243513,5.327534092880448e-06,0.5861838646151236,0,s007
0,wfpt,9.202171639049252e-05,0.0,6.855352828583072e-05,0.01057637901506657,1.291855589215948,7.33493855631373e-05,0.0,1.2272288617461675e-05,8.6905919778002e-05,0.010197634143604889,9.170168903382958e-05,0.6898954178874452,0,s009
0,wfpt,0.0,0.0,0.010701897835019292,0.15285839891385097,1.0721384382369035,0.010706608800796102,0.0,0.0,0.013262979744557257,0.14823791594320618,0.01326767851464783,0.4685460753296549,0,s011
0,wfpt,0.6163199578174263,0.0,-3.6093094115674518e-06,0.0012098560465675498,1.2471645896883414,1.2100083167654319e-06,0.0,0.7032424053331165,-4.119934695179239e-06,0.0008791937487671302,6.993854939629784e-07,0.5068904724092009,0,s012
0,wfpt,0.034731606534693205,0.0,1.6869948981868e-05,0.006532040967961708,1.2567328133447986,2.1747939265015503e-05,0.0,0.02989654381438611,1.812315998250824e-05,0.005751894208968204,2.3001144152434705e-05,0.5512135453135573,0,s014
0,wfpt,5.910453000427727e-11,0.0,0.00019974340537887159,0.020943338817365147,1.2181231149244542,0.00020451574441915366,0.0,5.0371699658950743e-14,0.0002659116933624306,0.021925408095905534,0.00027068371656213674,0.46808587226300313,0,s015
0,wfpt,1.3353095396335484e-110,0.0,0.0023758249288415856,0.06469033463659535,1.1850812244582003,0.002380586880808333,0.0,1.7275331600386568e-169,0.0036643385474937062,0.07104955551985478,0.003669094349008084,0.5185497724865842,0,s017
0,wfpt,0.49659555212449413,0.0,-2.5609426237416244e-06,0.0016522170855285817,1.2529113766494082,2.200997009094152e-06,0.0,0.9192562829231146,-4.713015984370017e-06,-0.0002352655086800921,4.8933896379388386e-08,0.5150138399152161,0,s026
0,wfpt,0.0,0.0,0.3408111123263793,0.5906914707085191,0.5388615390483669,0.3408142739189417,0.0,0.0,0.3495845277022629,0.584905584394358,0.34958764721589264,0.3093634377300364,0,s027
