,index,slope_pval,log_rsq,log_rsq_adj,slope_val,rsq_adj,log_slope_val,rsq,log_int_val,int_val,int_pval,log_int_pval,log_slope_pval,subj_id,sub_id
0,wfpt,3.6264506243661297e-09,0.000562268632391949,0.0005456107816074196,0.022269112911369817,0.0005634415156542394,0.021505942793241042,0.0005800990692549357,1.230711980991162,0.5073961509208029,0.0,0.0,6.28561737020445e-09,0,s005
0,wfpt,0.9317857185110385,3.606645578746459e-06,-1.3060516549368018e-05,-0.0004253929715613844,-1.654509719495323e-05,-0.002539633292503358,1.2212301037095585e-07,1.2834893630787862,0.6128802973790786,0.0,0.0,0.6418043486475821,0,s007
0,wfpt,0.9625883199589287,7.844965788095237e-10,-1.666643773123866e-05,-0.00021048303019279013,-1.6630550895735396e-05,3.1541666156549575e-05,3.667073378288421e-08,1.2290996564727754,0.42425205381322917,0.0,0.0,0.9945260768516037,0,s009
0,wfpt,0.002791742852170018,0.00021507371358508998,0.00019841007602561245,-0.012944542061139782,0.00013231056480378367,-0.016265456773673387,0.00014897530404012205,1.2528456551547429,0.443262282016902,0.0,0.0,0.00032765774393827657,0,s011
0,wfpt,0.8139560317753466,1.1804827387829064e-06,-1.548671982676275e-05,-0.0009482439642290604,-1.5744199906020384e-05,-0.001157430695722786,9.230069508703309e-07,1.2626839321378454,0.5393366872014025,0.0,0.0,0.7901378207698244,0,s012
0,wfpt,0.6870409240766608,5.090541821517469e-06,-1.1576595574158688e-05,-0.0016831804104407763,-1.3961943851503733e-05,-0.0024518300350852354,2.705233300592802e-06,1.2602495958669628,0.5373547367376283,0.0,0.0,0.5805040031936435,0,s014
0,wfpt,0.7743355920978141,2.7007226455211253e-09,-1.6664521473197524e-05,0.001169486308525479,-1.529711464942629e-05,5.31865322855804e-05,1.3700847558695273e-06,1.2198690820693328,0.39682819411281123,0.0,0.0,0.9898437148831015,0,s015
0,wfpt,0.17176225830938793,2.247176927738792e-05,5.80492157853385e-06,-0.005766317661069335,1.4459025408863901e-05,-0.00518903675269336,3.112572887020715e-05,1.2755913536775356,0.5774715165461697,0.0,0.0,0.24558163887287526,0,s017
0,wfpt,0.25382162486270754,5.6153200444608586e-05,3.9486914121700245e-05,0.004236004904818951,5.036239687394861e-06,0.006831868479240999,2.1703100197778546e-05,1.2285690539087732,0.4575558874052439,0.0,0.0,0.06642817168919372,0,s026
0,wfpt,0.2604760743399179,3.283322142888512e-05,1.6166546426665818e-05,0.004208172917571203,4.437535228829503e-06,0.005321232113336877,2.1104405717786712e-05,1.2512380889272423,0.5196060693654372,0.0,0.0,0.16045385471027215,0,s027
0,wfpt,0.9883790802480523,2.9498466491695297e-07,-1.6372232659378483e-05,6.940069033320798e-05,-1.6663686294604574e-05,-0.0007178096411106366,3.535887360683887e-09,1.256804288620001,0.5155791052475037,0.0,0.0,0.894165600015638,0,s028
