,index,rsq,int_val,log_slope_pval,log_int_pval,slope_pval,log_rsq_adj,int_pval,log_int_val,log_slope_val,log_rsq,rsq_adj,slope_val,subj_id,sub_id
0,wfpt,0.0010855138265706277,0.5830155963553343,5.659719622133872e-07,0.0,1.1962675745290633e-15,0.00040713489409571757,0.0,1.244577843121103,0.02774407838704432,0.00042407743320838076,0.0010685824986242931,0.03584588273853115,0,s005
0,wfpt,1.4409725068276202e-05,0.8730243645017243,0.4981347450310657,0.0,0.3733438731054023,-9.838200644152195e-06,0.0,1.3348308277459522,0.003815634093318983,8.344127001680413e-06,-3.772492290110563e-06,0.004477278606237619,0,s007
0,wfpt,0.003859747998635976,0.5616011055102592,1.8577580750525455e-24,0.0,2.158260140566728e-52,0.0017180774562891576,0.0,1.222450646162188,0.04320647068832292,0.001734715765636774,0.0038431451076728074,0.06009403183054733,0,s009
0,wfpt,4.517172967577476e-05,0.5798235296746654,0.04019242180667361,0.0,0.10112786598637685,5.394635757016708e-05,0.0,1.2807844612744992,-0.009674553489162692,7.075245605314695e-05,2.8365201250157845e-05,-0.00704088181017375,0,s011
0,wfpt,2.3095208653178823e-05,0.6760476603000098,0.6847998102968862,0.0,0.24509855605221428,-1.428269130809845e-05,0.0,1.2899112154552932,-0.0015989023166975789,2.817708539604169e-06,6.001001931821293e-06,-0.004461521803812295,0,s012
0,wfpt,1.9339096835047087e-06,0.6224975624839885,0.004011536004991145,0.0,0.7333809686863474,0.00012130773817231599,0.0,1.305977989656702,-0.01728512112934466,0.00013797266079207393,-1.473328032441934e-05,0.0017252447093064338,0,s014
0,wfpt,1.1559333193966737e-05,0.6065146382887022,0.0683440225432222,0.0,0.4049645580783834,3.8709575340467595e-05,0.0,1.2607104084902256,0.00750701246820682,5.537698579849426e-05,-5.107696384953897e-06,0.0033804645837802556,0,s015
0,wfpt,0.0003098154540306375,0.6963215124282316,0.012872333709998782,0.0,2.242601032686706e-05,8.94253415005819e-05,0.0,1.282020927710101,0.012220604528201305,0.00010666577349238704,0.0002925788219995118,0.018481563262460567,0,s017
0,wfpt,5.691622081860359e-06,0.6607820179247196,0.8048997968777885,0.0,0.5622680390792409,-1.5915524270937453e-05,0.0,1.2896013965604163,0.0010683241372121928,1.03418530927879e-06,-1.125800855605874e-05,0.002347180000299728,0,s026
0,wfpt,1.343857637947643e-06,0.5941531385176493,0.954500674304305,0.0,0.7764479556709365,-1.6612962835171885e-05,0.0,1.277113614953432,0.00022210652089200977,5.425850135853949e-08,-1.532334220444298e-05,0.0010514538672005483,0,s027
0,wfpt,4.4333184463951625e-05,0.6703279890907516,0.11153078719372377,0.0,0.10290466810951666,2.5540939660451123e-05,0.0,1.3015300975687047,-0.007420519202508323,4.220745842020701e-05,2.766670113418801e-05,-0.0069712655413005364,0,s028
0,wfpt,0.012455379676797107,0.6318075755546426,1.280732573367501e-169,0.0,1.4855523837381053e-165,0.012746557940757741,0.0,1.171994277095864,0.10394975171943899,0.012763012439033772,0.012438920051137448,0.10172786762268929,0,s032
0,wfpt,0.00014554338950900636,0.5414213885071071,0.0533197966574377,0.0,0.0032525379520251647,4.5948512458870994e-05,0.0,1.2652149458685966,-0.008203824160443202,6.275474536165948e-05,0.00012873854805872664,-0.011962413833270286,0,s034
0,wfpt,0.00040446450694797687,0.7249573205792221,0.10850292646723791,0.0,1.0321433133910814e-06,2.671200101678206e-05,0.0,1.303915342024684,0.006833131239535585,4.36615626554504e-05,0.0003875216354015665,0.01929385949580483,0,s042
0,wfpt,4.834613204218741e-07,0.6139472916328466,0.9013959716156873,0.0,0.864764081345049,-1.641136177088498e-05,0.0,1.2728908507129804,0.0006021320037116647,2.55856205444438e-07,-1.6183752862497514e-05,0.0007193296764822334,0,s049
0,wfpt,9.667553967018794e-05,0.5973815067086556,0.7066436554573852,0.0,0.016467730535359982,-1.4426435395620274e-05,0.0,1.277493838108251,0.002078145698981529,2.380812229141327e-06,7.986987688390901e-05,0.011361318972947398,0,s060
0,wfpt,0.0004100044737656017,0.6928641322190686,0.11059487033063292,0.0,1.077684406078176e-06,2.665109471189364e-05,0.0,1.2954672602614161,0.007955512262987498,4.389231178292263e-05,0.00039276956919087613,0.020944283105363927,0,s062
0,wfpt,0.0007042180962335554,0.6691923970001851,4.1509381861464035e-06,0.0,7.965704747148973e-11,0.0003365218723869745,0.0,1.275187771480796,0.020903688837776713,0.00035318320804478276,0.000687562611352277,0.026302917127287388,0,s063
0,wfpt,0.00022967063968282186,0.486330029781691,1.20560197244605e-11,0.0,0.000296534893884909,0.0007911279581792607,0.0,1.2083289896376013,0.018055052876457117,0.0008087159479004402,0.000212130193888882,0.010500472152117163,0,s065
0,wfpt,0.0002963343413047159,0.6532714406028488,6.738541457359622e-05,0.0,2.6779139773568342e-05,0.0002501204053687589,0.0,1.3059691438211938,-0.019145762186961277,0.000266923771582106,0.00027953203424135875,-0.017731845041149014,0,s066
0,wfpt,0.0005405835276054427,0.696798539791709,7.3146404428419e-06,0.0,1.2277628985886496e-08,0.0003184484459876069,0.0,1.286393069050833,0.017875863391395463,0.0003351100828742348,0.0005239253153904722,0.020958289940476833,0,s071
0,wfpt,0.0013720715600759048,0.6093030998957645,3.799847226014849e-09,0.0,1.1243258209528752e-19,0.0005619268027050595,0.0,1.2543105209539585,0.025153797725663576,0.0005785843815513392,0.0013554272064567607,0.03314336275417998,0,s081
