,index,slope_val,slope_pval,log_rsq,log_int_pval,int_pval,log_slope_val,rsq,log_rsq_adj,log_int_val,int_val,rsq_adj,log_slope_pval,subj_id,sub_id
0,wfpt,0.00031714634506879724,0.9298261668388058,6.004885203780841e-05,0.0,0.0,-0.00856300566430579,9.232642017575898e-08,4.8144521563875387e-05,1.2912078835177458,0.6023921312155976,-1.1812717838788345e-05,0.02470987065796716,0,s005
0,wfpt,0.002933519193261916,0.4258507458599562,6.226925080676793e-06,0.0,0.0,-0.003008905552473365,7.549157014175023e-06,-5.678046145707327e-06,1.2995128412258576,0.6602118246867936,-4.355798471022965e-06,0.46954447868718674,0,s007
0,wfpt,0.048694805390452504,2.2560308271898944e-45,0.0013305998986056222,0.0,0.0,0.03878917219037484,0.00237636689628129,0.0013187106940996118,1.1955789958159657,0.44933648383353186,0.002364490141678832,3.870506029337357e-26,0,s009
0,wfpt,0.013083712834107954,0.0002166755806795507,8.189835605254547e-05,0.0,0.0,0.009096496716503893,0.00016682836589099193,6.970393543681563e-05,1.2615494746942917,0.574436171273542,0.00015463498103229778,0.009556587155275582,0,s011
0,wfpt,0.13124020770051242,1.8932682647413294e-273,0.01156679435761021,0.0,0.0,0.13869191794928537,0.014839564065053046,0.011554956550648976,1.1079694721993325,0.5460948074088638,0.014827765453877428,2.917398583853277e-213,0,s012
0,wfpt,-0.022388688074337415,3.8365242893703824e-07,0.0005704742629264459,0.0,0.0,-0.037828241511746075,0.0003086426133473985,0.0005585047603545723,1.3210109924561768,0.5923066195198018,0.0002966699749921142,5.103634122564093e-12,0,s014
0,wfpt,0.07851192054126718,1.1185650146422211e-95,0.0030052883068548697,0.0,0.0,0.06868775498031976,0.005114947416065996,0.0029934190395902727,1.1772311551948795,0.5011663472216664,0.005103103264388786,6.314917944056242e-57,0,s015
0,wfpt,0.0685769379137022,2.416744587501388e-88,0.003111043398619562,0.0,0.0,0.05915041114249542,0.0047724483102646875,0.0030990323988774326,1.2403704482425417,0.6924538225059113,0.004760457327931622,3.4452489744312335e-58,0,s017
0,wfpt,0.023852618692993093,1.737116182474686e-10,0.00027039233341286106,0.0,0.0,0.020863072882021067,0.00048782393339996677,0.00025841923695935076,1.2466129363845124,0.5642296074781885,0.00047585344098011184,2.0155776513124948e-06,0,s026
0,wfpt,0.004431021578990791,0.2343401490751096,4.077213306197258e-06,0.0,0.0,0.0023404826355455377,1.6837532552105294e-05,-7.827783512492914e-06,1.2672338597639916,0.566983695219363,4.932687645453626e-06,0.5584032597505639,0,s027
0,wfpt,0.08155134138349901,2.7173027605561156e-130,0.005188659197396306,0.0,0.0,0.0775092868711379,0.006997493096482343,0.0051768159232612465,1.1863978055815847,0.5704930009745078,0.00698567135659689,4.94433582721404e-97,0,s028
0,wfpt,0.0685207330132611,2.524249347105119e-92,0.005001451212360508,0.0,0.0,0.06740146052461893,0.004932446141470592,0.0049896057095059065,1.1966835484306741,0.5682201376412305,0.004920599817107463,1.3620684109194132e-93,0,s032
0,wfpt,0.0562173748521591,1.792381057363521e-64,0.0022753150570561376,0.0,0.0,0.05012435561081652,0.003416209130688519,0.0022634370994268904,1.2125072962524883,0.5564831730781976,0.0034043447554549244,1.6224172993807284e-43,0,s034
0,wfpt,0.03969181388702258,2.5041103267584294e-25,0.0007550371515842036,0.0,0.0,0.03407429292953401,0.0012865943505310229,0.0007431410949775286,1.2423896476952647,0.601633193063057,0.0012747046221369684,1.648917185482925e-15,0,s042
0,wfpt,-0.003352678275634691,0.3787736129291728,1.2523938883068908e-05,0.0,0.0,-0.004415636329095047,9.277821100717176e-06,5.47610679024757e-07,1.2641718145019682,0.5409153103681149,-2.6984025476295415e-06,0.30649681273381385,0,s049
0,wfpt,0.007658351126990218,0.06370342437088546,4.2499418530961286e-05,0.0,0.0,-0.00907933609192732,4.093183856024307e-05,3.0594879130263486e-05,1.278086777237177,0.5487951692183439,2.9027280497473384e-05,0.05883511842152529,0,s060
0,wfpt,0.007374303134623717,0.04921606664180449,1.8130977174624086e-05,0.0,0.0,-0.0056819403847199745,4.660234467301905e-05,6.082712529553724e-06,1.3097268358070469,0.6800324569985281,3.4554423064658835e-05,0.2199282369467671,0,s062
0,wfpt,0.019114488495558458,1.6492549458973205e-07,0.00010237177388183749,0.0,0.0,0.012380724117480313,0.00032817059012457683,9.039666515786582e-05,1.2865256802071188,0.669741504915446,0.0003161981856428797,0.003458593539953536,0,s063
0,wfpt,0.05079629544150898,1.0052171733620347e-52,0.0015664719732750854,0.0,0.0,0.041778025178255726,0.002826931084386586,0.001554369455298632,1.2391632265863297,0.6190767927055155,0.002814843845072801,5.739155080441949e-30,0,s065
0,wfpt,0.015625805284763067,6.915555949640001e-05,0.00010469837279314387,0.0,0.0,0.012878554904752093,0.0001884856252215572,9.279457387378898e-05,1.2491992277888273,0.5422809811435911,0.00017658282379329204,0.003020800973396597,0,s066
0,wfpt,0.03548647362313828,8.282687152530768e-28,0.0007638953093219714,0.0,0.0,0.025323494458558308,0.0014383502978488893,0.0007518560300058263,1.2773975049615127,0.6892050177068426,0.0014263191446922674,1.6653707424566964e-15,0,s071
0,wfpt,0.21767597522678908,0.0,0.0651366979025857,0.0,0.0,0.22142063829064992,0.06475283051573066,0.06512556831257055,1.0147954221615545,0.5344175813371661,0.06474169635575688,0.0,0,s081
0,wfpt,0.0849764079482782,2.3091266043297875e-143,0.004952416953364125,0.0,0.0,0.07742880591240486,0.007707683005236721,0.004940570866754368,1.1747719953864761,0.5267786066417548,0.007695869720194315,1.084384775227978e-92,0,s082
