,index,log_int_pval,log_rsq,slope_val,rsq,log_slope_pval,slope_pval,log_int_val,rsq_adj,int_pval,log_slope_val,log_rsq_adj,int_val,subj_id,sub_id
0,wfpt,0.0,2.277765982228175e-05,-0.005734259748539177,3.0714029052081315e-05,0.18116884745540793,0.12048449134999833,1.2379652017341343,1.7975242255330315e-05,0.0,-0.005279629191822097,1.0038771922737943e-05,0.4510392400345413,0,s005
0,wfpt,0.0,0.003879545216708302,0.046676144974900184,0.003922699349725445,7.595828174043872e-51,6.207693294277311e-52,1.0823110177524433,0.0039056718051829753,0.0,0.04069684962956854,0.0038623312527084064,0.21489381281708497,0,s007
0,wfpt,0.0,0.0010026024253497745,0.03455614451239748,0.0018766495554088936,3.3076198513187444e-19,1.5146497980666495e-34,1.203075630486817,0.001864172701606992,0.0,0.024083925378468332,0.0009901144895824165,0.4203184570411985,0,s009
0,wfpt,0.0,0.00022338375682529055,-0.021061758104737396,0.0006004814667234237,2.8199875880000827e-05,6.5741494690968376e-12,1.2618726937974465,0.0005877499382955786,0.0,-0.01425744005975837,0.00021064628862843549,0.5008663635424122,0,s011
0,wfpt,0.0,2.2503730286005386e-05,-0.00016032579685730497,3.8777512201271236e-08,0.18666375633636267,0.9562823898760313,1.260879807993007,-1.2864780788879315e-05,0.0,0.0037879602092886428,9.598630123730523e-06,0.5724380200336894,0,s012
0,wfpt,0.0,0.016412482920052707,0.05915175504412791,0.010547140850257763,3.86853977615262e-282,7.204726803637348e-182,1.1346053387523787,0.010534455231919537,0.0,0.0652630002377449,0.01639984885134449,0.3639927076914439,0,s014
0,wfpt,0.0,0.004437800116142254,0.0680853953091967,0.006937411326734533,1.612098608464822e-74,1.4767502574691905e-115,1.2029790091908936,0.006924170139120611,0.0,0.056997606277538665,0.0044245254224895,0.5472426933059843,0,s015
0,wfpt,0.0,8.860130808374667e-05,-0.003958524003446619,1.9658876390438174e-05,0.008157270128377038,0.21269055009455073,1.2832856624044193,7.000576925486612e-06,0.0,-0.008683038825868938,7.59421186133924e-05,0.6003385289387241,0,s017
0,wfpt,0.0,4.406080202112861e-05,0.005610741304913168,4.9527583672270836e-05,0.06291828082407847,0.048635554396121966,1.3156036100685968,3.6789036544804254e-05,0.0,0.006769844987184952,3.1322185251370094e-05,0.7657106717347101,0,s026
0,wfpt,0.0,0.0005569249030913381,-0.01629217221590891,0.0004789004026821697,3.270480471807176e-11,7.675179220035053e-10,1.3277795130313323,0.0004662479165482569,0.0,-0.021194493770630263,0.0005442734046343656,0.6926099358749619,0,s027
0,wfpt,0.0,0.0003554849723190756,0.024606625606332137,0.0008779234657518842,1.5307085129006513e-07,1.5805294334605526e-16,1.217840826836432,0.0008650312352874723,0.0,0.01597417064422043,0.00034258416940979863,0.45241855313729284,0,s028
0,wfpt,0.0,6.348591815141802e-06,0.0038292980606601124,4.5895616347491064e-05,0.4816837131936099,0.058485295059996154,1.207921504306337,3.307536320795723e-05,0.0,-0.0016159199820309292,-6.475456652443867e-06,0.34580143099790517,0,s032
0,wfpt,0.0,0.0015759275035753806,0.050099495528703505,0.0033126600699634468,4.206811575304966e-29,2.5669791797241363e-59,1.1849887173458327,0.003300122806888517,0.0,0.03751090797605934,0.0015633680782898285,0.4086232881510363,0,s034
0,wfpt,0.0,7.61958834083476e-06,0.0012981475101488233,3.4170394619392752e-06,0.4364624631770916,0.6022293794559475,1.242830139203721,-9.161850358818668e-06,0.0,0.002333652119774374,-4.962888921378195e-06,0.49415353656721006,0,s042
0,wfpt,0.0,0.007238728813463879,0.07336577376167354,0.007654460088578285,1.2769997150369707e-127,7.30446713242059e-135,1.1697528425116979,0.007641977440714043,0.0,0.077711091770839,0.0072262409361438795,0.5188411059542158,0,s049
0,wfpt,0.0,0.01658991785842756,0.14898240830993192,0.024633046094301725,5.416012163742925e-293,0.0,1.0622045929329245,0.02462085370256817,0.0,0.143381331807361,0.016577624925077528,0.39151249111671366,0,s060
0,wfpt,0.0,0.001852167730791665,0.022909422808402996,0.0007773570342813896,1.6578309081781798e-33,5.5804472521547916e-15,1.2163979433248122,0.0007646277591029094,0.0,0.03266308941041256,0.0018394511758272891,0.525153303732448,0,s062
0,wfpt,0.0,0.011910435034085176,0.09089528036180387,0.009988472153764083,7.5767151558032335e-208,1.7665934375804078e-174,1.0996466683724262,0.009975940045003684,0.0,0.09351200489381484,0.011897926937916248,0.34804130389494653,0,s063
0,wfpt,0.0,0.00020436866490314287,0.009639981980145155,0.00012241707994253836,0.00012522895547822455,0.0029888487116610536,1.2291770004322307,0.00010852950552486806,0.0,0.012329274870851566,0.000190479142087141,0.5157878267599288,0,s065
0,wfpt,0.0,0.0024278736448636318,0.06378737580293695,0.00432105734939503,1.1466280567199907e-43,2.2345769709594092e-76,1.1950504957680343,0.004308453499390463,0.0,0.048428778148048454,0.002415245829901713,0.48436021831840315,0,s066
0,wfpt,0.0,0.3541070092660529,0.5039083928602051,0.33390819880900546,0.0,0.0,0.5928971851749398,0.33389971334694035,0.0,0.5122200636388897,0.3540987809105859,0.1951287491520294,0,s071
0,wfpt,0.0,0.017994900187957574,0.11521111074634682,0.01666841471994185,0.0,9.970891890238748e-291,1.115412011930903,0.016655967169557195,0.0,0.1210541630334136,0.017982469428953318,0.4963339746069172,0,s081
0,wfpt,0.0,0.00011556652824418201,0.008089556096822527,0.00010794449973217102,0.002514524912174426,0.003497610993171389,1.2684853500007738,9.528731783503552e-05,0.0,0.008562657352432827,0.00010290944283086745,0.5934372891597017,0,s082
