,index,rsq_adj,slope_val,int_pval,log_slope_pval,log_int_pval,int_val,log_slope_val,slope_pval,log_int_val,log_rsq_adj,log_rsq,rsq,subj_id,sub_id
0,wfpt,2.748507545757839e-05,0.008233838237518545,0.0,0.04236641756004681,0.0,0.4224871490919831,0.00973211967340698,0.06777165297343239,1.2185221444426622,3.6712373604141924e-05,4.84767859809665e-05,3.924959639212133e-05,0,s005
0,wfpt,2.246348007273191e-06,0.003836486886429036,0.0,0.38344012606501254,0.0,0.5697012293148183,0.0031649192169060612,0.2751435733428098,1.2648068111346642,-2.8276728341047885e-06,8.937204725167902e-06,1.4011165871519182e-05,0,s007
0,wfpt,9.775499076658534e-06,0.005097942784233133,0.0,0.13684976748278918,0.0,0.38221760313310615,0.005765723315201754,0.17602301650959007,1.2116095402068097,1.4271382142827527e-05,2.6036058534462114e-05,2.1540228361649483e-05,0,s009
0,wfpt,4.491573186604647e-06,-0.004704569373920347,0.0,0.2022296862059946,0.0,0.43834187961224036,-0.00559015843135597,0.2398013132283657,1.2403862982909466,7.367366633537209e-06,1.9132124249865434e-05,1.625636463609137e-05,0,s011
0,wfpt,8.30872116025505e-05,0.010554671862669585,0.0,0.004989309058565264,0.0,0.38123319841486686,0.01070381051245662,0.00451911121996251,1.2022308119770642,8.097935414330681e-05,9.274324572605686e-05,9.485107838669293e-05,0,s012
0,wfpt,-8.44292912227651e-06,0.0017104502491959092,0.0,0.4999815633969198,0.0,0.5014938674796658,0.0021232951271289713,0.5951563306194063,1.2496113459781109,-6.412123014776228e-06,5.352796715096808e-06,3.3220144995960155e-06,0,s014
0,wfpt,-1.0297397465830471e-05,0.0012610807928597494,0.0,0.715084271963295,0.0,0.5016526881551333,0.0013010287949962486,0.7239496928988824,1.2483288021564292,-1.019725423745399e-05,1.5677100239086528e-06,1.4675679735898228e-06,0,s015
0,wfpt,-1.2305491052799766e-06,-0.003619030849024452,0.0,0.5568148277392413,0.0,0.5786243893553603,-0.002347962474233632,0.34335737787660014,1.2696249524959937,-7.888687115764625e-06,4.159745861431752e-06,1.081780365241869e-05,0,s017
0,wfpt,-2.049427807682136e-06,-0.003412340070305972,0.0,0.4820017506487917,0.0,0.4111177352005946,-0.002667098529716999,0.3634920948409578,1.2287384792137663,-5.949103214053508e-06,5.815811068399235e-06,9.715440595692293e-06,0,s026
0,wfpt,1.634450131593468e-05,-0.005194301490432305,0.0,0.1372983253781883,0.0,0.4586386916340983,-0.00511315632213824,0.12217290670753862,1.245797410291528,1.421198761175635e-05,2.597666470216531e-05,2.810915331763475e-05,0,s027
